sensor_id,meter_id,point_type,unit,identifier
I1.energy,I1,Energy_Sensor,kWh,
I2.energy,I2,Energy_Sensor,kWh,
I3.energy,I3,Energy_Sensor,kWh,
M0.energy,M0,Energy_Sensor,kWh,
M1.energy,M1,Energy_Sensor,kWh,
M2.energy,M2,Energy_Sensor,kWh,
M3.energy,M3,Energy_Sensor,kWh,
M4.energy,M4,Energy_Sensor,kWh,
M5.energy,M5,Energy_Sensor,kWh,
M6.energy,M6,Energy_Sensor,kWh,
M7.energy,M7,Energy_Sensor,kWh,
M8.energy,M8,Energy_Sensor,kWh,
M9.energy,M9,Energy_Sensor,kWh,
M10.energy,M10,Energy_Sensor,kWh,
