timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
I1:h,I1.energy,hourly,counter,raw,True,,,supplier_ems,ems.hourly_counters,I1,,,
I2:h,I2.energy,hourly,counter,raw,True,,,supplier_ems,ems.hourly_counters,I2,,,
I3:h,I3.energy,hourly,counter,raw,True,,,supplier_ems,ems.hourly_counters,I3,,,
I1:m,I1.energy,monthly,delta,raw,False,,,avlasning,readings.monthly,I1,,,
I2:m,I2.energy,monthly,delta,raw,False,,,avlasning,readings.monthly,I2,,,
I3:m,I3.energy,monthly,delta,raw,False,,,avlasning,readings.monthly,I3,,,
M0:h,M0.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:129,,,
M0:m,M0.energy,monthly,delta,raw,False,,,avlasning,readings.monthly,M0,,,
M1:h,M1.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:200,,,
M2:h,M2.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:201,,,
M3:h,M3.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:202,,,
M4:h,M4.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:210,,,
M5:h,M5.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:211,,,
M7:h,M7.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:220,,,
M8:h,M8.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:230,,,
M9:h,M9.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:231,,,
M10:h,M10.energy,hourly,counter,raw,True,,,PME_SQL,ingest.hourly,631:232,,,
M6:h.A,M6.energy,hourly,counter,raw,False,2026-01-01,2026-02-10,PME_SQL,ingest.hourly,631:215,M6-DEV-A,,
M6:h.B,M6.energy,hourly,counter,raw,False,2026-02-10,2026-03-01,PME_SQL,ingest.hourly,631:216,M6-DEV-B,,
M6:h,M6.energy,hourly,counter,derived,True,,,,,,,M6:h.A|M6:h.B,rolling_sum
