meter_id,target_kind,target_id,valid_from,valid_to
I1,campus,ABBEY,,
I2,campus,ABBEY,,
I3,campus,ABBEY,,
M0,campus,ABBEY,,
M10,campus,ABBEY,,
M1,zone,B1.office,,
M2,zone,B1.office,,
M3,zone,B1.office,,
M4,zone,B1.production,,
M5,zone,B1.production,,
M6,zone,B2.office,,
M7,zone,B2.production,,
M11,zone,B2.production,,
V1,zone,B3.warehouse,,
V2,zone,B4.warehouse,,
M8,zone,B5.warehouse,,
M12,zone,B5.warehouse,,
V3,zone,B7.warehouse,,
V4,zone,B8.warehouse,,
M9,zone,B9.warehouse,,
V5,zone,B10.warehouse,,
V6,zone,B11.warehouse,,
M13,zone,B12.warehouse,,
M14,zone,B12.warehouse,,
M15,zone,B13.office,,
M16,zone,B14.warehouse,,
R1,campus,ABBEY,,
R2,campus,ABBEY,,
