parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
I1,POOL,feeds,1.0,,,
I2,POOL,feeds,1.0,,,
I3,POOL,feeds,1.0,,,
POOL,M0,hasSubMeter,,,,
M0,M1,hasSubMeter,,2026-02-01,,
M0,M4,hasSubMeter,,,,
M0,M8,hasSubMeter,,,,
M1,M2,hasSubMeter,,2026-02-01,,
M1,M3,hasSubMeter,,2026-02-01,,
M4,M5,hasSubMeter,,,,
M5,M6,hasSubMeter,,,,
M5,M7,hasSubMeter,,,,
M7,M11,hasSubMeter,,,,
M11,V1,feeds,0.7,,,
M11,V2,feeds,0.3,,,
M8,M12,hasSubMeter,,,,
M12,V3,feeds,0.4,,,
M12,V4,feeds,0.6,,,
V4,M9,hasSubMeter,,,,
M9,M10,hasSubMeter,,,,
M10,V5,feeds,0.5,,,
M10,V6,feeds,0.5,,,
M0,M13,hasSubMeter,,,,
M13,M14,hasSubMeter,,,,
M14,M15,hasSubMeter,,,,
M13,M16,hasSubMeter,,,,
