meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
I1,Intake A,,EL,False,,,
I2,Intake B,,EL,False,,,
I3,Intake C,,EL,False,,,
POOL,Mixed supply,,EL,True,,,
M0,Site intake,,EL,False,,,
M1,Office,B1,EL,False,,2026-02-01,
M2,Office sub a,B1,EL,False,,2026-02-01,
M3,Office sub b,B1,EL,False,,2026-02-01,
M4,Prod trunk,B1,EL,False,,,
M5,Prod leaf,B1,EL,False,,,
M6,Office,B2,EL,False,,,
M7,Prod trunk,B2,EL,False,,,
M11,Prod sub-panel (B3/B4 split),B2,EL,False,,,
M8,Warehouse,B5,EL,False,,,
M12,Warehouse sub-panel (B7/B8 split),B5,EL,False,,,
M9,Warehouse,B9,EL,False,,,
M10,Shared leaf,,EL,False,,,
V1,Virtual,B3,EL,True,,,
V2,Virtual,B4,EL,True,,,
V3,Virtual,B7,EL,True,,,
V4,Virtual,B8,EL,True,,,
V5,Virtual,B10,EL,True,,,
V6,Virtual,B11,EL,True,,,
M13,Factory,B12,EL,False,,,
M14,Multi-event sub,B12,EL,False,,,
M15,Office sub,B13,EL,False,,,
M16,Frozen counter,B14,EL,False,,,
R1,Parallel root A,,EL,False,,,
R2,Parallel root B,,EL,False,,,
M17,BMS corruption,,EL,False,,,
