sensor_id,meter_id,point_type,unit,identifier
I1.energy,I1,Energy_Sensor,KiloW-HR,
I2.energy,I2,Energy_Sensor,KiloW-HR,
I3.energy,I3,Energy_Sensor,KiloW-HR,
M0.energy,M0,Energy_Sensor,KiloW-HR,
M1.energy,M1,Energy_Sensor,KiloW-HR,
M2.energy,M2,Energy_Sensor,KiloW-HR,
M3.energy,M3,Energy_Sensor,KiloW-HR,
M4.energy,M4,Energy_Sensor,KiloW-HR,
M5.energy,M5,Energy_Sensor,KiloW-HR,
M6.energy,M6,Energy_Sensor,KiloW-HR,
M7.energy,M7,Energy_Sensor,KiloW-HR,
M8.energy,M8,Energy_Sensor,KiloW-HR,
M9.energy,M9,Energy_Sensor,KiloW-HR,
M10.energy,M10,Energy_Sensor,KiloW-HR,
M11.energy,M11,Energy_Sensor,KiloW-HR,
M12.energy,M12,Energy_Sensor,KiloW-HR,
M13.energy,M13,Energy_Sensor,KiloW-HR,
M14.energy,M14,Energy_Sensor,KiloW-HR,
M15.energy,M15,Energy_Sensor,KiloW-HR,
M16.energy,M16,Energy_Sensor,KiloW-HR,
R1.energy,R1,Energy_Sensor,KiloW-HR,
R2.energy,R2,Energy_Sensor,KiloW-HR,
M17.energy,M17,Energy_Sensor,KiloW-HR,
