building_id,name,campus_id,identifier
B600,600,GTN,
B602,Building 602,GTN,
B611,Building 611,GTN,
B612,Building 612,GTN,
B613,Building 613,GTN,
B614,Building 614,GTN,
B615,Building 615,GTN,
B616,Building 616,GTN,
B621,Building 621,GTN,
B622,Building 622,GTN,
B623,Building 623,GTN,
B625,Building 625,GTN,
B626,626,GTN,
B631,Building 631,GTN,
B634,Building 634,GTN,
B637,Building 637,GTN,
B638,Building 638,GTN,
B641,Building 641,GTN,
B642,Building 642,GTN,
B643,Building 643,GTN,
B649,Building 649,GTN,
B650,Building 650,GTN,
B651,651,GTN,
B652,Building 652,GTN,
B653,653,GTN,
B654,Building 654,GTN,
B655,Building 655,GTN,
B656,656,GTN,
B658,Building 658,GTN,
B659,659,GTN,
B660,Building 660,GTN,
B661,Building 661,GTN,
B664,664,GTN,
B665,Building 665,GTN,
B674,Building 674,GTN,
B684,684,GTN,
B821,Building 821,GTN,
B833,Building 833,GTN,
B834,Building 834,GTN,
B835,Building 835,GTN,
B841,Building 841,GTN,
B850,850,GTN,
B869,869,GTN,
B921,Building 921,GTN,
BPARKING,Building PARKING,GTN,
BUNATTR,Building UNATTR,GTN,
