building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B600,8,S,+,add,B600N.Å1_VMM71,B600N.Å1_VMM71_E,,,excel_ANGA
B600,8,T,+,add,B600S.Å1_VMM71,B600S.Å1_VMM71_E,,,excel_ANGA
B611,12,S,+,add,B611.Å1_VMM71,B611.Å1_VM71,,,excel_ANGA
B611,12,T,+,add,B611.Å1_VMM73,B611.Å1_VM73,,,excel_ANGA
B611,12,U,−,sub,B622.Å1_VMM72,B622.Å1_VM72,,,excel_ANGA
B612,13,S,+,add,B612.Å1_VMM71,B612.Å1_VMM71_E,,,excel_ANGA
B612,13,T,+,add,B612.Å1_VMM72,B612.Å1_VMM72_E,,,excel_ANGA
B612,13,U,−,sub,B613.Å1_VMM71,B613.Å1_VM71,,,excel_ANGA
B612,13,V,−,sub,B641.Å1_VMM71,B641.Å1_VM71,,,excel_ANGA
B613,14,S,+,add,B613.Å1_VMM71,B613.Å1_VM71,,,excel_ANGA
B614,15,S,+,add,B614.Å1_VMM71,B614.Å1_VM71,,,excel_ANGA
B614,15,T,+,add,B614.Å1_VMM72,B614.Å1_VM72,,,excel_ANGA
B614,15,U,−,sub,B642.Å1_VMM72,B642.Å1_VM72,,,excel_ANGA
B616,17,S,+,add,B616.Å1_VMM71,B616.Å1_VM71,,,excel_ANGA
B621,19,S,+,add,B621.Å1_VMM70,B621.Å1_VM70,,,excel_ANGA
B622,21,S,+,add,B622.Å1_VMM72,B622.Å1_VM72,,,excel_ANGA
B641,28,S,+,add,B641.Å1_VMM71,B641.Å1_VM71,,,excel_ANGA
B642,29,S,+,add,B642.Å1_VMM72,B642.Å1_VM72,,,excel_ANGA
B643,30,S,+,add,B643.Å1_VMM71,B643.Å1_VMM71_E,,,excel_ANGA
B821,49,S,+,add,B821.Å1_VMM71,B821.Å1_VMM71_E,,,excel_ANGA
B833,50,S,+,add,B833.Å1_VMM71,B833.Å1_VMM71_E,,,excel_ANGA
B841,52,S,+,add,B841.Å1_VMM71,B841.Å1_VMM71_E,,,excel_ANGA
B921,56,S,+,add,B921.Å1_VMM71,B921.Å1_VMM71_E,,,excel_ANGA
B611,11,S,+,add,B611.VP1_VMM61,B611.VP1_VMM61_E,,7,excel_Värme
B611,11,T,+,add,B611.VÅ9_VMM41,B611.VÅ9_VMM41_E,,7,excel_Värme
B611,11,U,+,add,B611.VP2_VMM61,B611.VP2_VMM61_E,,7,excel_Värme
B611,11,V,−,sub,B613.VP1_VMM61,B613.VP1_VMM61,,7,excel_Värme
B611,11,W,−,sub,B631.VP1_VMM62,B631.VP1_VMM62,,7,excel_Värme
B611,11,X,−,sub,B631.VP1_VMM63,B631.VP1_VMM63,,7,excel_Värme
B611,11,Y,−,sub,B622.VP2_VMM61,B622.VP2_VMM61,,7,excel_Värme
B612,12,S,+,add,B612.VP2_VMM62,B612.VP2_VMM62_E,,8,excel_Värme
B612,12,T,+,add,B612.VP2_VMM63,B612.VP2_VMM63_E,,8,excel_Värme
B612,12,U,+,add,B612.VP2_VMM64,B612.VP2_VMM64_E,,8,excel_Värme
B612,12,V,+,add,B612.VP2_VMM65,B612.VP2_VMM65,,8,excel_Värme
