parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B600N.Å1_VMM71,B616.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B643.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B833.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B921.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B611.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B611.Å1_VMM73,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B612.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B612.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B614.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B614.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B621.Å1_VMM70,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B821.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B841.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B611.Å1_VMM73,B611.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B611.Å1_VMM73,B622.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B612.Å1_VMM71,B613.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B612.Å1_VMM71,B641.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B614.Å1_VMM71,B642.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B642.Å1_VMM72,B642.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B600.ANGA_INTAKE,feeds,1.0,,,B600_steam_intake
B600S.Å1_VMM71,B600.ANGA_INTAKE,feeds,1.0,,,B600_steam_intake
B600N.KV1_VM20,B600.KALLVATTEN_INTAKE,feeds,1.0,,,B600_water_intake
B600S.KV1_VM20,B600.KALLVATTEN_INTAKE,feeds,1.0,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B611.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B611.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B612.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B612.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B612.KV1_VM23_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B612.KV1_VM24_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B613.KV1_VM22_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B614.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B614.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B616.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B616.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B616.KV1_VM23,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B621.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B622.KV1_VM23_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B625.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B625.KV1_VM22_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B631.KV1_VM21_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B634.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B634.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B641.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B642.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B643.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B650.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B651.KV1_VM21,hasSubMeter,,,,B600_water_intake
