meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B600N.Å1_VMM71,600 ANGA meter Å1_VMM71,B600,ANGA,False,snowflake=B600N.Å1_VMM71_E; strux=B600N.Å1_VMM71_E,,
B600S.Å1_VMM71,600 ANGA meter Å1_VMM71,B600,ANGA,False,snowflake=B600S.Å1_VMM71_E; strux=B600S.Å1_VMM71_E,,
B611.Å1_VMM71,611 ANGA meter Å1_VMM71,B611,ANGA,False,snowflake=B611.Å1_VM71; strux=B611.Å1_VM71,,
B611.Å1_VMM72,611 ANGA meter Å1_VMM72,B611,ANGA,False,snowflake=B611.Å1_VM72,,
B611.Å1_VMM73,611 ANGA meter Å1_VMM73,B611,ANGA,False,snowflake=B611.Å1_VM73; strux=B611.Å1_VM73,,
B612.Å1_VMM71,612 ANGA meter Å1_VMM71,B612,ANGA,False,snowflake=B612.Å1_VMM71_E; strux=B612.Å1_VMM71_E,,
B612.Å1_VMM72,612 ANGA meter Å1_VMM72,B612,ANGA,False,snowflake=B612.Å1_VMM72_E; strux=B612.Å1_VMM72_E,,
B613.Å1_VMM71,613 ANGA meter Å1_VMM71,B613,ANGA,False,snowflake=B613.Å1_VM71; strux=B613.Å1_VM71,,
B614.Å1_VMM71,614 ANGA meter Å1_VMM71,B614,ANGA,False,snowflake=B614.Å1_VM71; strux=B614.Å1_VM71,,
B614.Å1_VMM72,614 ANGA meter Å1_VMM72,B614,ANGA,False,snowflake=B614.Å1_VM72; strux=B614.Å1_VM72,,
B616.Å1_VMM71,616 ANGA meter Å1_VMM71,B616,ANGA,False,snowflake=B616.Å1_VMM71_E; strux=B616.Å1_VM71,,
B621.Å1_VMM70,621 ANGA meter Å1_VMM70,B621,ANGA,False,snowflake=B621.Å1_VM70; strux=B621.Å1_VM70,,
B622.Å1_VMM72,622 ANGA meter Å1_VMM72,B622,ANGA,False,snowflake=B622.Å1_VM72; strux=B622.Å1_VM72,,
B641.Å1_VMM71,641 ANGA meter Å1_VMM71,B641,ANGA,False,snowflake=B641.Å1_VM71; strux=B641.Å1_VM71,,2025-01-01
B642.Å1_VMM71,642 ANGA meter Å1_VMM71,B642,ANGA,False,snowflake=B642.Å1_VM71,,
B642.Å1_VMM72,642 ANGA meter Å1_VMM72,B642,ANGA,False,snowflake=B642.Å1_VM72; strux=B642.Å1_VM72,,
B643.Å1_VMM71,643 ANGA meter Å1_VMM71,B643,ANGA,False,snowflake=B643.Å1_VMM71_E; strux=B643.Å1_VMM71_E,,
B821.Å1_VMM71,821 ANGA meter Å1_VMM71,B821,ANGA,False,snowflake=B821.Å1_VMM71_E; strux=B821.Å1_VMM71_E,,
B833.Å1_VMM71,833 ANGA meter Å1_VMM71,B833,ANGA,False,snowflake=B833.Å1_VMM71_E; strux=B833.Å1_VMM71_E,,
B841.Å1_VMM71,841 ANGA meter Å1_VMM71,B841,ANGA,False,snowflake=B841.Å1_VMM71_E; strux=B841.Å1_VMM71_E,,2025-01-01
B921.Å1_VMM71,921 ANGA meter Å1_VMM71,B921,ANGA,False,snowflake=B921.Å1_VMM71_E; strux=B921.Å1_VMM71_E,,
B611.VP1_VMM61,611 VARME meter VP1_VMM61,B611,VARME,False,snowflake=B611.VP1_VMM61_E; strux=B611.VP1_VMM61_E,,
B611.VP2_VMM61,611 VARME meter VP2_VMM61,B611,VARME,False,snowflake=B611.VP2_VMM61_E; strux=B611.VP2_VMM61_E,,
B611.VÅ9_VMM41,611 VARME meter VÅ9_VMM41,B611,VARME,False,snowflake=B611.VÅ9_VMM41_E; strux=B611.VÅ9_VMM41_E,,
B611.VÅ9_VMM43,611 VARME meter VÅ9_VMM43,B611,VARME,False,snowflake=B611.VÅ9_VMM43_E,,
B612.VP2_VMM61,612 VARME meter VP2_VMM61,B612,VARME,False,snowflake=B612.VP2_VMM61_E,,2025-01-01
B612.VP2_VMM62,612 VARME meter VP2_VMM62,B612,VARME,False,snowflake=B612.VP2_VMM62_E; strux=B612.VP2_VMM62_E,,
B612.VP2_VMM63,612 VARME meter VP2_VMM63,B612,VARME,False,snowflake=B612.VP2_VMM63_E; strux=B612.VP2_VMM63_E,,
B612.VP2_VMM64,612 VARME meter VP2_VMM64,B612,VARME,False,snowflake=B612.VP2_VMM64_E; strux=B612.VP2_VMM64_E,,
B612.VP2_VMM65,612 VARME meter VP2_VMM65,B612,VARME,False,snowflake=B612.VP2_VMM65; strux=B612.VP2_VMM65,,
B612.VÅ9_VMM41,612 VARME meter VÅ9_VMM41,,VARME,False,snowflake=B612.VÅ9_VMM41_E,,
B613.VP1_VMM61,613 VARME meter VP1_VMM61,B613,VARME,False,snowflake=B613.VP1_VMM61; strux=B613.VP1_VMM61,,
B613.VP1_VMM62,613 VARME meter VP1_VMM62,B613,VARME,False,,,
B613.VP2_VMM61,613 VARME meter VP2_VMM61,B613,VARME,False,snowflake=B613.VP2_VMM61; strux=B613.VP2_VMM61,,
B614.VS1_VMM61,614 VARME meter VS1_VMM61,B614,VARME,False,snowflake=B614.VS1_VMM61_E; strux=B614.VS1_VMM61_E,,
B614.VÅ9_VMM41,614 VARME meter VÅ9_VMM41,B614,VARME,False,snowflake=B614.VÅ9_VMM41_E; strux=B614.VÅ9_VMM41_E,,
B615.VS1_VMM61,615 VARME meter VS1_VMM61,B615,VARME,False,snowflake=B615.VS1_VMM61; strux=B615.VS1_VMM61,,
B616.VP1_VMM61,616 VARME meter VP1_VMM61,B616,VARME,False,snowflake=B616.VP1_VMM61_E; strux=B616.VP1_VMM61_E,,
B616.VP1_VMM62,616 VARME meter VP1_VMM62,B616,VARME,False,snowflake=B616.VP1_VMM62_E; strux=B616.VP1_VMM62_E,,
B616.VS1_VMM61,616 VARME meter VS1_VMM61,B616,VARME,False,,,
B616.VS2_VMM61,616 VARME meter VS2_VMM61,B616,VARME,False,snowflake=B616.VS2_VMM61_E; strux=B616.VS2_VMM61_E,,
B616.VÅ9_VMM41,616 VARME meter VÅ9_VMM41,B616,VARME,False,snowflake=B616.VÅ9_VMM41_E; strux=B616.VÅ9_VMM41_E,,
B621.VP1_VMM61,621 VARME meter VP1_VMM61,B621,VARME,False,snowflake=B621.VP1_VMM61_E; strux=B621.VP1_VMM61_E,,
B621.VÅ9_VMM41,621 VARME meter VÅ9_VMM41,B621,VARME,False,,,
B622.VP1_VMM61,622 VARME meter VP1_VMM61,B622,VARME,False,snowflake=B622.VP1_VMM61; strux=B622.VP1_VMM61,,
B622.VP2_VMM61,622 VARME meter VP2_VMM61,B622,VARME,False,snowflake=B622.VP2_VMM61; strux=B622.VP2_VMM61,,
B623.VP1_VMM61,623 VARME meter VP1_VMM61,B623,VARME,False,snowflake=B623.VP1_VMM61; strux=B623.VP1_VMM61,,
B625.VS1_VMM61,625 VARME meter VS1_VMM61,B625,VARME,False,snowflake=B625.VS1_VMM61_E; strux=B625.VS1_VMM61_E,,
B625.VÅ9_VMM41,625 VARME meter VÅ9_VMM41,B625,VARME,False,snowflake=B625.VÅ9_VMM41_E; strux=B625.VÅ9_VMM41_E,,
B631.VP1_VMM61,631 VARME meter VP1_VMM61,B631,VARME,False,,,
B631.VP1_VMM62,631 VARME meter VP1_VMM62,B631,VARME,False,snowflake=B631.VP1_VMM62; strux=B631.VP1_VMM62,,
B631.VP1_VMM63,631 VARME meter VP1_VMM63,B631,VARME,False,snowflake=B631.VP1_VMM63; strux=B631.VP1_VMM63,,
B634.VP1_VMM61,634 VARME meter VP1_VMM61,B634,VARME,False,snowflake=B634.VP1_VMM61_E; strux=B634.VP1_VMM61_E,,
B634.VÅ9_VMM41,634 VARME meter VÅ9_VMM41,B634,VARME,False,snowflake=B634.VÅ9_VMM41_E,,
B637.VP2_VMM61,637 VARME meter VP2_VMM61,B637,VARME,False,snowflake=B637.VP2_VMM61_E; strux=B637.VP2_VMM61_E,,
B638.VP2_VMM61,638 VARME meter VP2_VMM61,B638,VARME,False,snowflake=B638.VP2_VMM61_E; strux=B638.VP2_VMM61_E,,
B641.VP2_VMM61,641 VARME meter VP2_VMM61,B641,VARME,False,snowflake=B641.VP2_VMM61_E; strux=B641.VP2_VMM61_E,,
B642.VS1_VMM61,642 VARME meter VS1_VMM61,B642,VARME,False,snowflake=B642.VS1_VMM61_E; strux=B642.VS1_VMM61_E,,
B643.VP1_VMM61,643 VARME meter VP1_VMM61,B643,VARME,False,snowflake=B643.VP1_VMM61_E; strux=B643.VP1_VMM61_E,,
B643.VP2_VMM61,643 VARME meter VP2_VMM61,B643,VARME,False,snowflake=B643.VP2_VMM61_E; strux=B643.VP2_VMM61_E,,
B643.VÅ9_VMM41,643 VARME meter VÅ9_VMM41,,VARME,False,snowflake=B643.VÅ9_VMM41_E,,
B643.VÅ9_VMM42,643 VARME meter VÅ9_VMM42,,VARME,False,snowflake=B643.VÅ9_VMM42_E,,
