timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B600N.Å1_VMM71:d,B600N.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B600N.Å1_VMM71_E,,,
B600S.Å1_VMM71:d.raw,B600S.Å1_VMM71.energy,daily,counter,raw,False,,2026-02-02,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B600S.Å1_VMM71_E,,,
B611.Å1_VMM71:d,B611.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM71,,,
B611.Å1_VMM72:d,B611.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM72,,,
B611.Å1_VMM73:d,B611.Å1_VMM73.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM73,,,
B612.Å1_VMM71:d,B612.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.Å1_VMM71_E,,,
B612.Å1_VMM72:d,B612.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.Å1_VMM72_E,,,
B613.Å1_VMM71:d,B613.Å1_VMM71.energy,daily,counter,raw,True,,2025-03-12,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B613.Å1_VM71,,,
B614.Å1_VMM71:d,B614.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.Å1_VM71,,,
B614.Å1_VMM72:d,B614.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.Å1_VM72,,,
B616.Å1_VMM71:d.A,B616.Å1_VMM71.energy,daily,counter,raw,False,,2025-11-05,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.Å1_VMM71_E,,,
B616.Å1_VMM71:d.B,B616.Å1_VMM71.energy,daily,counter,raw,False,2025-11-05,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.Å1_VMM71_E,,,
B616.Å1_VMM71:d,B616.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B616.Å1_VMM71:d.A|B616.Å1_VMM71:d.B,rolling_sum
B621.Å1_VMM70:d,B621.Å1_VMM70.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.Å1_VM70,,,
B622.Å1_VMM72:d,B622.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B622.Å1_VM72,,,
B641.Å1_VMM71:d,B641.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B641.Å1_VM71,,,
B642.Å1_VMM71:d,B642.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM71,,,
B642.Å1_VMM72:d.A,B642.Å1_VMM72.energy,daily,counter,raw,False,,2025-03-15,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
B642.Å1_VMM72:d.B,B642.Å1_VMM72.energy,daily,counter,raw,False,2025-03-18,2025-07-31,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
B642.Å1_VMM72:d,B642.Å1_VMM72.energy,daily,counter,derived,True,,,,,,,B642.Å1_VMM72:d.A|B642.Å1_VMM72:d.B|B642.Å1_VMM72:d.C,rolling_sum
B643.Å1_VMM71:d,B643.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.Å1_VMM71_E,,,
B821.Å1_VMM71:d,B821.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.Å1_VMM71_E,,,
B833.Å1_VMM71:d,B833.Å1_VMM71.energy,daily,counter,raw,True,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.Å1_VMM71_E,,,
B841.Å1_VMM71:d,B841.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B841.Å1_VMM71_E,,,
B921.Å1_VMM71:d,B921.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B921.Å1_VMM71_E,,,
B600S.Å1_VMM71:d.patch,B600S.Å1_VMM71.energy,daily,counter,derived,False,2026-02-02,,,,,,B611.Å1_VMM71:d|B611.Å1_VMM73:d|B612.Å1_VMM71:d|B612.Å1_VMM72:d|B614.Å1_VMM71:d|B614.Å1_VMM72:d|B621.Å1_VMM70:d|B821.Å1_VMM71:d|B841.Å1_VMM71:d,sum
B600S.Å1_VMM71:d,B600S.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B600S.Å1_VMM71:d.raw|B600S.Å1_VMM71:d.patch,rolling_sum
B642.Å1_VMM72:d.C,B642.Å1_VMM72.energy,daily,counter,raw,False,2025-08-01,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
B611.VP1_VMM61:d,B611.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VP1_VMM61_E,,,
B611.VP2_VMM61:d,B611.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VP2_VMM61_E,,,
B611.VÅ9_VMM41:d,B611.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VÅ9_VMM41_E,,,
B611.VÅ9_VMM43:d,B611.VÅ9_VMM43.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VÅ9_VMM43_E,,,
B612.VP2_VMM61:d,B612.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM61_E,,,
B612.VP2_VMM62:d,B612.VP2_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM62_E,,,
B612.VP2_VMM63:d,B612.VP2_VMM63.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM63_E,,,
B612.VP2_VMM64:d,B612.VP2_VMM64.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM64_E,,,
B612.VP2_VMM65:d,B612.VP2_VMM65.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM65,,,
B612.VÅ9_VMM41:d,B612.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VÅ9_VMM41_E,,,
B613.VP1_VMM61:d,B613.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B613.VP1_VMM61,,,
B613.VP2_VMM61:d,B613.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B613.VP2_VMM61,,,
B614.VS1_VMM61:d,B614.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.VS1_VMM61_E,,,
B614.VÅ9_VMM41:d,B614.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.VÅ9_VMM41_E,,,
B615.VS1_VMM61:d,B615.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B615.VS1_VMM61,,,
B616.VP1_VMM61:d,B616.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.VP1_VMM61_E,,,
B616.VP1_VMM62:d,B616.VP1_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.VP1_VMM62_E,,,
B616.VS2_VMM61:d,B616.VS2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.VS2_VMM61_E,,,
B616.VÅ9_VMM41:d,B616.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.VÅ9_VMM41_E,,,
B621.VP1_VMM61:d,B621.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.VP1_VMM61_E,,,
B622.VP1_VMM61:d,B622.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B622.VP1_VMM61,,,
B622.VP2_VMM61:d,B622.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B622.VP2_VMM61,,,
B623.VP1_VMM61:d,B623.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B623.VP1_VMM61,,,
B625.VS1_VMM61:d,B625.VS1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B625.VS1_VMM61_E,,,
B625.VÅ9_VMM41:d,B625.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B625.VÅ9_VMM41_E,,,
B631.VP1_VMM62:d,B631.VP1_VMM62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B631.VP1_VMM62,,,
B631.VP1_VMM63:d,B631.VP1_VMM63.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B631.VP1_VMM63,,,
B634.VP1_VMM61:d,B634.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B634.VP1_VMM61_E,,,
B634.VÅ9_VMM41:d,B634.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B634.VÅ9_VMM41_E,,,
