meter_id,target_kind,target_id,valid_from,valid_to
B216.Å1_VMM71,building,B216,,
B216.Å1_VMM72,building,B216,,
B217.Å1_VMM71,building,B217,,
B301.Å1_VMM71,building,B301,,
B302.Å1_VMM71,building,B302,,
B302.Å1_VMM73,building,B302,,
B302.Å1_VMM72,campus,SNV,,
B303.Å1_VMM70,building,B303,,
B304.Å1_VMM71,building,B304,,
B305.Å1_VMM71,building,B305,,
B307.Å1_VMM71,building,B307,,
B307.Å1_VMM72,building,B307,,
B339.Å1_VMM70,building,B339,,
B311.Å1_VMM71,building,B311,,
B334.Å1_VMM71,building,B334,,
B330.Å1_VMM71,building,B330,,
B337.Å1_VMM71,building,B337,,
B308.Å1_VMM71,building,B308,,
B327.Å1_VMM71,building,B327,,
B310.Å1_VMM70,building,B310,,
B311.Å1_VMM72,building,B311,,
B317.Å1_VMM72,building,B317,,
B313.Å1_VMM71,building,B313,,
B317.Å1_VMM71,building,B317,,
B313.Å1_VMM72,building,B313,,
B315.Å1_VMM71,building,B315,,
B325.Panna2_MWH,building,B325,,
B325.Panna3_MWH,building,B325,,
B390.Å1_VMM70,building,B390,,
B330.Å1_VMM72,building,B330,,
B330.Å1_VMM73,building,B330,,
B341.Å1_VMM71,building,B341,,
B385.Å1_VMM71,building,B385,,
B392.Å1_VMM71,building,B392,,
B207.T94-2-1,building,B202,,
B207.T94-2-2,building,B203,,
B207.T94-2-3,building,B207,,
B207.T94-2-4,building,B201,,
B207.T94-4-3,building,B217,,
B207.T94-4-4,building,B216,,
B207.T94-4-5,building,B217,,
B207.T94-4-6,building,B217,,
B207.T94-4-7,building,B216,,
B207.T95-3-1,building,B216,,
B207.T95-3-2,building,B203,,
B207.T95-3-3,building,B216,,
B207.T95-3-4,building,B216,,
B207.T95-3-6,building,B202,,
B207.T95-5-5,building,B217,,
B207.T95-5-6,building,B217,,
B207.T95-5-7,building,B217,,
B209.T21,building,B209,,
B209.T21-4-6,campus,SNV,,
B209.T32,building,B209,,
B209.T32-2-2,building,B319,,
B209.T32-2-4,campus,SNV,,
B209.T32-4-2,campus,SNV,,
B307.T10-1,building,B307,,
B307.T10-5-2,building,B387,,
B307.T10-5-3,campus,SNV,,
B307.T10-6-2,campus,SNV,,
B307.T10-6-5,campus,SNV,,
B307.T10-6-8,campus,SNV,,
B307.T10-6-9,campus,SNV,,
B307.T10-7-3,campus,SNV,,
B307.T10-7-4,campus,SNV,,
B307.T10-7-5,campus,SNV,,
B307.T10-7-6,building,B302,,
B307.T10-7-7,campus,SNV,,
B307.T11-1,building,B307,,
B307.T11-7-10,campus,SNV,,
B307.T11-7-7,campus,SNV,,
B307.T11-8-5,campus,SNV,,
B307.T77-4-5-B,building,B385,,
B308.T57,building,B308,,
B308.T57-3-2,building,B403,,
B308.T57-4-7,campus,SNV,,
B308.T58,building,B308,,
B308.T58-4-2,building,B327,,
B308.T58-7-8,building,B326,,
B308.T58-8-3,building,B342,,
B308.T59,building,B308,,
B310.T27,campus,SNV,,
B310.T27-12-2,campus,SNV,,
B310.T28,campus,SNV,,
B310.T28-23-2,building,B315,,
B311.T29,campus,SNV,,
B311.T56,campus,SNV,,
B311.T56-4-7,building,B381,,
B311.T79,campus,SNV,,
B311.T80,campus,SNV,,
B311.T80-2-3,campus,SNV,,
B312.T34,campus,SNV,,
B312.T34-2-3,campus,SNV,,
B312.T34-2-4,campus,SNV,,
B312.T34-2-5,building,B385,,
B313.T26S,campus,SNV,,
B313.T26S-2-12,campus,SNV,,
B313.T26S-2-32,building,B303,,
B313.T26S-2-6,building,B301,,
B313.T26S-2-XX,campus,SNV,,
B313.T26S-3-12,building,B304,,
B313.T26S-3-16,campus,SNV,,
B313.T26S-3-20,campus,SNV,,
B313.T26S-3-24,campus,SNV,,
B313.T26S-3-28,campus,SNV,,
B313.T26S-3-32,building,B314,,
B317.T49,campus,SNV,,
B317.T49-3-9,campus,SNV,,
B317.T49-4-2,building,B314,,
B317.T49-4-3,building,B303,,
B317.T49-4-4,campus,SNV,,
B317.T49-4-6,campus,SNV,,
B317.T49-4-7,campus,SNV,,
B317.T49-4-9,campus,SNV,,
B317.T49-5-1,campus,SNV,,
B317.T49-5-2,campus,SNV,,
B317.T49-5-5,building,B314,,
B317.T49-5-6,campus,SNV,,
B317.T49-5-7,campus,SNV,,
B317.T49-5-9,campus,SNV,,
B318.T21-6-2-A,campus,SNV,,
B324.T14-4-1,building,B325,,
B325.T12,building,B325,,
B325.T13,building,B325,,
B328.T19-3-1,building,B327,,
B328.T19-3-3,building,B328,,
B328.T19-3-4,campus,SNV,,
B328.T19-4-2,campus,SNV,,
B328.T19-5-1,building,B326,,
B328.T20-2-1,building,B327,,
B328.T20-2-4,building,B353,,
B328.T20-3-1,campus,SNV,,
B328.T20-4-1,building,B326,,
B330.T30,building,B330,,
B330.T36,building,B330,,
B330.T37,building,B330,,
B330.T64,building,B330,,
B330.T65,building,B330,,
B334.T87,building,B334,,
B334.T87-5-2,campus,SNV,,
B334.T88,building,B334,,
B334.T88-4-2,campus,SNV,,
B334.T89,building,B334,,
B334.T91,building,B334,,
B334.T92,building,B334,,
B336.T40-3-1,building,B304,,
B337.T43,building,B337,,
B337.T44,building,B337,,
B339.T71-1,building,B339,,
B339.T72-1,building,B339,,
B339.T73-1,building,B339,,
B339.T74-1,building,B339,,
B339.T74-2-2,building,B339 Kolfilter,,
B339.T75-1,building,B339,,
B339.T76-1,building,B339,,
B339.T77-1,building,B339,,
B339.T77-4-5,campus,SNV,,
B339.T77-5-1,campus,SNV,,
B339.T78-1,building,B339,,
B339.T78-4-1,campus,SNV,,
B339.T78-4-2,campus,SNV,,
B341.T60,building,B341,,
B341.T61,building,B341,,
B341.T62,building,B341,,
B341.T63,building,B341,,
B342.T66,building,B342,,
B342.T67,building,B342,,
B360.T99-4-1,building,B330,,
B360.T99-4-2,building,B330,,
B360.T99-4-4,building,B381,,
B360.T99-4-5,campus,SNV,,
B360.T99-4-6,building,B337,,
B360.T99-7-1,building,B330,,
B371.T23-4-4,building,B301,,
B371.T31-4-4,building,B302,,
B371.T31-5,building,B302,,
B204.EL_VIRT,building,B204,,
B205.EL_VIRT,building,B205,,
B310.EL_VIRT,building,B310,,
B311.EL_VIRT,building,B311,,
B312.EL_VIRT,building,B312,,
B313.EL_VIRT,building,B313,,
B317.EL_VIRT,building,B317,,
B312.T34_unalloc,campus,SNV,,
B392.EL_VIRT,building,B392,,
B344.EL_VIRT,building,B344,,
B318.EL_VIRT,building,B318,,
B305.EL_VIRT,building,B305,,
SNV.EL_UNALLOC,campus,SNV,,
B325.T12-3-4,campus,SNV,,
B325.T13-5-6,campus,SNV,,
B325.T13-6-3,campus,SNV,,
B324.H3,campus,SNV,,
B328.T19-3-2,campus,SNV,,
B328.T20-3-2,campus,SNV,,
B201.KV1_VMM21_V,building,B201,,
B207.KV1_VMM21,building,B202,,
B203.KV1_VMM22_V,building,B202,,
B202.KV1_VMM21_V,building,B202,,
B202.KV1_VMM22_V,campus,SNV,,
B203.KV1_VMM21_V,building,B203,,
B204.KV1_VMM22_V,building,B204,,
B207.KV1_VMM22,building,B207,,
B216.KV1_VMM21,building,B216,,
B217.KV1_VMM24_V,building,B217,,
B209.KV1_VMM21_V,building,B209,,
B301.KV1_VMM21_V,building,B301,,
B302.KV1_VMM22_V,building,B302,,
B302.KV1_VMM23_V,building,B302,,
B302.KV1_VMM21_V,campus,SNV,,
B303.KV1_VMM21_V,building,B303,,
B304.KV1_VMM21_V,building,B304,,
B304.KV1_VMM22_V,building,B304,,
B304.KV1_VMM23_V,building,B304,,
B305.KV1_VMM22_V,building,B305,,
B305.KV1_VMM23_V,building,B305,,
B305.KV1_VMM21_V,campus,SNV,,
B307.KV1_VMM21_V,building,B307,,
B344.KV1_VMM21_V,building,B344,,
B342.KV1_VMM21_V,building,B342,,
B308.KV1_VMM21_V,building,B308,,
B308.KV1_VMM23_V,building,B308,,
B310.KV1_VMM23_V,building,B310,,
B310.KV1_VMM27_V,building,B310,,
B310.KV1_VMM20_V,building,B310,,
B310.KV1_VMM22_V,building,B310,,
B310.KV1_VMM21_V,building,B310,,
B315.KV1_VMM21_V,building,B315,,
B313.KV1_VMM22_V,building,B313,,
B314.KV1_VMM22_V,building,B314,,
B311.KV1_VMM26_V,building,B311,,
B317.KV1_VMM21_V,building,B317,,
B317.KV1_VMM22_V,building,B317,,
B317.KV1_VMM23_V,building,B317,,
B317.KV1_VMM25_V,building,B317,,
B311.KV1_VMM27_V,campus,SNV,,
B337.KV1_VMM21_V,building,B337,,
B381.KV1_VMM21_V,building,B381,,
B310.KV1_VMM24_V,campus,SNV,,
B313.KV1_VMM21_V,building,B313,,
B312.KV1_VMM21_V,building,B312,,
B314.KV1_VMM21_V,building,B314,,
B318.KV1_VMM21_V,building,B318,,
B353.KV1_VMM21_V,building,B353,,
B319.KV1_VMM21,building,B319,,
B325.KV1_VMM23_V,building,B325,,
B326.KV1_VMM21,building,B326,,
B327.KV1_VMM21_V,building,B327,,
B330.KV1_VMM23_V,building,B330,,
B334.KV1_VMM21,building,B334,,
B337.KV1_VMM22_V,building,B337,,
B339.KV1_VMM23_V,building,B339,,
B341.KV1_VMM21_V,building,B341,,
B385.KV1_VMM21_V,building,B385,,
B389.BRV1_VMM21,building,B389,,
B392.KV1_VMM21,building,B392,,
B392.KV1_VMM22,building,B392,,
B420.KV1_VMM21_V,building,B420,,
B201.KB1_Elogg,building,B201,,
B202.VENT,building,B202,,
B203.KB1,building,B203,,
B203.KB5-Intverk,building,B203,,
B207.VENT,building,B207,,
B209.KB1,building,B209,,
B209.KB4_VMM51,building,B209,,
B209.KB6_VMM51,building,B209,,
B216.KB1,building,B216,,
B216.VENT,building,B216,,
B217.KB1,building,B217,,
B304.KB2,campus,SNV,,
B304.KB1,building,B304,,
B305.KB1,campus,SNV,,
B307.KB1,campus,SNV,,
B307.KB1_VMM52,campus,SNV,,
B308.KB1,building,B308,,
B312.KB1,building,B312,,
B318.KB1,building,B318,,
B327.KB1,building,B327,,
B331.KB1_VMM51,building,B330,,
B339.KB1_INT_VERK1,building,B339,,
B339.KB1_VVS,building,B339,,
B339.KB1_KOLF,building,B339,,
B341.KB1,building,B341,,
B392.KB1_VMM51,building,B392,,
B212.KB5,building,B212,,
B336.KB1,building,B336,,
B302.KYLA_VIRT,building,B302,,
B303.KYLA_VIRT,building,B303,,
B305.KYLA_VIRT,building,B305,,
B307.KYLA_VIRT,building,B307,,
B304-52-V2-AW026,building,B304,,
B305.V2_VMM21,building,B305,,
B308.V2_VM21-V,building,B308,,
B310.V2_GF4_1,campus,SNV,,
B325.V2_GF4_1,building,B325,,
B330.V2_GF4_1,campus,SNV,,
B334.V2_VM90_V,building,B334,,
B337.V2_GF4_1,building,B337,,
B339.V2_GF4_1,building,B339,,
B339.V2_GF3_3,building,B339,,
B339.V2_GF3_4,building,B339,,
B339.V2_GF4,building,B339,,
B212.V2_VMM51,building,B212,,
B229.V2_VMM51,building,B229,,
B230.V2_VMM51,building,B230,,
B392.V2_VM21_V,building,B392,,
B409.V2_GF4,building,B409,,
TE-52-V2-GF4:1 Kringlan,building,BKringlan,,
TE-52-V2-SCANIA,building,BScania,,
B310.SJOVATTEN_VIRT,building,B310,,
B311.SJOVATTEN_VIRT,building,B311,,
B330.SJOVATTEN_VIRT,building,B330,,
B331.SJOVATTEN_VIRT,building,B331,,
B201.VP1_VMM61,building,B201,,
B203.VP1_VMM61,building,B203,,
B207.VP1_VMM61,building,B207,,
B216.VP1_VMM61,building,B216,,
B217.VP1_VMM61,building,B217,,
B301.VP2_VMM61,building,B301,,
B301.VP2_VMM62,building,B301,,
B302.VP2_VMM61,building,B302,,
B302.VP2_VMM62,building,B302,,
B303.VP2_VMM61,building,B303,,
B304.VP2_VMM61,building,B304,,
B304.VP2_VMM62,building,B304,,
B305.VP2_VMM61,building,B305,,
B307.VS1_VMM61,building,B307,,
B308.VS1_VMM61,building,B308,,
B327.VS1_VMM61,building,B327,,
B310.VP2_VMM61,building,B310,,
B310.VP1_VMM61,building,B310,,
B310.VS2_VMM61,building,B310,,
B310.VS2_VMM62,building,B310,,
B312.VP2_VMM61,building,B312,,
B341.VS1_VMM61,building,B341,,
B311.VP1_VMM62,building,B311,,
B311.VP1_VMM65,building,B311,,
B311.VS2_VMM61,building,B311,,
B317.VP1_VMM63,building,B317,,
B317.VP1_VMM61,building,B317,,
B313.VS1_VMM61,building,B313,,
B313.VP1_VMM62,building,B313,,
B311.VP1_VMM64,building,B311,,
B385.VP2_VMM61,building,B385,,
B312.VP2_VMM62,building,B312,,
B317.VP1_VMM62,building,B317,,
B381.VP1_VMM61,building,B381,,
B314.VP1_VMM61,building,B314,,
B315.VP1_VMM61,building,B315,,
B318.VP1_VMM61,building,B318,,
B319.VP1_VMM61,building,B319,,
B325.VP1_VMM61,building,B325,,
B326.VS1_VMM61,building,B326,,
B330.VS1_VMM61,building,B330,,
B334.VS1_VMM61,building,B334,,
B337.VS12_VMM61,building,B337,,
B337.VP12_VMM61,building,B337,,
B339.VS1_VMM61,building,B339,,
B203.FV1_MQ4_E,campus,SNV,,
B216.FV1_VMM61_E,campus,SNV,,
B308.FV1_VMM61_E,campus,SNV,,
B310.FV1_VMM61,campus,SNV,,
B310.FV1_VMM62,campus,SNV,,
B310.FV1_VMM63,campus,SNV,,
B310.FV1_VMM64,campus,SNV,,
B318.FV1_VMM80,campus,SNV,,
B330.FV1_INT_VERK_E,campus,SNV,,
B334.VP1_VMM1_E,campus,SNV,,
B339.FV1_VMM61_E,campus,SNV,,
SNV.VARME_INTAKE,campus,SNV,,
B324.H4_1,campus,SNV,,
B324.EL_INTAKE,campus,SNV,,
