parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B209.T21,B209.T21-4-6,hasSubMeter,,,,el_naming_hierarchy
B209.T32,B209.T32-2-2,hasSubMeter,,,,el_naming_hierarchy
B209.T32,B209.T32-2-4,hasSubMeter,,,,el_naming_hierarchy
B209.T32,B209.T32-4-2,hasSubMeter,,,,el_naming_hierarchy
B308.T57,B308.T57-3-2,hasSubMeter,,,,el_naming_hierarchy
B308.T57,B308.T57-4-7,hasSubMeter,,,,el_naming_hierarchy
B308.T58,B308.T58-4-2,hasSubMeter,,,,el_naming_hierarchy
B310.T27,B310.T27-12-2,hasSubMeter,,,,el_naming_hierarchy
B310.T28,B310.T28-23-2,hasSubMeter,,,,el_naming_hierarchy
B311.T56,B311.T56-4-7,hasSubMeter,,,,el_naming_hierarchy
B311.T80,B311.T80-2-3,hasSubMeter,,,,el_naming_hierarchy
B312.T34,B312.T34-2-3,hasSubMeter,,,,el_naming_hierarchy
B312.T34,B312.T34-2-4,hasSubMeter,,,,el_naming_hierarchy
B312.T34,B312.T34-2-5,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-2-12,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-2-32,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-2-6,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-12,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-16,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-20,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-24,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-28,hasSubMeter,,,,el_naming_hierarchy
B313.T26S,B313.T26S-3-32,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-3-9,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-2,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-3,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-4,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-6,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-7,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-4-9,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-1,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-2,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-5,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-6,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-7,hasSubMeter,,,,el_naming_hierarchy
B317.T49,B317.T49-5-9,hasSubMeter,,,,el_naming_hierarchy
B334.T87,B334.T87-5-2,hasSubMeter,,,,el_naming_hierarchy
B334.T88,B334.T88-4-2,hasSubMeter,,,,el_naming_hierarchy
B209.T32-4-2,B204.EL_VIRT,feeds,0.75,,,excel_EL_fractional
B209.T32-4-2,B205.EL_VIRT,feeds,0.25,,,excel_EL_fractional
B312.T34,B312.EL_VIRT,feeds,0.85,,,excel_EL_fractional
B317.T49,B310.EL_VIRT,feeds,0.4,,,excel_EL_fractional
B317.T49,B313.EL_VIRT,feeds,0.1,,,excel_EL_fractional
B317.T49,B317.EL_VIRT,feeds,0.5,,,excel_EL_fractional
B313.T26S,B310.EL_VIRT,feeds,0.5,,,excel_EL_fractional
B313.T26S,B311.EL_VIRT,feeds,0.5,,,excel_EL_fractional
B311.T29,B310.EL_VIRT,feeds,0.333333,,,excel_EL_fractional
B311.T29,B311.EL_VIRT,feeds,0.666667,,,excel_EL_fractional
B317.T49-3-9,B317.EL_VIRT,feeds,0.5,,,excel_EL_t49_extra_compensation
B317.T49-3-9,B313.EL_VIRT,feeds,0.1,,,excel_EL_t49_extra_compensation
B317.T49-4-4,B317.EL_VIRT,feeds,0.5,,,excel_EL_t49_extra_compensation
