meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B216.Å1_VMM71,216 ANGA meter Å1_VMM71,B216,ANGA,False,snowflake=B216.Å1_VM71; strux=B216.Å1_VM71,,
B216.Å1_VMM72,216 ANGA meter Å1_VMM72,B216,ANGA,False,snowflake=B216.Å1_VMM72_E; strux=B216.Å1_VMM72_E,,2025-01-01
B217.Å1_VMM71,217 ANGA meter Å1_VMM71,B217,ANGA,False,snowflake=B217.Å1_VM71; strux=B217.Å1_VM71,,
B301.Å1_VMM71,301 ANGA meter Å1_VMM71,B301,ANGA,False,snowflake=B301.Å1_VMM71_E; strux=B301.Å1_VMM71_E,,
B302.Å1_VMM71,302 ANGA meter Å1_VMM71,B302,ANGA,False,snowflake=B302.Å1_VMM71_E; strux=B302.Å1_VMM71_E,,
B302.Å1_VMM73,302 ANGA meter Å1_VMM73,B302,ANGA,False,snowflake=B302.Å1_VMM73_E; strux=B302.Å1_VMM73_E,,2025-01-01
B302.Å1_VMM72, ANGA meter Å1_VMM72,,ANGA,False,snowflake=B302.Å1_VMM72_E; strux=B302.Å1_VMM72_E,,2025-01-01
B303.Å1_VMM70,303 ANGA meter Å1_VMM70,B303,ANGA,False,snowflake=B303.Å1_VMM70_E; strux=B303.Å1_VMM70_E,,
B304.Å1_VMM71,304 ANGA meter Å1_VMM71,B304,ANGA,False,snowflake=B304.Å1_VMM71_E; strux=B304.Å1_VMM71_E,,
B305.Å1_VMM71,305 ANGA meter Å1_VMM71,B305,ANGA,False,snowflake=B305.Å1_VMM71_E; strux=B305.Å1_VMM71_E,,2025-01-01
B307.Å1_VMM71,307 ANGA meter Å1_VMM71,B307,ANGA,False,snowflake=B307.Å1_VMM71_E; strux=B307.Å1_VMM71_E,,
B307.Å1_VMM72,307 ANGA meter Å1_VMM72,B307,ANGA,False,snowflake=B307.Å1_VMM72_E; strux=B307.Å1_VMM72_E,2025-07-23,
B339.Å1_VMM70,339 ANGA meter Å1_VMM70,B339,ANGA,False,snowflake=B339.Å1_VMM70_E; strux=B339.Å1_VMM70_E,,
B311.Å1_VMM71,311 ANGA meter Å1_VMM71,B311,ANGA,False,snowflake=B311.Å1_VMM71_E; strux=B311.Å1_VMM71_E,,
B334.Å1_VMM71,334 ANGA meter Å1_VMM71,B334,ANGA,False,snowflake=B334.Å1_VMM71_E; strux=B334.Å1_VMM71_E,,
B330.Å1_VMM71,330 ANGA meter Å1_VMM71,B330,ANGA,False,snowflake=B330.Å1_VMM71_E; strux=B330.Å1_VMM71_E,,
B337.Å1_VMM71,337 ANGA meter Å1_VMM71,B337,ANGA,False,snowflake=B337.Å1_VMM71_E; strux=B337.Å1_VMM71_E,,
B308.Å1_VMM71,308 ANGA meter Å1_VMM71,B308,ANGA,False,snowflake=B308.Å1_VMM71_E; strux=B308.Å1_VMM71_E,,
B327.Å1_VMM71,327 ANGA meter Å1_VMM71,B327,ANGA,False,snowflake=B327.Å1_VMM71_E; strux=B327.Å1_VMM71_E,,
B310.Å1_VMM70,310 ANGA meter Å1_VMM70,B310,ANGA,False,snowflake=B310.Å1_VMM70_E; strux=B310.Å1_VMM70_E,,
B311.Å1_VMM72,311 ANGA meter Å1_VMM72,B311,ANGA,False,snowflake=B311.Å1_VMM72_E; strux=B311.Å1_VMM72_E,,
B317.Å1_VMM72,317 ANGA meter Å1_VMM72,B317,ANGA,False,snowflake=B317.Å1_VMM72_E; strux=B317.Å1_VMM72_E,,
B313.Å1_VMM71,313 ANGA meter Å1_VMM71,B313,ANGA,False,snowflake=B313.Å1_VM71; strux=B313.Å1_VM71,,
B317.Å1_VMM71,317 ANGA meter Å1_VMM71,B317,ANGA,False,snowflake=B317.Å1_VMM71_E; strux=B317.Å1_VMM71_E,,
B313.Å1_VMM72,313 ANGA meter Å1_VMM72,B313,ANGA,False,snowflake=B313.Å1_VMM72_E; strux=B313.Å1_VMM72_E,,2025-01-01
B315.Å1_VMM71,315 ANGA meter Å1_VMM71,B315,ANGA,False,snowflake=B315.Å1_VMM71_E; strux=B315.Å1_VMM71_E,,
B325.Panna2_MWH,325 ANGA meter Panna2_MWH,B325,ANGA,False,snowflake=B325.Panna2_MWH; strux=B325.Panna2_MWH,,
B325.Panna3_MWH,325 ANGA meter Panna3_MWH,B325,ANGA,False,snowflake=B325.Panna3_MWH; strux=B325.Panna3_MWH,,
B390.Å1_VMM70,390 ANGA meter Å1_VMM70,B390,ANGA,False,snowflake=B390.Å1_VMM70_E; strux=B390.Å1_VMM70_E,,
B330.Å1_VMM72,330 ANGA meter Å1_VMM72,B330,ANGA,False,snowflake=B330.Å1_VMM72_E; strux=B330.Å1_VMM72_E,,
