timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B216.Å1_VMM71:d.raw,B216.Å1_VMM71.energy,daily,counter,raw,False,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.Å1_VM71,,,
B216.Å1_VMM72:d,B216.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B216.Å1_VMM72_E,,,
B217.Å1_VMM71:d,B217.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B217.Å1_VMM71:d.A|B217.Å1_VMM71:d.patch|B217.Å1_VMM71:d.B,rolling_sum
B301.Å1_VMM71:d,B301.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B301.Å1_VMM71_E,,,
B302.Å1_VMM71:d,B302.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.Å1_VMM71_E,,,
B302.Å1_VMM73:d,B302.Å1_VMM73.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.Å1_VMM73_E,,,
B302.Å1_VMM72:d,B302.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B302.Å1_VMM72_E,,,
B303.Å1_VMM70:d,B303.Å1_VMM70.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B303.Å1_VMM70_E,,,
B304.Å1_VMM71:d,B304.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B304.Å1_VMM71_E,,,
B305.Å1_VMM71:d,B305.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B305.Å1_VMM71_E,,,
B307.Å1_VMM71:d.A,B307.Å1_VMM71.energy,daily,counter,raw,False,,2025-07-31,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.Å1_VMM71_E,,,
B307.Å1_VMM71:d.B,B307.Å1_VMM71.energy,daily,counter,raw,False,2025-07-31,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.Å1_VMM71_E,,,
B307.Å1_VMM71:d,B307.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B307.Å1_VMM71:d.A|B307.Å1_VMM71:d.B,rolling_sum
B307.Å1_VMM72:d.A,B307.Å1_VMM72.energy,daily,counter,raw,False,,2025-07-31,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.Å1_VMM72_E,,,
B307.Å1_VMM72:d.B,B307.Å1_VMM72.energy,daily,counter,raw,False,2025-07-31,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.Å1_VMM72_E,,,
B307.Å1_VMM72:d,B307.Å1_VMM72.energy,daily,counter,derived,True,,,,,,,B307.Å1_VMM72:d.A|B307.Å1_VMM72:d.B,rolling_sum
B339.Å1_VMM70:d,B339.Å1_VMM70.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B339.Å1_VMM70_E,,,
B311.Å1_VMM71:d,B311.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.Å1_VMM71_E,,,
B334.Å1_VMM71:d,B334.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B334.Å1_VMM71_E,,,
B330.Å1_VMM71:d,B330.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B330.Å1_VMM71_E,,,
B337.Å1_VMM71:d,B337.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B337.Å1_VMM71_E,,,
B308.Å1_VMM71:d.raw,B308.Å1_VMM71.energy,daily,counter,raw,False,,2026-02-07,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.Å1_VMM71_E,,,
B327.Å1_VMM71:d,B327.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B327.Å1_VMM71_E,,,
B310.Å1_VMM70:d,B310.Å1_VMM70.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B310.Å1_VMM70_E,,,
B311.Å1_VMM72:d,B311.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B311.Å1_VMM72_E,,,
B317.Å1_VMM72:d.raw,B317.Å1_VMM72.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B317.Å1_VMM72_E,,,
B317.Å1_VMM72:d.A,B317.Å1_VMM72.energy,daily,counter,derived,False,,2025-09-21,,,,,B317.Å1_VMM72:d.raw,slice
B317.Å1_VMM72:d.patch,B317.Å1_VMM72.energy,daily,counter,derived,False,2025-09-21,2026-01-14,,,,,B317.Å1_VMM72:d.raw,interpolate
