facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B600N.Å1_VMM71,B600N.Å1_VMM71_E,B600N.Å1_VMM71_E,yes,high,"snowflake has 'B600N.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B600N.Å1_VMM71_E'; excel Ånga row(s) for buildings 600 roles=add"
B600S.Å1_VMM71,B600S.Å1_VMM71_E,B600S.Å1_VMM71_E,yes,high,"snowflake has 'B600S.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B600S.Å1_VMM71_E'; excel Ånga row(s) for buildings 600 roles=add"
B611.Å1_VMM71,B611.Å1_VM71,B611.Å1_VM71,yes,high,"snowflake has 'B611.Å1_VM71' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B611.Å1_VM71'; excel Ånga row(s) for buildings 611 roles=add"
B611.Å1_VMM72,B611.Å1_VM72,,no,medium,"snowflake has 'B611.Å1_VM72' (normalisation VMM↔VM, ±_E); not used in Excel Ånga sheet (flow-schema-only meter)"
B611.Å1_VMM73,B611.Å1_VM73,B611.Å1_VM73,yes,high,"snowflake has 'B611.Å1_VM73' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B611.Å1_VM73'; excel Ånga row(s) for buildings 611 roles=add"
B612.Å1_VMM71,B612.Å1_VMM71_E,B612.Å1_VMM71_E,yes,high,"snowflake has 'B612.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B612.Å1_VMM71_E'; excel Ånga row(s) for buildings 612 roles=add"
B612.Å1_VMM72,B612.Å1_VMM72_E,B612.Å1_VMM72_E,yes,high,"snowflake has 'B612.Å1_VMM72_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B612.Å1_VMM72_E'; excel Ånga row(s) for buildings 612 roles=add"
B613.Å1_VMM71,B613.Å1_VM71,B613.Å1_VM71,yes,high,"snowflake has 'B613.Å1_VM71' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B613.Å1_VM71'; excel Ånga row(s) for buildings 612|613 roles=add|sub"
B614.Å1_VMM71,B614.Å1_VM71,B614.Å1_VM71,yes,high,"snowflake has 'B614.Å1_VM71' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B614.Å1_VM71'; excel Ånga row(s) for buildings 614 roles=add"
B614.Å1_VMM72,B614.Å1_VM72,B614.Å1_VM72,yes,high,"snowflake has 'B614.Å1_VM72' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B614.Å1_VM72'; excel Ånga row(s) for buildings 614 roles=add"
B616.Å1_VMM71,B616.Å1_VMM71_E,B616.Å1_VM71,yes,high,"snowflake has 'B616.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B616.Å1_VM71'; excel Ånga row(s) for buildings 616 roles=add"
B621.Å1_VMM70,B621.Å1_VM70,B621.Å1_VM70,yes,high,"snowflake has 'B621.Å1_VM70' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B621.Å1_VM70'; excel Ånga row(s) for buildings 621 (T) roles=add"
B622.Å1_VMM72,B622.Å1_VM72,B622.Å1_VM72,yes,high,"snowflake has 'B622.Å1_VM72' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B622.Å1_VM72'; excel Ånga row(s) for buildings 611|622 roles=add|sub"
B641.Å1_VMM71,B641.Å1_VM71,B641.Å1_VM71,yes,high,"snowflake has 'B641.Å1_VM71' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B641.Å1_VM71'; excel Ånga row(s) for buildings 612|641 roles=add|sub"
B642.Å1_VMM71,B642.Å1_VM71,,no,medium,"snowflake has 'B642.Å1_VM71' (normalisation VMM↔VM, ±_E); not used in Excel Ånga sheet (flow-schema-only meter)"
B642.Å1_VMM72,B642.Å1_VM72,B642.Å1_VM72,yes,high,"snowflake has 'B642.Å1_VM72' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B642.Å1_VM72'; excel Ånga row(s) for buildings 614|642 roles=add|sub"
B643.Å1_VMM71,B643.Å1_VMM71_E,B643.Å1_VMM71_E,yes,high,"snowflake has 'B643.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B643.Å1_VMM71_E'; excel Ånga row(s) for buildings 643 roles=add"
B821.Å1_VMM71,B821.Å1_VMM71_E,B821.Å1_VMM71_E,yes,high,"snowflake has 'B821.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B821.Å1_VMM71_E'; excel Ånga row(s) for buildings 821 roles=add"
B833.Å1_VMM71,B833.Å1_VMM71_E,B833.Å1_VMM71_E,yes,high,"snowflake has 'B833.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B833.Å1_VMM71_E'; excel Ånga row(s) for buildings 833 roles=add"
B841.Å1_VMM71,B841.Å1_VMM71_E,B841.Å1_VMM71_E,yes,high,"snowflake has 'B841.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B841.Å1_VMM71_E'; excel Ånga row(s) for buildings 841 roles=add"
B921.Å1_VMM71,B921.Å1_VMM71_E,B921.Å1_VMM71_E,yes,high,"snowflake has 'B921.Å1_VMM71_E' (normalisation VMM↔VM, ±_E); STRUX catalog has 'B921.Å1_VMM71_E'; excel Ånga row(s) for buildings 921 roles=add"
