building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,n_terms
600,8,S,+,add,B600N.Å1_VMM71_E,B600N.Å1_VMM71,
600,8,T,+,add,B600S.Å1_VMM71_E,B600S.Å1_VMM71,
611,12,S,+,add,B611.Å1_VM71,B611.Å1_VMM71,
611,12,T,+,add,B611.Å1_VM73,B611.Å1_VMM73,
611,12,U,−,sub,B622.Å1_VM72,B622.Å1_VMM72,
612,13,S,+,add,B612.Å1_VMM71_E,B612.Å1_VMM71,
612,13,T,+,add,B612.Å1_VMM72_E,B612.Å1_VMM72,
612,13,U,−,sub,B613.Å1_VM71,B613.Å1_VMM71,
612,13,V,−,sub,B641.Å1_VM71,B641.Å1_VMM71,
613,14,S,+,add,B613.Å1_VM71,B613.Å1_VMM71,
614,15,S,+,add,B614.Å1_VM71,B614.Å1_VMM71,
614,15,T,+,add,B614.Å1_VM72,B614.Å1_VMM72,
614,15,U,−,sub,B642.Å1_VM72,B642.Å1_VMM72,
616,17,S,+,add,B616.Å1_VM71,B616.Å1_VMM71,
621 (T),19,S,+,add,B621.Å1_VM70,B621.Å1_VMM70,
622,21,S,+,add,B622.Å1_VM72,B622.Å1_VMM72,
641,28,S,+,add,B641.Å1_VM71,B641.Å1_VMM71,
642,29,S,+,add,B642.Å1_VM72,B642.Å1_VMM72,
643,30,S,+,add,B643.Å1_VMM71_E,B643.Å1_VMM71,
821,49,S,+,add,B821.Å1_VMM71_E,B821.Å1_VMM71,
833,50,S,+,add,B833.Å1_VMM71_E,B833.Å1_VMM71,
841,52,S,+,add,B841.Å1_VMM71_E,B841.Å1_VMM71,
921,56,S,+,add,B921.Å1_VMM71_E,B921.Å1_VMM71,
