meter_id,building,meter_type
B600N.Å1_VMM71,,real
B600S.Å1_VMM71,,real
B611.Å1_VMM71,611,real
B611.Å1_VMM72,611,real
B611.Å1_VMM73,611,real
B612.Å1_VMM71,612,real
B612.Å1_VMM72,612,real
B613.Å1_VMM71,613,real
B614.Å1_VMM71,614,real
B614.Å1_VMM72,614,real
B616.Å1_VMM71,616,real
B621.Å1_VMM70,621,real
B622.Å1_VMM72,622,real
B641.Å1_VMM71,641,real
B642.Å1_VMM71,642,real
B642.Å1_VMM72,642,real
B643.Å1_VMM71,643,real
B821.Å1_VMM71,821,real
B833.Å1_VMM71,833,real
B841.Å1_VMM71,841,real
B921.Å1_VMM71,921,real
B600.ANGA_BUILDING,600,virtual
B611.ANGA_BUILDING,611,virtual
B612.ANGA_BUILDING,612,virtual
B613.ANGA_BUILDING,613,virtual
B614.ANGA_BUILDING,614,virtual
B616.ANGA_BUILDING,616,virtual
B621T.ANGA_BUILDING,621,virtual
B622.ANGA_BUILDING,622,virtual
B641.ANGA_BUILDING,641,virtual
B642.ANGA_BUILDING,642,virtual
B643.ANGA_BUILDING,643,virtual
B821.ANGA_BUILDING,821,virtual
B833.ANGA_BUILDING,833,virtual
B841.ANGA_BUILDING,841,virtual
B921.ANGA_BUILDING,921,virtual
B600.ANGA_INTAKE,,virtual
