media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
ANGA,B600,2026-01,3932.15,0.00,-3932.15,campus_attributed,No ANGA meter targets B600 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
ANGA,B600,2026-02,2431.89,0.00,-2431.89,campus_attributed,No ANGA meter targets B600 in the ontology — all meters tied to this Excel line are bucketed at campus level. Excel and ontology measure the same reading at different scopes.
ANGA,B602,2026-01,0.00,0.00,0.00,match,
ANGA,B602,2026-02,0.00,0.00,0.00,match,
ANGA,B603,2026-01,0.00,0.00,0.00,match,
ANGA,B603,2026-02,0.00,0.00,0.00,match,
ANGA,B604,2026-01,0.00,0.00,0.00,match,
ANGA,B604,2026-02,0.00,0.00,0.00,match,
ANGA,B611,2026-01,1211.87,1211.87,0.00,match,
ANGA,B611,2026-02,1200.91,1200.91,0.00,match,
ANGA,B612,2026-01,777.28,777.28,0.00,match,
ANGA,B612,2026-02,815.16,815.16,0.00,match,
ANGA,B613,2026-01,0.00,0.00,0.00,match,
ANGA,B613,2026-02,0.00,0.00,0.00,match,
ANGA,B614,2026-01,711.08,711.08,-0.00,match,
ANGA,B614,2026-02,677.81,677.81,0.00,match,
ANGA,B615,2026-01,0.00,0.00,0.00,match,
ANGA,B615,2026-02,0.00,0.00,0.00,match,
ANGA,B616,2026-01,0.00,858.75,858.75,excel_stale,"Meter live (~900 MWh/month) but Excel attributes 0 — known ""Excel=0 but meter live"" misallocation."
ANGA,B616,2026-02,0.00,942.01,942.01,excel_stale,"Meter live (~900 MWh/month) but Excel attributes 0 — known ""Excel=0 but meter live"" misallocation."
ANGA,B620,2026-01,0.00,0.00,0.00,match,
ANGA,B620,2026-02,0.00,0.00,0.00,match,
ANGA,B621,2026-01,961.07,961.07,0.00,match,
ANGA,B621,2026-02,943.51,943.51,0.00,match,
ANGA,B622,2026-01,43.19,43.19,0.00,match,
ANGA,B622,2026-02,52.57,52.57,0.00,match,
ANGA,B623,2026-01,0.00,0.00,0.00,match,
ANGA,B623,2026-02,0.00,0.00,0.00,match,
ANGA,B625,2026-01,0.00,0.00,0.00,match,
ANGA,B625,2026-02,0.00,0.00,0.00,match,
ANGA,B631,2026-01,0.00,0.00,0.00,match,
ANGA,B631,2026-02,0.00,0.00,0.00,match,
ANGA,B634,2026-01,0.00,0.00,0.00,match,
ANGA,B634,2026-02,0.00,0.00,0.00,match,
ANGA,B637,2026-01,0.00,0.00,0.00,match,
ANGA,B637,2026-02,0.00,0.00,0.00,match,
ANGA,B638,2026-01,0.00,0.00,0.00,match,
ANGA,B638,2026-02,0.00,0.00,0.00,match,
ANGA,B641,2026-01,0.00,0.00,0.00,match,
ANGA,B641,2026-02,0.00,0.00,0.00,match,
ANGA,B642,2026-01,89.04,89.04,0.00,match,
ANGA,B642,2026-02,105.76,105.76,-0.00,match,
ANGA,B643,2026-01,132.06,132.06,0.00,match,
ANGA,B643,2026-02,169.00,169.00,0.00,match,
ANGA,B649,2026-01,0.00,0.00,0.00,match,
ANGA,B649,2026-02,0.00,0.00,0.00,match,
ANGA,B650,2026-01,0.00,0.00,0.00,match,
ANGA,B650,2026-02,0.00,0.00,0.00,match,
ANGA,B651,2026-01,0.00,0.00,0.00,match,
ANGA,B651,2026-02,0.00,0.00,0.00,match,
ANGA,B652,2026-01,0.00,0.00,0.00,match,
ANGA,B652,2026-02,0.00,0.00,0.00,match,
ANGA,B653,2026-01,0.00,0.00,0.00,match,
ANGA,B653,2026-02,0.00,0.00,0.00,match,
ANGA,B654,2026-01,0.00,0.00,0.00,match,
