parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B600N.Å1_VMM71,B616.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B643.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B833.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600N.Å1_VMM71,B921.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B611.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B611.Å1_VMM73,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B612.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B612.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B614.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B614.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B621.Å1_VMM70,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B821.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B600S.Å1_VMM71,B841.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B611.Å1_VMM73,B611.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B611.Å1_VMM73,B622.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B612.Å1_VMM71,B613.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B612.Å1_VMM71,B641.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B614.Å1_VMM71,B642.Å1_VMM72,hasSubMeter,,,,flow_schema_V600-52.E.8-001
B642.Å1_VMM72,B642.Å1_VMM71,hasSubMeter,,,,flow_schema_V600-52.E.8-001
