meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B600N.Å1_VMM71,600 ANGA meter Å1_VMM71,B600,ANGA,False,snowflake=B600N.Å1_VMM71_E; strux=B600N.Å1_VMM71_E,,
B600S.Å1_VMM71,600 ANGA meter Å1_VMM71,B600,ANGA,False,snowflake=B600S.Å1_VMM71_E; strux=B600S.Å1_VMM71_E,,
B611.Å1_VMM71,611 ANGA meter Å1_VMM71,B611,ANGA,False,snowflake=B611.Å1_VM71; strux=B611.Å1_VM71,,
B611.Å1_VMM72,611 ANGA meter Å1_VMM72,B611,ANGA,False,snowflake=B611.Å1_VM72,,
B611.Å1_VMM73,611 ANGA meter Å1_VMM73,B611,ANGA,False,snowflake=B611.Å1_VM73; strux=B611.Å1_VM73,,
B612.Å1_VMM71,612 ANGA meter Å1_VMM71,B612,ANGA,False,snowflake=B612.Å1_VMM71_E; strux=B612.Å1_VMM71_E,,
B612.Å1_VMM72,612 ANGA meter Å1_VMM72,B612,ANGA,False,snowflake=B612.Å1_VMM72_E; strux=B612.Å1_VMM72_E,,
B613.Å1_VMM71,613 ANGA meter Å1_VMM71,B613,ANGA,False,snowflake=B613.Å1_VM71; strux=B613.Å1_VM71,,
B614.Å1_VMM71,614 ANGA meter Å1_VMM71,B614,ANGA,False,snowflake=B614.Å1_VM71; strux=B614.Å1_VM71,,
B614.Å1_VMM72,614 ANGA meter Å1_VMM72,B614,ANGA,False,snowflake=B614.Å1_VM72; strux=B614.Å1_VM72,,
B616.Å1_VMM71,616 ANGA meter Å1_VMM71,B616,ANGA,False,snowflake=B616.Å1_VMM71_E; strux=B616.Å1_VM71,,
B621.Å1_VMM70,621 ANGA meter Å1_VMM70,B621,ANGA,False,snowflake=B621.Å1_VM70; strux=B621.Å1_VM70,,
B622.Å1_VMM72,622 ANGA meter Å1_VMM72,B622,ANGA,False,snowflake=B622.Å1_VM72; strux=B622.Å1_VM72,,
B641.Å1_VMM71,641 ANGA meter Å1_VMM71,B641,ANGA,False,snowflake=B641.Å1_VM71; strux=B641.Å1_VM71,,2025-01-01
B642.Å1_VMM71,642 ANGA meter Å1_VMM71,B642,ANGA,False,snowflake=B642.Å1_VM71,,
B642.Å1_VMM72,642 ANGA meter Å1_VMM72,B642,ANGA,False,snowflake=B642.Å1_VM72; strux=B642.Å1_VM72,,
B643.Å1_VMM71,643 ANGA meter Å1_VMM71,B643,ANGA,False,snowflake=B643.Å1_VMM71_E; strux=B643.Å1_VMM71_E,,
B821.Å1_VMM71,821 ANGA meter Å1_VMM71,B821,ANGA,False,snowflake=B821.Å1_VMM71_E; strux=B821.Å1_VMM71_E,,
B833.Å1_VMM71,833 ANGA meter Å1_VMM71,B833,ANGA,False,snowflake=B833.Å1_VMM71_E; strux=B833.Å1_VMM71_E,,
B841.Å1_VMM71,841 ANGA meter Å1_VMM71,B841,ANGA,False,snowflake=B841.Å1_VMM71_E; strux=B841.Å1_VMM71_E,,2025-01-01
B921.Å1_VMM71,921 ANGA meter Å1_VMM71,B921,ANGA,False,snowflake=B921.Å1_VMM71_E; strux=B921.Å1_VMM71_E,,
