sensor_id,meter_id,point_type,unit,identifier
B600N.Å1_VMM71.energy,B600N.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B600S.Å1_VMM71.energy,B600S.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B611.Å1_VMM71.energy,B611.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B611.Å1_VMM72.energy,B611.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B611.Å1_VMM73.energy,B611.Å1_VMM73,Energy_Sensor,Megawatt-Hour,
B612.Å1_VMM71.energy,B612.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B612.Å1_VMM72.energy,B612.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B613.Å1_VMM71.energy,B613.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B614.Å1_VMM71.energy,B614.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B614.Å1_VMM72.energy,B614.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B616.Å1_VMM71.energy,B616.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B621.Å1_VMM70.energy,B621.Å1_VMM70,Energy_Sensor,Megawatt-Hour,
B622.Å1_VMM72.energy,B622.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B641.Å1_VMM71.energy,B641.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B642.Å1_VMM71.energy,B642.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B642.Å1_VMM72.energy,B642.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B643.Å1_VMM71.energy,B643.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B821.Å1_VMM71.energy,B821.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B833.Å1_VMM71.energy,B833.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B841.Å1_VMM71.energy,B841.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B921.Å1_VMM71.energy,B921.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
