timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B600N.Å1_VMM71:d,B600N.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B600N.Å1_VMM71_E,,,
B600S.Å1_VMM71:d.raw,B600S.Å1_VMM71.energy,daily,counter,raw,False,,2026-02-02,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B600S.Å1_VMM71_E,,,
B611.Å1_VMM71:d,B611.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM71,,,
B611.Å1_VMM72:d,B611.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM72,,,
B611.Å1_VMM73:d,B611.Å1_VMM73.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.Å1_VM73,,,
B612.Å1_VMM71:d,B612.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.Å1_VMM71_E,,,
B612.Å1_VMM72:d,B612.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.Å1_VMM72_E,,,
B613.Å1_VMM71:d,B613.Å1_VMM71.energy,daily,counter,raw,True,,2025-03-12,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B613.Å1_VM71,,,
B614.Å1_VMM71:d,B614.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.Å1_VM71,,,
B614.Å1_VMM72:d,B614.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.Å1_VM72,,,
B616.Å1_VMM71:d.A,B616.Å1_VMM71.energy,daily,counter,raw,False,,2025-11-05,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.Å1_VMM71_E,,,
B616.Å1_VMM71:d.B,B616.Å1_VMM71.energy,daily,counter,raw,False,2025-11-05,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.Å1_VMM71_E,,,
B616.Å1_VMM71:d,B616.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B616.Å1_VMM71:d.A|B616.Å1_VMM71:d.B,rolling_sum
B621.Å1_VMM70:d,B621.Å1_VMM70.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.Å1_VM70,,,
B622.Å1_VMM72:d,B622.Å1_VMM72.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B622.Å1_VM72,,,
B641.Å1_VMM71:d,B641.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B641.Å1_VM71,,,
B642.Å1_VMM71:d,B642.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM71,,,
B642.Å1_VMM72:d.A,B642.Å1_VMM72.energy,daily,counter,raw,False,,2025-03-15,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
B642.Å1_VMM72:d.B,B642.Å1_VMM72.energy,daily,counter,raw,False,2025-03-18,2025-07-31,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
B642.Å1_VMM72:d,B642.Å1_VMM72.energy,daily,counter,derived,True,,,,,,,B642.Å1_VMM72:d.A|B642.Å1_VMM72:d.B|B642.Å1_VMM72:d.C,rolling_sum
B643.Å1_VMM71:d,B643.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.Å1_VMM71_E,,,
B821.Å1_VMM71:d,B821.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.Å1_VMM71_E,,,
B833.Å1_VMM71:d,B833.Å1_VMM71.energy,daily,counter,raw,True,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.Å1_VMM71_E,,,
B841.Å1_VMM71:d,B841.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B841.Å1_VMM71_E,,,
B921.Å1_VMM71:d,B921.Å1_VMM71.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B921.Å1_VMM71_E,,,
B600S.Å1_VMM71:d.patch,B600S.Å1_VMM71.energy,daily,counter,derived,False,2026-02-02,,,,,,B611.Å1_VMM71:d|B611.Å1_VMM73:d|B612.Å1_VMM71:d|B612.Å1_VMM72:d|B614.Å1_VMM71:d|B614.Å1_VMM72:d|B621.Å1_VMM70:d|B821.Å1_VMM71:d|B841.Å1_VMM71:d,sum
B600S.Å1_VMM71:d,B600S.Å1_VMM71.energy,daily,counter,derived,True,,,,,,,B600S.Å1_VMM71:d.raw|B600S.Å1_VMM71:d.patch,rolling_sum
B642.Å1_VMM72:d.C,B642.Å1_VMM72.energy,daily,counter,raw,False,2025-08-01,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.Å1_VM72,,,
