meter_id,building,meter_type
B611.T1,611,real
B611.T2,611,real
B611.T3,611,real
B611.T4,611,real
B611.T4-A3,631,real
B611.T4-C1,613,real
B611.T4-C4,631,real
B611.T41,611,real
B612.T48,612,real
B612.T7,612,real
B612.T8,612,real
B612.T8-B5,637,real
B612.T8-B6,638,real
B612.T9,612,real
B614.T18,614,real
B614.T19,614,real
B614.T20,614,real
B615.T7-A2-257,615,real
B616.T31,616,real
B616.T31-6-2,616,real
B616.T32,616,real
B616.T33,616,real
B616.T33-6-1,835,real
B616.T33-6-2,835,real
B621.T29,621,real
B621.T30,621,real
B621.T5,621,real
B621.T5-2-5,651,real
B621.T6,621,real
B621.T6-2-5,658,real
B621.T6-3-1,655,real
B622.T2-3-1-B1,622,real
B625.T16,625,real
B625.T50,625,real
B634.T51,634,real
B634.T52,634,real
B641.T8-A3,641,real
B643.T37,643,real
B643.T37-2-1,642,real
B643.T40,643,real
B650.T23,650,real
B650.T23-D5,649,real
B650.T24,650,real
B652.T14-B3-J,602,real
B652.T8-A3-A14-112,652,real
B653.T17,653,real
B653.T17-A7,PARKING,real
B653.T54,653,real
B653.T55,653,real
B654.T25,654,real
B654.T26,654,real
B654.T27,654,real
B654.T53,654,real
B659.T15,659,real
B659.T28,659,real
B659.T28-3-5,,real
B660.H23-1,,real
B660.H3-1,,real
B661.T34,661,real
B661.T35,661,real
B661.T36,661,real
B661.T47,661,real
B665.T42,665,real
B665.T42-2-1,664,real
B674.T46,674,real
B821.T39-1,821,real
B821.T39-5-1,869,real
B821.T39-5-2,869,real
B821.T39-5-3,869,real
B821.T39-6-2,869,real
B833.T43,833,real
B833.T44,833,real
B833.T44-6-1,834,real
B841.T38,841,real
B951.H3-B,921,real
B951.H4-A,921,real
B602.EL_BUILDING,602,virtual
B611.EL_BUILDING,611,virtual
B612.EL_BUILDING,612,virtual
B613.EL_BUILDING,613,virtual
B614.EL_BUILDING,614,virtual
B615.EL_BUILDING,615,virtual
B616.EL_BUILDING,616,virtual
B621.EL_BUILDING,621,virtual
B622.EL_BUILDING,622,virtual
B625.EL_BUILDING,625,virtual
B631.EL_BUILDING,631,virtual
B634.EL_BUILDING,634,virtual
B637.EL_BUILDING,637,virtual
B638.EL_BUILDING,638,virtual
B641.EL_BUILDING,641,virtual
B642.EL_BUILDING,642,virtual
B643.EL_BUILDING,643,virtual
B649.EL_BUILDING,649,virtual
B650.EL_BUILDING,650,virtual
B651.EL_BUILDING,651,virtual
B652.EL_BUILDING,652,virtual
B653.EL_BUILDING,653,virtual
B654.EL_BUILDING,654,virtual
B655.EL_BUILDING,655,virtual
B658.EL_BUILDING,658,virtual
B659.EL_BUILDING,659,virtual
B660.EL_BUILDING,660,virtual
B661.EL_BUILDING,661,virtual
B664.EL_BUILDING,664,virtual
B665.EL_BUILDING,665,virtual
B674.EL_BUILDING,674,virtual
B821.EL_BUILDING,821,virtual
B833.EL_BUILDING,833,virtual
B834.EL_BUILDING,834,virtual
B835.EL_BUILDING,835,virtual
B841.EL_BUILDING,841,virtual
B869.EL_BUILDING,869,virtual
B921.EL_BUILDING,921,virtual
BPARKING.EL_BUILDING,PARKING,virtual
B660.EL_INTAKE,,virtual
