media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
EL,B602,2026-01,614.31,614.39,0.07,match,
EL,B602,2026-02,647.83,647.62,-0.20,match,
EL,B603,2026-01,0.00,0.00,0.00,match,
EL,B603,2026-02,0.00,0.00,0.00,match,
EL,B604,2026-01,0.00,0.00,0.00,match,
EL,B604,2026-02,0.00,0.00,0.00,match,
EL,B611,2026-01,934585.67,991472.54,56886.86,strux_only_meter,"B611.T4 trunk in BMS includes T4-A3/C1/C4 flow; Excel subtracts those via STRUX, ontology cannot."
EL,B611,2026-02,811288.92,863999.38,52710.45,strux_only_meter,"B611.T4 trunk in BMS includes T4-A3/C1/C4 flow; Excel subtracts those via STRUX, ontology cannot."
EL,B612,2026-01,493402.99,515139.31,21736.33,ontology_drift,Drift of 21736 (4.4%). Cause not yet classified.
EL,B612,2026-02,447699.95,468831.43,21131.48,ontology_drift,Drift of 21131 (4.7%). Cause not yet classified.
EL,B613,2026-01,11407.24,0.00,-11407.24,strux_only_meter,B613.T4-C1 is STRUX-only (no BMS data). Ontology has nothing to attribute.
EL,B613,2026-02,10233.32,0.00,-10233.32,strux_only_meter,B613.T4-C1 is STRUX-only (no BMS data). Ontology has nothing to attribute.
EL,B614,2026-01,642223.84,642259.59,35.75,match,
EL,B614,2026-02,630000.09,629974.91,-25.19,match,
EL,B615,2026-01,4961.60,4961.61,0.00,match,
EL,B615,2026-02,4618.57,4618.56,-0.02,match,
EL,B616,2026-01,555788.83,555803.62,14.79,match,
EL,B616,2026-02,602851.05,602831.20,-19.85,match,
EL,B620,2026-01,0.00,0.00,0.00,match,
EL,B620,2026-02,0.00,0.00,0.00,match,
EL,B621,2026-01,734004.75,734152.93,148.18,match,
EL,B621,2026-02,685726.83,685688.43,-38.40,match,
EL,B622,2026-01,41144.56,41148.32,3.76,match,
EL,B622,2026-02,37521.72,37518.32,-3.40,match,
EL,B623,2026-01,0.00,0.00,0.00,match,
EL,B623,2026-02,0.00,0.00,0.00,match,
EL,B625,2026-01,150435.00,150433.00,-2.00,match,
EL,B625,2026-02,142599.00,142590.50,-8.50,match,
EL,B631,2026-01,45299.98,0.00,-45299.98,strux_only_meter,B631.T4-A3 and B631.T4-C4 are STRUX-only (no BMS data). Ontology has nothing to attribute.
EL,B631,2026-02,42461.51,0.00,-42461.51,strux_only_meter,B631.T4-A3 and B631.T4-C4 are STRUX-only (no BMS data). Ontology has nothing to attribute.
EL,B634,2026-01,79137.88,79142.31,4.44,match,
EL,B634,2026-02,83577.94,83576.56,-1.38,match,
EL,B637,2026-01,2006.97,2008.39,1.42,match,
EL,B637,2026-02,2370.73,2370.81,0.08,match,
EL,B638,2026-01,1774.22,1775.69,1.47,match,
EL,B638,2026-02,1908.42,1908.45,0.04,match,
EL,B641,2026-01,46179.16,46184.22,5.06,match,
EL,B641,2026-02,40968.17,40962.02,-6.15,match,
EL,B642,2026-01,136241.00,136243.81,2.81,match,
EL,B642,2026-02,114170.58,114162.24,-8.34,match,
EL,B643,2026-01,149175.25,149183.69,8.44,match,
EL,B643,2026-02,138952.17,138945.26,-6.91,match,
EL,B649,2026-01,9257.12,9257.77,0.65,match,
EL,B649,2026-02,9297.36,9295.43,-1.93,match,
EL,B650,2026-01,150368.69,150456.87,88.18,match,
EL,B650,2026-02,162330.04,162321.45,-8.59,match,
EL,B651,2026-01,25575.17,25566.91,-8.26,match,
