building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B602,8,S,+,add,B652.T14-B3-J,B652.T14-B3-J,,5,excel_EL
B611,11,S,+,add,B611.T1,B611.T1,,9,excel_EL
B611,11,T,+,add,B611.T2,B611.T2,,9,excel_EL
B611,11,U,+,add,B611.T3,B611.T3,,9,excel_EL
B611,11,V,+,add,B611.T4,B611.T4,,9,excel_EL
B611,11,W,+,add,B611.T41,B611.T41,,9,excel_EL
B611,11,X,−,sub,B611.T4-A3,B611.T4-A3,,9,excel_EL
B611,11,Y,−,sub,B611.T4-C1,B611.T4-C1,,9,excel_EL
B611,11,Z,−,sub,B611.T4-C4,B611.T4-C4,,9,excel_EL
B611,11,AA,−,sub,B622.T2-3-1-B1,B622.T2-3-1-B1,,9,excel_EL
B612,12,S,+,add,B612.T48,B612.T48,,9,excel_EL
B612,12,T,+,add,B612.T7,B612.T7,,9,excel_EL
B612,12,U,+,add,B612.T8,B612.T8,,9,excel_EL
B612,12,V,+,add,B612.T9,B612.T9,,9,excel_EL
B612,12,W,−,sub,B612.T8-B5,B612.T8-B5,,9,excel_EL
B612,12,X,−,sub,B612.T8-B6,B612.T8-B6,,9,excel_EL
B612,12,Y,−,sub,B615.T7-A2-257,B615.T7-A2-257,,9,excel_EL
B612,12,Z,−,sub,B641.T8-A3,B641.T8-A3,,9,excel_EL
B612,12,AA,−,sub,B652.T8-A3-A14-112,B652.T8-A3-A14-112,,9,excel_EL
B613,13,S,+,add,B611.T4-C1,B611.T4-C1,,5,excel_EL
B614,14,S,+,add,B614.T18,B614.T18,,5,excel_EL
B614,14,T,+,add,B614.T19,B614.T19,,5,excel_EL
B614,14,U,+,add,B614.T20,B614.T20,,5,excel_EL
B615,15,S,+,add,B615.T7-A2-257,B615.T7-A2-257,,5,excel_EL
B616,16,S,+,add,B616.T31,B616.T31,,6,excel_EL
B616,16,T,+,add,B616.T31-6-2,B616.T31-6-2,,6,excel_EL
B616,16,U,+,add,B616.T32,B616.T32,,6,excel_EL
B616,16,V,+,add,B616.T33,B616.T33,,6,excel_EL
B616,16,W,−,sub,B616.T33-6-1,B616.T33-6-1,,6,excel_EL
B616,16,X,−,sub,B616.T33-6-2,B616.T33-6-2,,6,excel_EL
B621,18,S,+,add,B621.T29,B621.T29,,9,excel_EL
B621,18,T,+,add,B621.T30,B621.T30,,9,excel_EL
B621,18,U,+,add,B621.T5,B621.T5,,9,excel_EL
B621,18,V,+,add,B621.T6,B621.T6,,9,excel_EL
B621,18,W,−,sub,B621.T5-2-5,B621.T5-2-5,,9,excel_EL
B621,18,X,−,sub,B621.T6-2-5,B621.T6-2-5,,9,excel_EL
B621,18,Y,−,sub,B621.T6-3-1,B621.T6-3-1,,9,excel_EL
B622,20,S,+,add,B622.T2-3-1-B1,B622.T2-3-1-B1,,9,excel_EL
B625,22,S,+,add,B625.T16,B625.T16,,9,excel_EL
B625,22,T,+,add,B625.T50,B625.T50,,9,excel_EL
B631,23,S,+,add,B611.T4-A3,B611.T4-A3,,9,excel_EL
B631,23,T,+,add,B611.T4-C4,B611.T4-C4,,9,excel_EL
B634,24,S,+,add,B634.T51,B634.T51,,9,excel_EL
B634,24,T,+,add,B634.T52,B634.T52,,9,excel_EL
B637,25,S,+,add,B612.T8-B5,B612.T8-B5,,9,excel_EL
B638,26,S,+,add,B612.T8-B6,B612.T8-B6,,9,excel_EL
B641,27,S,+,add,B641.T8-A3,B641.T8-A3,,9,excel_EL
