meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B611.T1,611 EL meter T1,B611,EL,False,snowflake=B611.T1-S; strux=B611.T1-S,,
B611.T2,611 EL meter T2,B611,EL,False,snowflake=B611.T2-S; strux=B611.T2-S,,
B611.T3,611 EL meter T3,B611,EL,False,snowflake=B611.T3-S; strux=B611.T3-S,,
B611.T4,611 EL meter T4,B611,EL,False,snowflake=B611.T4-S; strux=B611.T4-S,,
B611.T4-A3,631 EL meter T4-A3,B631,EL,False,snowflake=B611.T1-4-11; strux=B611.T4-A3,,
B611.T4-C1,613 EL meter T4-C1,B613,EL,False,snowflake=B611.T1-4-12; strux=B611.T4-C1,,
B611.T4-C4,631 EL meter T4-C4,B631,EL,False,snowflake=B611.T1-4-13; strux=B611.T4-C4,,
B611.T41,611 EL meter T41,B611,EL,False,snowflake=B611.T41-S; strux=B611.T41-S,,
B612.T48,612 EL meter T48,B612,EL,False,snowflake=B612.T48-S; strux=B612.T48-S,,
B612.T7,612 EL meter T7,B612,EL,False,snowflake=B612.T7-S; strux=B612.T7-S,,
B612.T8,612 EL meter T8,B612,EL,False,snowflake=B612.T8-S; strux=B612.T8-S,,
B612.T8-B5,637 EL meter T8-B5,B637,EL,False,snowflake=B612.T8-B5; strux=B612.T8-B5,,
B612.T8-B6,638 EL meter T8-B6,B638,EL,False,snowflake=B612.T8-B6; strux=B612.T8-B6,,
B612.T9,612 EL meter T9,B612,EL,False,snowflake=B612.T9-S; strux=B612.T9-S,,
B614.T18,614 EL meter T18,B614,EL,False,snowflake=B614.T18-S; strux=B614.T18-S,,
B614.T19,614 EL meter T19,B614,EL,False,snowflake=B614.T19-S; strux=B614.T19-S,,
B614.T20,614 EL meter T20,B614,EL,False,snowflake=B614.T20-S; strux=B614.T20-S,,
B615.T7-A2-257,615 EL meter T7-A2-257,B615,EL,False,snowflake=B615.T7-A2-257; strux=B615.T7-A2-257,,
B616.T31,616 EL meter T31,B616,EL,False,snowflake=B616.T31-S; strux=B616.T31-S,,
B616.T31-6-2,616 EL meter T31-6-2,B616,EL,False,snowflake=B616.T31-6-2; strux=B616.T31-6-2,,
B616.T32,616 EL meter T32,B616,EL,False,snowflake=B616.T32-S; strux=B616.T32-S,,
B616.T33,616 EL meter T33,B616,EL,False,snowflake=B616.T33-S; strux=B616.T33-S,,
B616.T33-6-1,835 EL meter T33-6-1,B835,EL,False,snowflake=B616.T33-6-1; strux=B616.T33-6-1,,2025-01-01
B616.T33-6-2,835 EL meter T33-6-2,B835,EL,False,snowflake=B616.T33-6-2; strux=B616.T33-6-2,,
B621.T29,621 EL meter T29,B621,EL,False,snowflake=B621.T29-S; strux=B621.T29-S,,
B621.T30,621 EL meter T30,B621,EL,False,snowflake=B621.T30-S; strux=B621.T30-S,,
B621.T5,621 EL meter T5,B621,EL,False,snowflake=B621.B621-T5-S; strux=B621.B621-T5-S,,
B621.T5-2-5,651 EL meter T5-2-5,B651,EL,False,snowflake=B621.T5-2-5; strux=B621.T5-2-5,,
B621.T6,621 EL meter T6,B621,EL,False,snowflake=B621.B621-T6-S; strux=B621.B621-T6-S,,
B621.T6-2-5,658 EL meter T6-2-5,B658,EL,False,snowflake=B621.T6-2-5; strux=B621.T6-2-5,,
B621.T6-3-1,655 EL meter T6-3-1,B655,EL,False,snowflake=B621.T6-3-1; strux=B621.T6-3-1,,
B622.T2-3-1-B1,622 EL meter T2-3-1-B1,B622,EL,False,snowflake=B622.T2-3-1-B1; strux=B622.T2-3-1-B1,,
B625.T16,625 EL meter T16,B625,EL,False,snowflake=B625.T16-S; strux=B625.T16-S,,
B625.T50,625 EL meter T50,B625,EL,False,snowflake=B625.T50-S; strux=B625.T50-S,,
B634.T51,634 EL meter T51,B634,EL,False,snowflake=B634.T51; strux=B634.T51,,
B634.T52,634 EL meter T52,B634,EL,False,snowflake=B634.T52; strux=B634.T52,,
B641.T8-A3,641 EL meter T8-A3,B641,EL,False,snowflake=B641.T8-A3; strux=B641.T8-A3,,
B643.T37,643 EL meter T37,B643,EL,False,snowflake=B643.T37; strux=B643.T37,,
B643.T37-2-1,642 EL meter T37-2-1,B642,EL,False,snowflake=B643.T37-2-1; strux=B643.T37-2-1,,
B643.T40,643 EL meter T40,B643,EL,False,snowflake=B643.T40; strux=B643.T40,,
B650.T23,650 EL meter T23,B650,EL,False,snowflake=B650.T23; strux=B650.T23,,
B650.T23-D5,649 EL meter T23-D5,B649,EL,False,snowflake=B650.T23-D5; strux=B650.T23-D5,,
B650.T24,650 EL meter T24,B650,EL,False,snowflake=B650.T24; strux=B650.T24,,
B652.T14-B3-J,602 EL meter T14-B3-J,B602,EL,False,snowflake=B652.T14-B3-J; strux=B652.T14-B3-J,,
B652.T8-A3-A14-112,652 EL meter T8-A3-A14-112,B652,EL,False,snowflake=B652.T8-A3-A14-112; strux=B652.T8-A3-A14-112,,
B653.T17,653 EL meter T17,B653,EL,False,snowflake=B653.T17; strux=B653.T17,,
B653.T17-A7,PARKING EL meter T17-A7,BPARKING,EL,False,snowflake=B653.T17-A7; strux=B653.T17-A7,,
B653.T54,653 EL meter T54,B653,EL,False,snowflake=B653.T54; strux=B653.T54,,
B653.T55,653 EL meter T55,B653,EL,False,snowflake=B653.T55; strux=B653.T55,,
B654.T25,654 EL meter T25,B654,EL,False,snowflake=B654.T25; strux=B654.T25,,
B654.T26,654 EL meter T26,B654,EL,False,snowflake=B654.T26; strux=B654.T26,,
B654.T27,654 EL meter T27,B654,EL,False,snowflake=B654.T27; strux=B654.T27,,
