sensor_id,meter_id,point_type,unit,identifier
B611.T1.energy,B611.T1,Energy_Sensor,Megawatt-Hour,
B611.T2.energy,B611.T2,Energy_Sensor,Megawatt-Hour,
B611.T3.energy,B611.T3,Energy_Sensor,Megawatt-Hour,
B611.T4.energy,B611.T4,Energy_Sensor,Megawatt-Hour,
B611.T4-A3.energy,B611.T4-A3,Energy_Sensor,Megawatt-Hour,
B611.T4-C1.energy,B611.T4-C1,Energy_Sensor,Megawatt-Hour,
B611.T4-C4.energy,B611.T4-C4,Energy_Sensor,Megawatt-Hour,
B611.T41.energy,B611.T41,Energy_Sensor,Megawatt-Hour,
B612.T48.energy,B612.T48,Energy_Sensor,Megawatt-Hour,
B612.T7.energy,B612.T7,Energy_Sensor,Megawatt-Hour,
B612.T8.energy,B612.T8,Energy_Sensor,Megawatt-Hour,
B612.T8-B5.energy,B612.T8-B5,Energy_Sensor,Megawatt-Hour,
B612.T8-B6.energy,B612.T8-B6,Energy_Sensor,Megawatt-Hour,
B612.T9.energy,B612.T9,Energy_Sensor,Megawatt-Hour,
B614.T18.energy,B614.T18,Energy_Sensor,Megawatt-Hour,
B614.T19.energy,B614.T19,Energy_Sensor,Megawatt-Hour,
B614.T20.energy,B614.T20,Energy_Sensor,Megawatt-Hour,
B615.T7-A2-257.energy,B615.T7-A2-257,Energy_Sensor,Megawatt-Hour,
B616.T31.energy,B616.T31,Energy_Sensor,Megawatt-Hour,
B616.T31-6-2.energy,B616.T31-6-2,Energy_Sensor,Megawatt-Hour,
B616.T32.energy,B616.T32,Energy_Sensor,Megawatt-Hour,
B616.T33.energy,B616.T33,Energy_Sensor,Megawatt-Hour,
B616.T33-6-1.energy,B616.T33-6-1,Energy_Sensor,Megawatt-Hour,
B616.T33-6-2.energy,B616.T33-6-2,Energy_Sensor,Megawatt-Hour,
B621.T29.energy,B621.T29,Energy_Sensor,Megawatt-Hour,
B621.T30.energy,B621.T30,Energy_Sensor,Megawatt-Hour,
B621.T5.energy,B621.T5,Energy_Sensor,Megawatt-Hour,
B621.T5-2-5.energy,B621.T5-2-5,Energy_Sensor,Megawatt-Hour,
B621.T6.energy,B621.T6,Energy_Sensor,Megawatt-Hour,
B621.T6-2-5.energy,B621.T6-2-5,Energy_Sensor,Megawatt-Hour,
B621.T6-3-1.energy,B621.T6-3-1,Energy_Sensor,Megawatt-Hour,
B622.T2-3-1-B1.energy,B622.T2-3-1-B1,Energy_Sensor,Megawatt-Hour,
B625.T16.energy,B625.T16,Energy_Sensor,Megawatt-Hour,
B625.T50.energy,B625.T50,Energy_Sensor,Megawatt-Hour,
B634.T51.energy,B634.T51,Energy_Sensor,Megawatt-Hour,
B634.T52.energy,B634.T52,Energy_Sensor,Megawatt-Hour,
B641.T8-A3.energy,B641.T8-A3,Energy_Sensor,Megawatt-Hour,
B643.T37.energy,B643.T37,Energy_Sensor,Megawatt-Hour,
B643.T37-2-1.energy,B643.T37-2-1,Energy_Sensor,Megawatt-Hour,
