building_id,meter_id,sign,coefficient,derived_from
600,B600N.KV1_VM20,+,1,excel_Kallvatten_r8
600,B600S.KV1_VM20,+,1,excel_Kallvatten_r8
611,B611.KV1_VM21,+,1,excel_Kallvatten_r12
611,B611.KV1_VM22,+,1,excel_Kallvatten_r12
611,B611.VV1_VM21,+,1,excel_Kallvatten_r12
611,B622.KV1_VM22_V,-,1,excel_Kallvatten_r12
611,B613.KV1_VM21_V,-,1,excel_Kallvatten_r12
612,B612.KV1_VM21,+,1,excel_Kallvatten_r13
612,B612.KV1_VM22,+,1,excel_Kallvatten_r13
612,B612.KV1_VM23_V,+,1,excel_Kallvatten_r13
612,B612.KV1_VM24_V,+,1,excel_Kallvatten_r13
612,B613.KV1_VM23_V,-,1,excel_Kallvatten_r13
612,B637.KV1_VM21,-,1,excel_Kallvatten_r13
612,B638.KV1_VM21,-,1,excel_Kallvatten_r13
613,B613.KV1_VM21_V,+,1,excel_Kallvatten_r14
613,B613.KV1_VM22_V,+,1,excel_Kallvatten_r14
613,B613.KV1_VM23_V,+,1,excel_Kallvatten_r14
614,B614.KV1_VM21,+,1,excel_Kallvatten_r15
614,B614.KV1_VM22,+,1,excel_Kallvatten_r15
614,B615.KV1_VM21_V,-,1,excel_Kallvatten_r15
615,B615.KV1_VM21_V,+,1,excel_Kallvatten_r16
616,B616.KV1_VM21,+,1,excel_Kallvatten_r17
616,B616.KV1_VM22,+,1,excel_Kallvatten_r17
616,B616.KV1_VM23,+,1,excel_Kallvatten_r17
621 (T),B621.KV1_VM21,+,1,excel_Kallvatten_r19
621 (T),B622.KV1_VM21_V,-,1,excel_Kallvatten_r19
621 (T),B623.KV1_VM21_V,-,1,excel_Kallvatten_r19
622,B622.KV1_VM21_V,+,1,excel_Kallvatten_r21
622,B622.KV1_VM22_V,+,1,excel_Kallvatten_r21
622,B622.KV1_VM23_V,+,1,excel_Kallvatten_r21
623,B623.KV1_VM21_V,+,1,excel_Kallvatten_r22
625,B625.KV1_VM21,+,1,excel_Kallvatten_r23
625,B625.KV1_VM22_V,+,1,excel_Kallvatten_r23
626,B626.KV1_VM20,+,1,excel_Kallvatten_r24
626,B626.KV1_VM21,+,1,excel_Kallvatten_r24
631,B631.KV1_VM21_V,+,1,excel_Kallvatten_r25
634,B634.KV1_VM21,+,1,excel_Kallvatten_r26
634,B634.KV1_VM22,+,1,excel_Kallvatten_r26
637,B637.KV1_VM21,+,1,excel_Kallvatten_r27
638,B638.KV1_VM21,+,1,excel_Kallvatten_r28
641,B641.KV1_VM21,+,1,excel_Kallvatten_r29
642,B642.KV1_VM21,+,1,excel_Kallvatten_r30
643,B643.KV1_VM21,+,1,excel_Kallvatten_r31
650,B650.KV1_VM21,+,1,excel_Kallvatten_r33
651,B651.KV1_VM21,+,1,excel_Kallvatten_r34
652,B652.KV1_VM21,+,1,excel_Kallvatten_r35
653,B653.KV1_VM23_V,+,1,excel_Kallvatten_r36
654,B654.KV1_VM21_V,+,1,excel_Kallvatten_r37
655,B655.KV1_VM21,+,1,excel_Kallvatten_r38
656,B656.KV1_VM21,+,1,excel_Kallvatten_r39
658,B658.KV1_VM21,+,1,excel_Kallvatten_r40
659,B659.KV1_VM21_V,+,1,excel_Kallvatten_r41
661,B661.KV1_VM22,+,1,excel_Kallvatten_r43
661,B661.KV1_VM23,+,1,excel_Kallvatten_r43
661,B661.KV1_VM24,+,1,excel_Kallvatten_r43
664,B664.KV1_VM21_V,+,1,excel_Kallvatten_r46
674,B674.KV1_VM21,+,1,excel_Kallvatten_r48
684,B684.KV1_VM21,+,1,excel_Kallvatten_r49
821,B821.KV1_VM21,+,1,excel_Kallvatten_r50
821,B821.KV1_VM22,+,1,excel_Kallvatten_r50
821,B626.KV1_VM20,-,1,excel_Kallvatten_r50
821,B626.KV1_VM21,-,1,excel_Kallvatten_r50
833,B833.KV1_VM21,+,1,excel_Kallvatten_r51
833,B833.KV1_VM22,+,1,excel_Kallvatten_r51
833,B833.KV1_VM23,+,1,excel_Kallvatten_r51
833,B834.KV1_VM21,-,1,excel_Kallvatten_r51
834,B834.KV1_VM21,+,1,excel_Kallvatten_r52
841,B841.KV1_VM21,+,1,excel_Kallvatten_r53
841,B841.KV1_VM22,+,1,excel_Kallvatten_r53
841,B841.KV1_VM23,+,1,excel_Kallvatten_r53
841,B841.KV1_VM24,+,1,excel_Kallvatten_r53
850/662,B850.KV1_VM21,+,1,excel_Kallvatten_r55
869,B869.KV1_VM21,+,1,excel_Kallvatten_r56
921,B921.KV1_VM21_V,+,1,excel_Kallvatten_r57
