building_id,name,campus_id,identifier
B600,600,GTN,
B611,611,GTN,
B612,612,GTN,
B613,613,GTN,
B614,614,GTN,
B615,615,GTN,
B616,616,GTN,
B621,621,GTN,
B622,622,GTN,
B623,623,GTN,
B625,625,GTN,
B626,626,GTN,
B631,631,GTN,
B634,634,GTN,
B637,637,GTN,
B638,638,GTN,
B641,641,GTN,
B642,642,GTN,
B643,643,GTN,
B650,650,GTN,
B651,651,GTN,
B652,652,GTN,
B653,653,GTN,
B654,654,GTN,
B655,655,GTN,
B656,656,GTN,
B658,658,GTN,
B659,659,GTN,
B661,661,GTN,
B664,664,GTN,
B674,674,GTN,
B684,684,GTN,
B821,821,GTN,
B833,833,GTN,
B834,834,GTN,
B841,841,GTN,
B850,850,GTN,
B869,869,GTN,
B921,921,GTN,
