building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B600,,,+,add,B600N.KV1_VM20,B600N.KV1_VM20,1,,excel_Kallvatten_r8
B600,,,+,add,B600S.KV1_VM20,B600S.KV1_VM20,1,,excel_Kallvatten_r8
B611,,,+,add,B611.KV1_VM21,B611.KV1_VM21,1,,excel_Kallvatten_r12
B611,,,+,add,B611.KV1_VM22,B611.KV1_VM22,1,,excel_Kallvatten_r12
B611,,,+,add,B611.VV1_VM21,B611.VV1_VM21,1,,excel_Kallvatten_r12
B611,,,−,sub,B622.KV1_VM22_V,B622.KV1_VM22_V,1,,excel_Kallvatten_r12
B611,,,−,sub,B613.KV1_VM21_V,B613.KV1_VM21_V,1,,excel_Kallvatten_r12
B612,,,+,add,B612.KV1_VM21,B612.KV1_VM21,1,,excel_Kallvatten_r13
B612,,,+,add,B612.KV1_VM22,B612.KV1_VM22,1,,excel_Kallvatten_r13
B612,,,+,add,B612.KV1_VM23_V,B612.KV1_VM23_V,1,,excel_Kallvatten_r13
B612,,,+,add,B612.KV1_VM24_V,B612.KV1_VM24_V,1,,excel_Kallvatten_r13
B612,,,−,sub,B613.KV1_VM23_V,B613.KV1_VM23_V,1,,excel_Kallvatten_r13
B612,,,−,sub,B637.KV1_VM21,B637.KV1_VM21,1,,excel_Kallvatten_r13
B612,,,−,sub,B638.KV1_VM21,B638.KV1_VM21,1,,excel_Kallvatten_r13
B613,,,+,add,B613.KV1_VM21_V,B613.KV1_VM21_V,1,,excel_Kallvatten_r14
B613,,,+,add,B613.KV1_VM22_V,B613.KV1_VM22_V,1,,excel_Kallvatten_r14
B613,,,+,add,B613.KV1_VM23_V,B613.KV1_VM23_V,1,,excel_Kallvatten_r14
B614,,,+,add,B614.KV1_VM21,B614.KV1_VM21,1,,excel_Kallvatten_r15
B614,,,+,add,B614.KV1_VM22,B614.KV1_VM22,1,,excel_Kallvatten_r15
B614,,,−,sub,B615.KV1_VM21_V,B615.KV1_VM21_V,1,,excel_Kallvatten_r15
B615,,,+,add,B615.KV1_VM21_V,B615.KV1_VM21_V,1,,excel_Kallvatten_r16
B616,,,+,add,B616.KV1_VM21,B616.KV1_VM21,1,,excel_Kallvatten_r17
B616,,,+,add,B616.KV1_VM22,B616.KV1_VM22,1,,excel_Kallvatten_r17
B616,,,+,add,B616.KV1_VM23,B616.KV1_VM23,1,,excel_Kallvatten_r17
B621,,,+,add,B621.KV1_VM21,B621.KV1_VM21,1,,excel_Kallvatten_r19
B621,,,−,sub,B622.KV1_VM21_V,B622.KV1_VM21_V,1,,excel_Kallvatten_r19
B621,,,−,sub,B623.KV1_VM21_V,B623.KV1_VM21_V,1,,excel_Kallvatten_r19
B622,,,+,add,B622.KV1_VM21_V,B622.KV1_VM21_V,1,,excel_Kallvatten_r21
B622,,,+,add,B622.KV1_VM22_V,B622.KV1_VM22_V,1,,excel_Kallvatten_r21
B622,,,+,add,B622.KV1_VM23_V,B622.KV1_VM23_V,1,,excel_Kallvatten_r21
B623,,,+,add,B623.KV1_VM21_V,B623.KV1_VM21_V,1,,excel_Kallvatten_r22
B625,,,+,add,B625.KV1_VM21,B625.KV1_VM21,1,,excel_Kallvatten_r23
B625,,,+,add,B625.KV1_VM22_V,B625.KV1_VM22_V,1,,excel_Kallvatten_r23
B626,,,+,add,B626.KV1_VM20,B626.KV1_VM20,1,,excel_Kallvatten_r24
B626,,,+,add,B626.KV1_VM21,B626.KV1_VM21,1,,excel_Kallvatten_r24
B631,,,+,add,B631.KV1_VM21_V,B631.KV1_VM21_V,1,,excel_Kallvatten_r25
B634,,,+,add,B634.KV1_VM21,B634.KV1_VM21,1,,excel_Kallvatten_r26
B634,,,+,add,B634.KV1_VM22,B634.KV1_VM22,1,,excel_Kallvatten_r26
B637,,,+,add,B637.KV1_VM21,B637.KV1_VM21,1,,excel_Kallvatten_r27
B638,,,+,add,B638.KV1_VM21,B638.KV1_VM21,1,,excel_Kallvatten_r28
B641,,,+,add,B641.KV1_VM21,B641.KV1_VM21,1,,excel_Kallvatten_r29
B642,,,+,add,B642.KV1_VM21,B642.KV1_VM21,1,,excel_Kallvatten_r30
B643,,,+,add,B643.KV1_VM21,B643.KV1_VM21,1,,excel_Kallvatten_r31
B650,,,+,add,B650.KV1_VM21,B650.KV1_VM21,1,,excel_Kallvatten_r33
B651,,,+,add,B651.KV1_VM21,B651.KV1_VM21,1,,excel_Kallvatten_r34
B652,,,+,add,B652.KV1_VM21,B652.KV1_VM21,1,,excel_Kallvatten_r35
B653,,,+,add,B653.KV1_VM23_V,B653.KV1_VM23_V,1,,excel_Kallvatten_r36
B654,,,+,add,B654.KV1_VM21_V,B654.KV1_VM21_V,1,,excel_Kallvatten_r37
B655,,,+,add,B655.KV1_VM21,B655.KV1_VM21,1,,excel_Kallvatten_r38
B656,,,+,add,B656.KV1_VM21,B656.KV1_VM21,1,,excel_Kallvatten_r39
B658,,,+,add,B658.KV1_VM21,B658.KV1_VM21,1,,excel_Kallvatten_r40
