meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B600N.KV1_VM20, KALLVATTEN meter KV1_VM20,,KALLVATTEN,False,snowflake=B600N.KV1_VM20,,
B600S.KV1_VM20, KALLVATTEN meter KV1_VM20,,KALLVATTEN,False,snowflake=B600S.KV1_VM20,,
B611.KV1_VM21,611 KALLVATTEN meter KV1_VM21,B611,KALLVATTEN,False,snowflake=B611.KV1_VM21,,
B611.KV1_VM22,611 KALLVATTEN meter KV1_VM22,B611,KALLVATTEN,False,snowflake=B611.KV1_VM22,,
B611.VV1_VM21,611 KALLVATTEN meter VV1_VM21,B611,KALLVATTEN,False,snowflake=B611.VV1_VM21,,
B612.KV1_VM21,612 KALLVATTEN meter KV1_VM21,B612,KALLVATTEN,False,snowflake=B612.KV1_VM21,,
B612.KV1_VM22,612 KALLVATTEN meter KV1_VM22,B612,KALLVATTEN,False,snowflake=B612.KV1_VM22,,
B612.KV1_VM23_V,612 KALLVATTEN meter KV1_VM23_V,B612,KALLVATTEN,False,snowflake=B612.KV1_VM23_V,,
B612.KV1_VM24_V,612 KALLVATTEN meter KV1_VM24_V,B612,KALLVATTEN,False,snowflake=B612.KV1_VM24_V,,
B613.KV1_VM21_V,613 KALLVATTEN meter KV1_VM21_V,B613,KALLVATTEN,False,snowflake=B613.KV1_VM21_V,,
B613.KV1_VM22_V,613 KALLVATTEN meter KV1_VM22_V,B613,KALLVATTEN,False,snowflake=B613.KV1_VM22_V,,
B613.KV1_VM23_V,613 KALLVATTEN meter KV1_VM23_V,B613,KALLVATTEN,False,snowflake=B613.KV1_VM23_V,,
B614.KV1_VM21,614 KALLVATTEN meter KV1_VM21,B614,KALLVATTEN,False,snowflake=B614.KV1_VM21,,
B614.KV1_VM22,614 KALLVATTEN meter KV1_VM22,B614,KALLVATTEN,False,snowflake=B614.KV1_VM22,,
B615.KV1_VM21_V,615 KALLVATTEN meter KV1_VM21_V,B615,KALLVATTEN,False,snowflake=B615.KV1_VM21_V,,
B616.KV1_VM21,616 KALLVATTEN meter KV1_VM21,B616,KALLVATTEN,False,snowflake=B616.KV1_VM21,,
B616.KV1_VM22,616 KALLVATTEN meter KV1_VM22,B616,KALLVATTEN,False,snowflake=B616.KV1_VM22,,
B616.KV1_VM23,616 KALLVATTEN meter KV1_VM23,B616,KALLVATTEN,False,snowflake=B616.KV1_VM23,,
B621.KV1_VM21,621 KALLVATTEN meter KV1_VM21,B621,KALLVATTEN,False,snowflake=B621.KV1_VM21,,
B622.KV1_VM21_V,622 KALLVATTEN meter KV1_VM21_V,B622,KALLVATTEN,False,snowflake=B622.KV1_VM21_V,,
B622.KV1_VM22_V,622 KALLVATTEN meter KV1_VM22_V,B622,KALLVATTEN,False,snowflake=B622.KV1_VM22_V,,
B622.KV1_VM23_V,622 KALLVATTEN meter KV1_VM23_V,B622,KALLVATTEN,False,snowflake=B622.KV1_VM23_V,,
B623.KV1_VM21_V,623 KALLVATTEN meter KV1_VM21_V,B623,KALLVATTEN,False,snowflake=B623.KV1_VM21_V,,
B625.KV1_VM21,625 KALLVATTEN meter KV1_VM21,B625,KALLVATTEN,False,snowflake=B625.KV1_VM21,,
B625.KV1_VM22_V,625 KALLVATTEN meter KV1_VM22_V,B625,KALLVATTEN,False,snowflake=B625.KV1_VM22_V,,
B626.KV1_VM20,626 KALLVATTEN meter KV1_VM20,B626,KALLVATTEN,False,snowflake=B626.KV1_VM20,,
B626.KV1_VM21,626 KALLVATTEN meter KV1_VM21,B626,KALLVATTEN,False,snowflake=B626.KV1_VM21,,
B631.KV1_VM21_V,631 KALLVATTEN meter KV1_VM21_V,B631,KALLVATTEN,False,snowflake=B631.KV1_VM21_V,,
B634.KV1_VM21,634 KALLVATTEN meter KV1_VM21,B634,KALLVATTEN,False,snowflake=B634.KV1_VM21,,
B634.KV1_VM22,634 KALLVATTEN meter KV1_VM22,B634,KALLVATTEN,False,snowflake=B634.KV1_VM22,,
B637.KV1_VM21,637 KALLVATTEN meter KV1_VM21,B637,KALLVATTEN,False,snowflake=B637.KV1_VM21,,
B638.KV1_VM21,638 KALLVATTEN meter KV1_VM21,B638,KALLVATTEN,False,snowflake=B638.KV1_VM21,,
