sensor_id,meter_id,point_type,unit,identifier
B600N.KV1_VM20.volume,B600N.KV1_VM20,Water_Usage_Sensor,M3,
B600S.KV1_VM20.volume,B600S.KV1_VM20,Water_Usage_Sensor,M3,
B611.KV1_VM21.volume,B611.KV1_VM21,Water_Usage_Sensor,M3,
B611.KV1_VM22.volume,B611.KV1_VM22,Water_Usage_Sensor,M3,
B611.VV1_VM21.volume,B611.VV1_VM21,Water_Usage_Sensor,M3,
B612.KV1_VM21.volume,B612.KV1_VM21,Water_Usage_Sensor,M3,
B612.KV1_VM22.volume,B612.KV1_VM22,Water_Usage_Sensor,M3,
B612.KV1_VM23_V.volume,B612.KV1_VM23_V,Water_Usage_Sensor,M3,
B612.KV1_VM24_V.volume,B612.KV1_VM24_V,Water_Usage_Sensor,M3,
B613.KV1_VM21_V.volume,B613.KV1_VM21_V,Water_Usage_Sensor,M3,
B613.KV1_VM22_V.volume,B613.KV1_VM22_V,Water_Usage_Sensor,M3,
B613.KV1_VM23_V.volume,B613.KV1_VM23_V,Water_Usage_Sensor,M3,
B614.KV1_VM21.volume,B614.KV1_VM21,Water_Usage_Sensor,M3,
B614.KV1_VM22.volume,B614.KV1_VM22,Water_Usage_Sensor,M3,
B615.KV1_VM21_V.volume,B615.KV1_VM21_V,Water_Usage_Sensor,M3,
B616.KV1_VM21.volume,B616.KV1_VM21,Water_Usage_Sensor,M3,
B616.KV1_VM22.volume,B616.KV1_VM22,Water_Usage_Sensor,M3,
B616.KV1_VM23.volume,B616.KV1_VM23,Water_Usage_Sensor,M3,
B621.KV1_VM21.volume,B621.KV1_VM21,Water_Usage_Sensor,M3,
B622.KV1_VM21_V.volume,B622.KV1_VM21_V,Water_Usage_Sensor,M3,
B622.KV1_VM22_V.volume,B622.KV1_VM22_V,Water_Usage_Sensor,M3,
B622.KV1_VM23_V.volume,B622.KV1_VM23_V,Water_Usage_Sensor,M3,
B623.KV1_VM21_V.volume,B623.KV1_VM21_V,Water_Usage_Sensor,M3,
B625.KV1_VM21.volume,B625.KV1_VM21,Water_Usage_Sensor,M3,
B625.KV1_VM22_V.volume,B625.KV1_VM22_V,Water_Usage_Sensor,M3,
B626.KV1_VM20.volume,B626.KV1_VM20,Water_Usage_Sensor,M3,
B626.KV1_VM21.volume,B626.KV1_VM21,Water_Usage_Sensor,M3,
B631.KV1_VM21_V.volume,B631.KV1_VM21_V,Water_Usage_Sensor,M3,
B634.KV1_VM21.volume,B634.KV1_VM21,Water_Usage_Sensor,M3,
B634.KV1_VM22.volume,B634.KV1_VM22,Water_Usage_Sensor,M3,
B637.KV1_VM21.volume,B637.KV1_VM21,Water_Usage_Sensor,M3,
B638.KV1_VM21.volume,B638.KV1_VM21,Water_Usage_Sensor,M3,
B641.KV1_VM21.volume,B641.KV1_VM21,Water_Usage_Sensor,M3,
B642.KV1_VM21.volume,B642.KV1_VM21,Water_Usage_Sensor,M3,
B643.KV1_VM21.volume,B643.KV1_VM21,Water_Usage_Sensor,M3,
B650.KV1_VM21.volume,B650.KV1_VM21,Water_Usage_Sensor,M3,
B651.KV1_VM21.volume,B651.KV1_VM21,Water_Usage_Sensor,M3,
B652.KV1_VM21.volume,B652.KV1_VM21,Water_Usage_Sensor,M3,
B653.KV1_VM23_V.volume,B653.KV1_VM23_V,Water_Usage_Sensor,M3,
B654.KV1_VM21_V.volume,B654.KV1_VM21_V,Water_Usage_Sensor,M3,
B655.KV1_VM21.volume,B655.KV1_VM21,Water_Usage_Sensor,M3,
B656.KV1_VM21.volume,B656.KV1_VM21,Water_Usage_Sensor,M3,
B658.KV1_VM21.volume,B658.KV1_VM21,Water_Usage_Sensor,M3,
B659.KV1_VM21_V.volume,B659.KV1_VM21_V,Water_Usage_Sensor,M3,
B661.KV1_VM22.volume,B661.KV1_VM22,Water_Usage_Sensor,M3,
B661.KV1_VM23.volume,B661.KV1_VM23,Water_Usage_Sensor,M3,
B661.KV1_VM24.volume,B661.KV1_VM24,Water_Usage_Sensor,M3,
B664.KV1_VM21_V.volume,B664.KV1_VM21_V,Water_Usage_Sensor,M3,
B674.KV1_VM21.volume,B674.KV1_VM21,Water_Usage_Sensor,M3,
B684.KV1_VM21.volume,B684.KV1_VM21,Water_Usage_Sensor,M3,
B821.KV1_VM21.volume,B821.KV1_VM21,Water_Usage_Sensor,M3,
B821.KV1_VM22.volume,B821.KV1_VM22,Water_Usage_Sensor,M3,
B833.KV1_VM21.volume,B833.KV1_VM21,Water_Usage_Sensor,M3,
B833.KV1_VM22.volume,B833.KV1_VM22,Water_Usage_Sensor,M3,
B833.KV1_VM23.volume,B833.KV1_VM23,Water_Usage_Sensor,M3,
B834.KV1_VM21.volume,B834.KV1_VM21,Water_Usage_Sensor,M3,
B841.KV1_VM21.volume,B841.KV1_VM21,Water_Usage_Sensor,M3,
B841.KV1_VM22.volume,B841.KV1_VM22,Water_Usage_Sensor,M3,
B841.KV1_VM23.volume,B841.KV1_VM23,Water_Usage_Sensor,M3,
B841.KV1_VM24.volume,B841.KV1_VM24,Water_Usage_Sensor,M3,
B850.KV1_VM21.volume,B850.KV1_VM21,Water_Usage_Sensor,M3,
B921.KV1_VM21_V.volume,B921.KV1_VM21_V,Water_Usage_Sensor,M3,
