building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B600-KB2,,,+,add,B623.KB1_INT_VERK1,B623.KB1_INT_VERK1,1,,excel_Kyla_r8
B600-KB2,,,+,add,B653.KB2_WVÄRME_ACK,B653.KB2_WVÄRME_ACK,1,,excel_Kyla_r8
B600-KB2,,,+,add,B654.KB2_Pkyl_Ack,B654.KB2_Pkyl_Ack,1,,excel_Kyla_r8
B600-KB2,,,−,sub,B658.KB2_VMM51_E,B658.KB2_VM51,1,,excel_Kyla_r8
B600-KB2,,,−,sub,B661.KB1_INTVERK,B661.KB1_INTVERK,1,,excel_Kyla_r8
B600-KB2,,,−,sub,B821.KB2_VMM51,B821.KB2_VMM1,1,,excel_Kyla_r8
Prod-600,,,+,add,B653.KB2_WVÄRME_ACK,B653.KB2_WVÄRME_ACK,1,,excel_Kyla_r9
Prod-600,,,+,add,B654.KB1_KylEffekt_Ack,B654.KB1_KylEffekt_Ack,1,,excel_Kyla_r9
Prod-600,,,+,add,B654.KB2_Pkyl_Ack,B654.KB2_Pkyl_Ack,1,,excel_Kyla_r9
Prod-600,,,+,add,B661.KB1_Pkyl_Ack,B661.KB1_Pkyl_Ack,1,,excel_Kyla_r9
B611,,,+,add,B600-KB2,B600-KB2,0.38,,excel_Kyla_r13
B611,,,−,sub,B631.KB1_INTE_VERK2,B631.KB1_INTE_VERK2,1,,excel_Kyla_r13
B611,,,−,sub,B631.KB1_VMM51_E,B631.KB1_VMM51_E,1,,excel_Kyla_r13
B612,,,+,add,B654.KB1_KylEffekt_Ack,B654.KB1_KylEffekt_Ack,0.8,,excel_Kyla_r14
B612,,,+,add,B612.KB1_PKYL,B612-KB1-PKYL,0.9,,excel_Kyla_r14
B612,,,−,sub,B637.KB2_INT_VERK,B637.KB2_INT_VERK,0.9,,excel_Kyla_r14
B612,,,−,sub,B638.KB1_INT_VERK1,B638.KB1_INT_VERK1,0.9,,excel_Kyla_r14
B613,,,+,add,B600-KB2,B600-KB2,0.03,,excel_Kyla_r15
B613,,,+,add,B654.KB1_KylEffekt_Ack,B654.KB1_KylEffekt_Ack,0.2,,excel_Kyla_r15
B614,,,+,add,B614.KB1_INT_VERK,B614.KB1_INT_VERK,1,,excel_Kyla_r16
B614,,,−,sub,B615.KB1_INT_VERK1,B615.KB1_INT_VERK1,1,,excel_Kyla_r16
B614,,,−,sub,B642.KB1_INT_VERK_1,B642.KB1_INT_VERK_1,1,,excel_Kyla_r16
B615,,,+,add,B615.KB1_INT_VERK1,B615.KB1_INT_VERK1,1,,excel_Kyla_r17
B616,,,+,add,B616.KB1_PKYL,B616-KB1-PKYL,1,,excel_Kyla_r18
B621,,,+,add,B600-KB2,B600-KB2,0.5,,excel_Kyla_r20
B622,,,+,add,B600-KB2,B600-KB2,0.09,,excel_Kyla_r22
B623,,,+,add,B623.KB1_INT_VERK1,B623.KB1_INT_VERK1,1,,excel_Kyla_r23
B631,,,+,add,B631.KB1_INTE_VERK2,B631.KB1_INTE_VERK2,1,,excel_Kyla_r25
B634,,,+,add,B634.KB1_PKYL,B634.KB1_PKYL,0.744,,excel_Kyla_r26_power_to_energy_31day
B637,,,+,add,B637.KB2_INT_VERK,B637.KB2_INT_VERK,1,,excel_Kyla_r27
B638,,,+,add,B638.KB1_INT_VERK1,B638.KB1_INT_VERK1,1,,excel_Kyla_r28
B641,,,+,add,B612.KB1_PKYL,B612-KB1-PKYL,0.1,,excel_Kyla_r29
B641,,,−,sub,B637.KB2_INT_VERK,B637.KB2_INT_VERK,0.1,,excel_Kyla_r29
B641,,,−,sub,B638.KB1_INT_VERK1,B638.KB1_INT_VERK1,0.1,,excel_Kyla_r29
B642,,,+,add,B642.KB1_INT_VERK_1,B642.KB1_INT_VERK_1,1,,excel_Kyla_r30
B643,,,+,add,B643.KB1_INT_VERK,B643.KB1_INT_VERK,1,,excel_Kyla_r31
B658,,,+,add,B658.KB2_VMM51_E,B658.KB2_VM51,1,,excel_Kyla_r40
B661,,,+,add,B661.KB1_INTVERK,B661.KB1_INTVERK,1,,excel_Kyla_r43
B674,,,+,add,B674.KB1_PKYL2_Ack,B674.KB1_PKYL2_Ack,1,,excel_Kyla_r48
B821,,,+,add,B821.KB2_VMM51,B821.KB2_VMM1,1,,excel_Kyla_r50
B821,,,−,sub,B841.KB2_VM51,B841.KB2_VM51,0.8,,excel_Kyla_r50
B833,,,+,add,B833.KB1_GF4,B833-55-KB1-GF4,1,,excel_Kyla_r51
B833,,,−,sub,B834.KB2_INT_VERK,B834.KB2_INT_VERK,1,,excel_Kyla_r51
B834,,,+,add,B834.KB2_INT_VERK,B834.KB2_INT_VERK,1,,excel_Kyla_r52
B841,,,+,add,B841.KB2_VM51,B841.KB2_VM51,1,,excel_Kyla_r54
