parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B623.KB1_INT_VERK1,B600-KB2,feeds,1.0,,,excel_Kyla_r8
B653.KB2_WVÄRME_ACK,B600-KB2,feeds,1.0,,,excel_Kyla_r8
B654.KB2_Pkyl_Ack,B600-KB2,feeds,1.0,,,excel_Kyla_r8
B600-KB2,B611.KYLA_VIRT,feeds,0.38,,,excel_Kyla_r13
B600-KB2,B613.KYLA_VIRT,feeds,0.03,,,excel_Kyla_r15
B600-KB2,B621.KYLA_VIRT,feeds,0.5,,,excel_Kyla_r20
B600-KB2,B622.KYLA_VIRT,feeds,0.09,,,excel_Kyla_r22
B611.KYLA_VIRT,B631.KB1_INTE_VERK2,hasSubMeter,,,,excel_Kyla_r13
B611.KYLA_VIRT,B631.KB1_VMM51_E,hasSubMeter,,,,excel_Kyla_r13
B654.KB1_KylEffekt_Ack,B612.KYLA_VIRT,feeds,0.8,,,excel_Kyla_r14
B654.KB1_KylEffekt_Ack,B613.KYLA_VIRT,feeds,0.2,,,excel_Kyla_r15
B614.KB1_INT_VERK,B615.KB1_INT_VERK1,hasSubMeter,,,,excel_Kyla_r16
B614.KB1_INT_VERK,B642.KB1_INT_VERK_1,hasSubMeter,,,,excel_Kyla_r16
B634.KB1_PKYL,B634.KYLA_VIRT,feeds,0.744,,,excel_Kyla_r26_power_to_energy
B833.KB1_GF4,B834.KB2_INT_VERK,hasSubMeter,,,,excel_Kyla_r51
B612.KB1_PKYL,B612.KYLA_VIRT,feeds,0.9,,,excel_Kyla_r14
B612.KB1_PKYL,B641.KYLA_VIRT,feeds,0.1,,,excel_Kyla_r29
B612.KYLA_VIRT,B637.KB2_INT_VERK,hasSubMeter,0.9,,,excel_Kyla_r14
B612.KYLA_VIRT,B638.KB1_INT_VERK1,hasSubMeter,0.9,,,excel_Kyla_r14
B641.KYLA_VIRT,B637.KB2_INT_VERK,hasSubMeter,0.1,,,excel_Kyla_r29
B641.KYLA_VIRT,B638.KB1_INT_VERK1,hasSubMeter,0.1,,,excel_Kyla_r29
B634.KB1_PKYL,B634.KYLA_LOSSES,feeds,0.256,,,excel_Kyla_r26_power_to_energy_residual
