meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B600-KB2,Kyla virtual B600-KB2,,KYLA,True,strux=B600-KB2,,
B611.KYLA_VIRT,Kyla virtual B611.KYLA_VIRT,B611,KYLA,True,,,
B612.KB1_PKYL, KYLA meter KB1_PKYL,,KYLA,False,snowflake=B612.KB1_PKYL; strux=B612-KB1-PKYL,,
B612.KYLA_VIRT,Kyla virtual B612.KYLA_VIRT,B612,KYLA,True,,,
B613.KYLA_VIRT,Kyla virtual B613.KYLA_VIRT,B613,KYLA,True,,,
B614.KB1_INT_VERK,614 KYLA meter KB1_INT_VERK,B614,KYLA,False,snowflake=B614.KB1_INT_VERK; strux=B614.KB1_INT_VERK,,
B615.KB1_INT_VERK1,615 KYLA meter KB1_INT_VERK1,B615,KYLA,False,snowflake=B615.KB1_INT_VERK1; strux=B615.KB1_INT_VERK1,,
B616.KB1_PKYL,616 KYLA meter KB1_PKYL,B616,KYLA,False,snowflake=B616.KB1_PKYL; strux=B616-KB1-PKYL,,
B621.KYLA_VIRT,Kyla virtual B621 (T).KYLA_VIRT,B621,KYLA,True,,,
B622.KYLA_VIRT,Kyla virtual B622.KYLA_VIRT,B622,KYLA,True,,,
B623.KB1_INT_VERK1,623 KYLA meter KB1_INT_VERK1,,KYLA,False,snowflake=B623.KB1_INT_VERK1; strux=B623.KB1_INT_VERK1,,
B631.KB1_INTE_VERK2,631 KYLA meter KB1_INTE_VERK2,B631,KYLA,False,snowflake=B631.KB1_INTE_VERK2; strux=B631.KB1_INTE_VERK2,,
B631.KB1_VMM51_E, KYLA meter KB1_VMM51_E,,KYLA,False,snowflake=B631.KB1_VMM51_E; strux=B631.KB1_VMM51_E,,
B634.KB1_PKYL, KYLA meter KB1_PKYL,,KYLA,False,snowflake=B634.KB1_PKYL; strux=B634.KB1_PKYL,,
B634.KYLA_VIRT,Kyla virtual B634.KYLA_VIRT,B634,KYLA,True,,,
B637.KB2_INT_VERK,637 KYLA meter KB2_INT_VERK,B637,KYLA,False,snowflake=B637.KB2_INT_VERK; strux=B637.KB2_INT_VERK,,
B638.KB1_INT_VERK1,638 KYLA meter KB1_INT_VERK1,B638,KYLA,False,snowflake=B638.KB1_INT_VERK1; strux=B638.KB1_INT_VERK1,,
B641.KYLA_VIRT,Kyla virtual B641.KYLA_VIRT,B641,KYLA,True,,,
B642.KB1_INT_VERK_1,642 KYLA meter KB1_INT_VERK_1,B642,KYLA,False,snowflake=B642.KB1_INT_VERK_1; strux=B642.KB1_INT_VERK_1,,
B643.KB1_INT_VERK,643 KYLA meter KB1_INT_VERK,B643,KYLA,False,snowflake=B643.KB1_INT_VERK; strux=B643.KB1_INT_VERK,,
B653.KB2_WVÄRME_ACK, KYLA meter KB2_WVÄRME_ACK,,KYLA,False,snowflake=B653.KB2_WVÄRME_ACK; strux=B653.KB2_WVÄRME_ACK,,
B654.KB1_KylEffekt_Ack, KYLA meter KB1_KylEffekt_Ack,,KYLA,False,snowflake=B654.KB1_KylEffekt_Ack; strux=B654.KB1_KylEffekt_Ack,,
B654.KB2_Pkyl_Ack, KYLA meter KB2_Pkyl_Ack,,KYLA,False,snowflake=B654.KB2_Pkyl_Ack; strux=B654.KB2_Pkyl_Ack,,
B658.KB2_VMM51_E,658 KYLA meter KB2_VMM51_E,B658,KYLA,False,snowflake=B658.KB2_VMM51_E; strux=B658.KB2_VM51,,
B661.KB1_INTVERK,661 KYLA meter KB1_INTVERK,B661,KYLA,False,snowflake=B661.KB1_INTVERK; strux=B661.KB1_INTVERK,,
B661.KB1_Pkyl_Ack, KYLA meter KB1_Pkyl_Ack,,KYLA,False,snowflake=B661.KB1_Pkyl_Ack; strux=B661.KB1_Pkyl_Ack,,
B674.KB1_PKYL2_Ack,674 KYLA meter KB1_PKYL2_Ack,B674,KYLA,False,snowflake=B674.KB1_PKYL2_Ack; strux=B674.KB1_PKYL2_Ack,,
B821.KB2_VMM51,821 KYLA meter KB2_VMM51,B821,KYLA,False,snowflake=B821.KB2_VMM51; strux=B821.KB2_VMM1,,
B833.KB1_GF4,833 KYLA meter KB1_GF4,B833,KYLA,False,snowflake=B833.KB1_GF4; strux=B833-55-KB1-GF4,,
B834.KB2_INT_VERK,834 KYLA meter KB2_INT_VERK,B834,KYLA,False,snowflake=B834.KB2_INT_VERK; strux=B834.KB2_INT_VERK,,
B841.KB2_VM51,841 KYLA meter KB2_VM51,B841,KYLA,False,snowflake=B841.KB2_VM51; strux=B841.KB2_VM51,,
B634.KYLA_LOSSES,B634 Kyla power-to-energy conversion residual,,KYLA,True,,,
