sensor_id,meter_id,point_type,unit,identifier
B612.KB1_PKYL.energy,B612.KB1_PKYL,Energy_Sensor,Megawatt-Hour,
B614.KB1_INT_VERK.energy,B614.KB1_INT_VERK,Energy_Sensor,Megawatt-Hour,
B615.KB1_INT_VERK1.energy,B615.KB1_INT_VERK1,Energy_Sensor,Megawatt-Hour,
B616.KB1_PKYL.energy,B616.KB1_PKYL,Energy_Sensor,Megawatt-Hour,
B623.KB1_INT_VERK1.energy,B623.KB1_INT_VERK1,Energy_Sensor,Megawatt-Hour,
B631.KB1_INTE_VERK2.energy,B631.KB1_INTE_VERK2,Energy_Sensor,Megawatt-Hour,
B631.KB1_VMM51_E.energy,B631.KB1_VMM51_E,Energy_Sensor,Megawatt-Hour,
B634.KB1_PKYL.energy,B634.KB1_PKYL,Energy_Sensor,Megawatt-Hour,
B637.KB2_INT_VERK.energy,B637.KB2_INT_VERK,Energy_Sensor,Megawatt-Hour,
B638.KB1_INT_VERK1.energy,B638.KB1_INT_VERK1,Energy_Sensor,Megawatt-Hour,
B642.KB1_INT_VERK_1.energy,B642.KB1_INT_VERK_1,Energy_Sensor,Megawatt-Hour,
B643.KB1_INT_VERK.energy,B643.KB1_INT_VERK,Energy_Sensor,Megawatt-Hour,
B653.KB2_WVÄRME_ACK.energy,B653.KB2_WVÄRME_ACK,Energy_Sensor,Megawatt-Hour,
B654.KB1_KylEffekt_Ack.energy,B654.KB1_KylEffekt_Ack,Energy_Sensor,Megawatt-Hour,
B654.KB2_Pkyl_Ack.energy,B654.KB2_Pkyl_Ack,Energy_Sensor,Megawatt-Hour,
B658.KB2_VMM51_E.energy,B658.KB2_VMM51_E,Energy_Sensor,Megawatt-Hour,
B661.KB1_INTVERK.energy,B661.KB1_INTVERK,Energy_Sensor,Megawatt-Hour,
B661.KB1_Pkyl_Ack.energy,B661.KB1_Pkyl_Ack,Energy_Sensor,Megawatt-Hour,
B674.KB1_PKYL2_Ack.energy,B674.KB1_PKYL2_Ack,Energy_Sensor,Megawatt-Hour,
B821.KB2_VMM51.energy,B821.KB2_VMM51,Energy_Sensor,Megawatt-Hour,
B833.KB1_GF4.energy,B833.KB1_GF4,Energy_Sensor,Megawatt-Hour,
B834.KB2_INT_VERK.energy,B834.KB2_INT_VERK,Energy_Sensor,Megawatt-Hour,
B841.KB2_VM51.energy,B841.KB2_VM51,Energy_Sensor,Megawatt-Hour,
