timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B612.KB1_PKYL:d,B612.KB1_PKYL.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.KB1_PKYL,,,
B614.KB1_INT_VERK:d,B614.KB1_INT_VERK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.KB1_INT_VERK,,,
B615.KB1_INT_VERK1:d,B615.KB1_INT_VERK1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B615.KB1_INT_VERK1,,,
B616.KB1_PKYL:d,B616.KB1_PKYL.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.KB1_PKYL,,,
B623.KB1_INT_VERK1:d,B623.KB1_INT_VERK1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B623.KB1_INT_VERK1,,,
B631.KB1_INTE_VERK2:d,B631.KB1_INTE_VERK2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B631.KB1_INTE_VERK2,,,
B631.KB1_VMM51_E:d,B631.KB1_VMM51_E.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B631.KB1_VMM51_E,,,
B634.KB1_PKYL:d,B634.KB1_PKYL.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B634.KB1_PKYL,,,
B637.KB2_INT_VERK:d,B637.KB2_INT_VERK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B637.KB2_INT_VERK,,,
B638.KB1_INT_VERK1:d,B638.KB1_INT_VERK1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B638.KB1_INT_VERK1,,,
B642.KB1_INT_VERK_1:d,B642.KB1_INT_VERK_1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B642.KB1_INT_VERK_1,,,
B643.KB1_INT_VERK:d,B643.KB1_INT_VERK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.KB1_INT_VERK,,,
B653.KB2_WVÄRME_ACK:d,B653.KB2_WVÄRME_ACK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.KB2_WVÄRME_ACK,,,
B654.KB1_KylEffekt_Ack:d,B654.KB1_KylEffekt_Ack.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.KB1_KylEffekt_Ack,,,
B654.KB2_Pkyl_Ack:d,B654.KB2_Pkyl_Ack.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.KB2_Pkyl_Ack,,,
B658.KB2_VMM51_E:d,B658.KB2_VMM51_E.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B658.KB2_VMM51_E,,,
B661.KB1_INTVERK:d,B661.KB1_INTVERK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.KB1_INTVERK,,,
B661.KB1_Pkyl_Ack:d,B661.KB1_Pkyl_Ack.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.KB1_Pkyl_Ack,,,
B674.KB1_PKYL2_Ack:d,B674.KB1_PKYL2_Ack.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B674.KB1_PKYL2_Ack,,,
B821.KB2_VMM51:d,B821.KB2_VMM51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.KB2_VMM51,,,
B833.KB1_GF4:d,B833.KB1_GF4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.KB1_GF4,,,
B834.KB2_INT_VERK:d,B834.KB2_INT_VERK.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B834.KB2_INT_VERK,,,
B841.KB2_VM51:d,B841.KB2_VM51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B841.KB2_VM51,,,
