building_id,month,excel_kwh
B602,2026-01,0.0
B602,2026-02,0.0
B602,2026-03,0.0
B602,2026-04,0.0
B602,2026-05,0.0
B602,2026-06,0.0
B602,2026-07,0.0
B602,2026-08,0.0
B602,2026-09,0.0
B602,2026-10,0.0
B602,2026-11,0.0
B602,2026-12,0.0
B603,2026-01,0.0
B603,2026-02,0.0
B603,2026-03,0.0
B603,2026-04,0.0
B603,2026-05,0.0
B603,2026-06,0.0
B603,2026-07,0.0
B603,2026-08,0.0
B603,2026-09,0.0
B603,2026-10,0.0
B603,2026-11,0.0
B603,2026-12,0.0
B604,2026-01,0.0
B611,2026-01,24161.0
B611,2026-02,15831.0
B611,2026-03,32714.0
B611,2026-04,1383.0
B611,2026-05,0.0
B611,2026-06,0.0
B611,2026-07,0.0
B611,2026-08,0.0
B611,2026-09,0.0
B611,2026-10,0.0
B611,2026-11,0.0
B611,2026-12,0.0
B612,2026-01,2144.0
B612,2026-02,1606.0
B612,2026-03,2807.0
B612,2026-04,330.0
B612,2026-05,0.0
B612,2026-06,0.0
B612,2026-07,0.0
B612,2026-08,0.0
B612,2026-09,0.0
B612,2026-10,0.0
B612,2026-11,0.0
B612,2026-12,0.0
B613,2026-01,0.0
B613,2026-02,0.0
B613,2026-03,0.0
B613,2026-04,0.0
B613,2026-05,0.0
B613,2026-06,0.0
B613,2026-07,0.0
B613,2026-08,0.0
B613,2026-09,0.0
B613,2026-10,0.0
B613,2026-11,0.0
B613,2026-12,0.0
B614,2026-01,0.0
B614,2026-02,0.0
B614,2026-03,0.0
B614,2026-04,0.0
B614,2026-05,0.0
B614,2026-06,0.0
B614,2026-07,0.0
B614,2026-08,0.0
B614,2026-09,0.0
B614,2026-10,0.0
B614,2026-11,0.0
B614,2026-12,0.0
B615,2026-01,0.0
B615,2026-02,0.0
B615,2026-03,0.0
B615,2026-04,0.0
B615,2026-05,0.0
B615,2026-06,0.0
B615,2026-07,0.0
B615,2026-08,0.0
B615,2026-09,0.0
B615,2026-10,0.0
B615,2026-11,0.0
B615,2026-12,0.0
B616,2026-01,0.0
B616,2026-02,0.0
B616,2026-03,0.0
B616,2026-04,0.0
B616,2026-05,0.0
B616,2026-06,0.0
B616,2026-07,0.0
B616,2026-08,0.0
B616,2026-09,0.0
B616,2026-10,0.0
B616,2026-11,0.0
B616,2026-12,0.0
B620,2026-01,0.0
B620,2026-02,0.0
B620,2026-03,0.0
B620,2026-04,0.0
B620,2026-05,0.0
B620,2026-06,0.0
B620,2026-07,0.0
B620,2026-08,0.0
B620,2026-09,0.0
B620,2026-10,0.0
