media,building_id,month,excel_kwh,onto_kwh,diff_kwh,reason,explanation
KYLTORNSVATTEN,B602,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B602,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B603,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B603,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B604,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B611,2026-01,24161.00,24161.00,0.00,match,within floating-point / day-boundary rounding noise.
KYLTORNSVATTEN,B611,2026-02,15831.00,15831.00,0.00,match,within floating-point / day-boundary rounding noise.
KYLTORNSVATTEN,B612,2026-01,2144.00,2144.00,0.00,match,within floating-point / day-boundary rounding noise.
KYLTORNSVATTEN,B612,2026-02,1606.00,1606.00,0.00,match,within floating-point / day-boundary rounding noise.
KYLTORNSVATTEN,B613,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B613,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B614,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B614,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B615,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B615,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B616,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B616,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B620,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B620,2026-02,0.00,0.00,0.00,match,no consumption on either side (empty building row).
KYLTORNSVATTEN,B621,2026-01,0.00,0.00,0.00,match,no consumption on either side (empty building row).
