facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B611.VP1_VMM61,B611.VP1_VMM61_E,B611.VP1_VMM61_E,yes,high,snowflake=B611.VP1_VMM61_E; strux=B611.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B611.VP2_VMM61,B611.VP2_VMM61_E,B611.VP2_VMM61_E,yes,high,snowflake=B611.VP2_VMM61_E; strux=B611.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B611.VÅ9_VMM41,B611.VÅ9_VMM41_E,B611.VÅ9_VMM41_E,yes,high,snowflake=B611.VÅ9_VMM41_E; strux=B611.VÅ9_VMM41_E; seen_in=flow_schema|excel_formulas|snowflake
B611.VÅ9_VMM43,B611.VÅ9_VMM43_E,,no,high,snowflake=B611.VÅ9_VMM43_E; seen_in=flow_schema|snowflake
B612.VP2_VMM61,B612.VP2_VMM61_E,,no,high,snowflake=B612.VP2_VMM61_E; seen_in=flow_schema|snowflake; flat 35 days (all zero); PDF root for VP2 circuit
B612.VP2_VMM62,B612.VP2_VMM62_E,B612.VP2_VMM62_E,yes,high,snowflake=B612.VP2_VMM62_E; strux=B612.VP2_VMM62_E; seen_in=flow_schema|excel_formulas|snowflake
B612.VP2_VMM63,B612.VP2_VMM63_E,B612.VP2_VMM63_E,yes,high,snowflake=B612.VP2_VMM63_E; strux=B612.VP2_VMM63_E; seen_in=flow_schema|excel_formulas|snowflake
B612.VP2_VMM64,B612.VP2_VMM64_E,B612.VP2_VMM64_E,yes,high,snowflake=B612.VP2_VMM64_E; strux=B612.VP2_VMM64_E; seen_in=excel_formulas|snowflake
B612.VP2_VMM65,B612.VP2_VMM65,B612.VP2_VMM65,yes,high,snowflake=B612.VP2_VMM65; strux=B612.VP2_VMM65; seen_in=excel_formulas|snowflake
B612.VÅ9_VMM41,B612.VÅ9_VMM41_E,,no,high,snowflake=B612.VÅ9_VMM41_E; seen_in=flow_schema|snowflake
B613.VP1_VMM61,B613.VP1_VMM61,B613.VP1_VMM61,yes,high,snowflake=B613.VP1_VMM61; strux=B613.VP1_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B613.VP1_VMM62,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B613.VP2_VMM61,B613.VP2_VMM61,B613.VP2_VMM61,yes,high,snowflake=B613.VP2_VMM61; strux=B613.VP2_VMM61; seen_in=excel_formulas|snowflake
B614.VS1_VMM61,B614.VS1_VMM61_E,B614.VS1_VMM61_E,yes,high,snowflake=B614.VS1_VMM61_E; strux=B614.VS1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B614.VÅ9_VMM41,B614.VÅ9_VMM41_E,B614.VÅ9_VMM41_E,yes,high,snowflake=B614.VÅ9_VMM41_E; strux=B614.VÅ9_VMM41_E; seen_in=flow_schema|excel_formulas|snowflake
B615.VS1_VMM61,B615.VS1_VMM61,B615.VS1_VMM61,yes,high,snowflake=B615.VS1_VMM61; strux=B615.VS1_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B616.VP1_VMM61,B616.VP1_VMM61_E,B616.VP1_VMM61_E,yes,high,snowflake=B616.VP1_VMM61_E; strux=B616.VP1_VMM61_E; seen_in=excel_formulas|snowflake
B616.VP1_VMM62,B616.VP1_VMM62_E,B616.VP1_VMM62_E,yes,high,snowflake=B616.VP1_VMM62_E; strux=B616.VP1_VMM62_E; seen_in=flow_schema|excel_formulas|snowflake
B616.VS1_VMM61,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B616.VS2_VMM61,B616.VS2_VMM61_E,B616.VS2_VMM61_E,yes,high,snowflake=B616.VS2_VMM61_E; strux=B616.VS2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B616.VÅ9_VMM41,B616.VÅ9_VMM41_E,B616.VÅ9_VMM41_E,yes,high,snowflake=B616.VÅ9_VMM41_E; strux=B616.VÅ9_VMM41_E; seen_in=flow_schema|excel_formulas|snowflake
B621.VP1_VMM61,B621.VP1_VMM61_E,B621.VP1_VMM61_E,yes,high,snowflake=B621.VP1_VMM61_E; strux=B621.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B621.VÅ9_VMM41,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B622.VP1_VMM61,B622.VP1_VMM61,B622.VP1_VMM61,yes,high,snowflake=B622.VP1_VMM61; strux=B622.VP1_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B622.VP2_VMM61,B622.VP2_VMM61,B622.VP2_VMM61,yes,high,snowflake=B622.VP2_VMM61; strux=B622.VP2_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B623.VP1_VMM61,B623.VP1_VMM61,B623.VP1_VMM61,yes,high,snowflake=B623.VP1_VMM61; strux=B623.VP1_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B625.VS1_VMM61,B625.VS1_VMM61_E,B625.VS1_VMM61_E,yes,high,snowflake=B625.VS1_VMM61_E; strux=B625.VS1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B625.VÅ9_VMM41,B625.VÅ9_VMM41_E,B625.VÅ9_VMM41_E,yes,high,snowflake=B625.VÅ9_VMM41_E; strux=B625.VÅ9_VMM41_E; seen_in=flow_schema|excel_formulas|snowflake
B631.VP1_VMM61,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B631.VP1_VMM62,B631.VP1_VMM62,B631.VP1_VMM62,yes,high,snowflake=B631.VP1_VMM62; strux=B631.VP1_VMM62; seen_in=excel_formulas|snowflake
B631.VP1_VMM63,B631.VP1_VMM63,B631.VP1_VMM63,yes,high,snowflake=B631.VP1_VMM63; strux=B631.VP1_VMM63; seen_in=flow_schema|excel_formulas|snowflake
B634.VP1_VMM61,B634.VP1_VMM61_E,B634.VP1_VMM61_E,yes,high,snowflake=B634.VP1_VMM61_E; strux=B634.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B634.VÅ9_VMM41,B634.VÅ9_VMM41_E,,no,high,snowflake=B634.VÅ9_VMM41_E; seen_in=flow_schema|snowflake
B637.VP2_VMM61,B637.VP2_VMM61_E,B637.VP2_VMM61_E,yes,high,snowflake=B637.VP2_VMM61_E; strux=B637.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B638.VP2_VMM61,B638.VP2_VMM61_E,B638.VP2_VMM61_E,yes,high,snowflake=B638.VP2_VMM61_E; strux=B638.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B641.VP2_VMM61,B641.VP2_VMM61_E,B641.VP2_VMM61_E,yes,high,snowflake=B641.VP2_VMM61_E; strux=B641.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B642.VS1_VMM61,B642.VS1_VMM61_E,B642.VS1_VMM61_E,yes,high,snowflake=B642.VS1_VMM61_E; strux=B642.VS1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B643.VP1_VMM61,B643.VP1_VMM61_E,B643.VP1_VMM61_E,yes,high,snowflake=B643.VP1_VMM61_E; strux=B643.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B643.VP2_VMM61,B643.VP2_VMM61_E,B643.VP2_VMM61_E,yes,high,snowflake=B643.VP2_VMM61_E; strux=B643.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B643.VÅ9_VMM41,B643.VÅ9_VMM41_E,,no,high,snowflake=B643.VÅ9_VMM41_E; seen_in=flow_schema|snowflake
B643.VÅ9_VMM42,B643.VÅ9_VMM42_E,,no,high,snowflake=B643.VÅ9_VMM42_E; seen_in=flow_schema|snowflake
B650.VP1_VMM61,B650.VP1_VMM61_E,B650.VP1_VMM61_E,yes,high,snowflake=B650.VP1_VMM61_E; strux=B650.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B650.VP3_VMM61,B650.VP3_VMM61_E,B650.VP3_VMM61_E,yes,high,snowflake=B650.VP3_VMM61_E; strux=B650.VP3_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B652.VS1_VMM61,B652.VS1_VMM61,B652.VS1_VMM61,yes,high,snowflake=B652.VS1_VMM61; strux=B652.VS1_VMM61; seen_in=flow_schema|excel_formulas|snowflake
B654.VP2_VMM61,B654.VP2_VMM61_E,B654.VP2_VMM61_E,yes,high,snowflake=B654.VP2_VMM61_E; strux=B654.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B655.VP1_VMM61,B655.VP1_VMM61_E,B655.VP1_VMM61_E,yes,high,snowflake=B655.VP1_VMM61_E; strux=B655.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B658.VP1_VMM61,B658.VP1_VMM61_E,B658.VP1_VMM61_E,yes,high,snowflake=B658.VP1_VMM61_E; strux=B658.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B661.VP1_VMM61,B661.VP1_VMM61_E,B661.VP1_VMM61_E,yes,high,snowflake=B661.VP1_VMM61_E; strux=B661.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake; PDF labels this VS1; merged to VP1 (same physical meter)
B674.VP1_VMM61,B674.VP1_VMM61_E,B674.VP1_VMM61_E,yes,high,snowflake=B674.VP1_VMM61_E; strux=B674.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B674.VP2_VMM61,B674.VP2_VMM61_E,B674.VP2_VMM61_E,yes,high,snowflake=B674.VP2_VMM61_E; strux=B674.VP2_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B674.VÅ9_VMM41,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B674.VÅ9_VMM42,,,no,low,seen_in=flow_schema; PDF-only; no Snowflake data
B821.VP1_VMM61,B821.VP1_VMM61_E,B821.VP1_VMM61_E,yes,high,snowflake=B821.VP1_VMM61_E; strux=B821.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake; PDF labels this VS1; merged to VP1 (same physical meter)
B833.VP1_VMM61,B833.VP1_VMM61_E,B833.VP1_VMM61_E,yes,high,snowflake=B833.VP1_VMM61_E; strux=B833.VP1_VMM61_E; seen_in=flow_schema|excel_formulas|snowflake
B833.VP1_VMM62,B833.VP1_VMM62_E,B833.VP1_VMM62_E,yes,high,snowflake=B833.VP1_VMM62_E; strux=B833.VP1_VMM62_E; seen_in=flow_schema|excel_formulas|snowflake
B833.VÅ9_VMM41,B833.VÅ9_VMM41_E,,no,high,snowflake=B833.VÅ9_VMM41_E; seen_in=flow_schema|snowflake
