meter_id,building,meter_type
B611.VP1_VMM61,611,real
B611.VP2_VMM61,611,real
B611.VÅ9_VMM41,611,real
B611.VÅ9_VMM43,611,real
B612.VP2_VMM61,612,real
B612.VP2_VMM62,612,real
B612.VP2_VMM63,612,real
B612.VP2_VMM64,612,real
B612.VP2_VMM65,612,real
B613.VP1_VMM61,613,real
B613.VP1_VMM62,613,real
B613.VP2_VMM61,613,real
B614.VS1_VMM61,614,real
B614.VÅ9_VMM41,614,real
B615.VS1_VMM61,615,real
B616.VP1_VMM61,616,real
B616.VP1_VMM62,616,real
B616.VS1_VMM61,616,real
B616.VS2_VMM61,616,real
B616.VÅ9_VMM41,616,real
B621.VP1_VMM61,621,real
B621.VÅ9_VMM41,621,real
B622.VP1_VMM61,622,real
B622.VP2_VMM61,622,real
B623.VP1_VMM61,623,real
B625.VS1_VMM61,625,real
B625.VÅ9_VMM41,625,real
B631.VP1_VMM61,631,real
B631.VP1_VMM62,631,real
B631.VP1_VMM63,631,real
B634.VP1_VMM61,634,real
B634.VÅ9_VMM41,634,real
B637.VP2_VMM61,637,real
B638.VP2_VMM61,638,real
B641.VP2_VMM61,641,real
B642.VS1_VMM61,642,real
B643.VP1_VMM61,643,real
B643.VP2_VMM61,643,real
B650.VP1_VMM61,650,real
B650.VP3_VMM61,650,real
B652.VS1_VMM61,652,real
B654.VP2_VMM61,654,real
B655.VP1_VMM61,655,real
B658.VP1_VMM61,658,real
B661.VP1_VMM61,661,real
B674.VP1_VMM61,674,real
B674.VP2_VMM61,674,real
B674.VÅ9_VMM41,674,real
B674.VÅ9_VMM42,674,real
B821.VP1_VMM61,821,real
B833.VP1_VMM61,833,real
B833.VP1_VMM62,833,real
B834.VP1_VMM61,834,real
B841.VP1_VMM61,841,real
B921.VP1_VMM61,921,real
B611.VARME_BUILDING,611,virtual
B612.VARME_BUILDING,612,virtual
B613.VARME_BUILDING,613,virtual
B614.VARME_BUILDING,614,virtual
B615.VARME_BUILDING,615,virtual
B616.VARME_BUILDING,616,virtual
B621T.VARME_BUILDING,621,virtual
B622.VARME_BUILDING,622,virtual
B623.VARME_BUILDING,623,virtual
B625.VARME_BUILDING,625,virtual
B631.VARME_BUILDING,631,virtual
B634.VARME_BUILDING,634,virtual
B637.VARME_BUILDING,637,virtual
B638.VARME_BUILDING,638,virtual
B641.VARME_BUILDING,641,virtual
B642.VARME_BUILDING,642,virtual
B643.VARME_BUILDING,643,virtual
B650.VARME_BUILDING,650,virtual
B652.VARME_BUILDING,652,virtual
B654.VARME_BUILDING,654,virtual
B655.VARME_BUILDING,655,virtual
B658.VARME_BUILDING,658,virtual
B661.VARME_BUILDING,661,virtual
B674.VARME_BUILDING,674,virtual
B821.VARME_BUILDING,821,virtual
B833.VARME_BUILDING,833,virtual
B834.VARME_BUILDING,834,virtual
B841.VARME_BUILDING,841,virtual
B921.VARME_BUILDING,921,virtual
