from_meter,to_meter,coefficient,derived_from
B611.VARME_BUILDING,B613.VP1_VMM61,1.0,building_virtual_B611
B611.VARME_BUILDING,B622.VP2_VMM61,1.0,building_virtual_B611
B611.VARME_BUILDING,B631.VP1_VMM62,1.0,building_virtual_B611
B611.VARME_BUILDING,B631.VP1_VMM63,1.0,building_virtual_B611
B611.VP1_VMM61,B611.VARME_BUILDING,1.0,building_virtual_B611
B611.VP1_VMM61,B611.VÅ9_VMM43,1.0,naming_role_hierarchy
B611.VP1_VMM61,B613.VP1_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B611.VP1_VMM61,B622.VP2_VMM61,1.0,excel_formula_B611
B611.VP1_VMM61,B631.VP1_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B611.VP1_VMM61,B631.VP1_VMM63,1.0,flow_schema_V600-56.8-001/arrow
B611.VP2_VMM61,B611.VARME_BUILDING,1.0,building_virtual_B611
B611.VÅ9_VMM41,B611.VARME_BUILDING,1.0,building_virtual_B611
B612.VARME_BUILDING,B613.VP2_VMM61,1.0,building_virtual_B612
B612.VARME_BUILDING,B637.VP2_VMM61,1.0,building_virtual_B612
B612.VARME_BUILDING,B641.VP2_VMM61,1.0,building_virtual_B612
B612.VARME_BUILDING,B654.VP2_VMM61,1.0,building_virtual_B612
B612.VP2_VMM61,B612.VP2_VMM62,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM61,B612.VP2_VMM63,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM61,B612.VP2_VMM64,1.0,override_2026-04-19_luis
B612.VP2_VMM61,B612.VP2_VMM65,1.0,override_2026-04-19_luis
B612.VP2_VMM61,B612.VÅ9_VMM41,1.0,naming_role_hierarchy
B612.VP2_VMM61,B613.VP1_VMM62,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM61,B637.VP2_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM61,B654.VP2_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM62,B612.VARME_BUILDING,1.0,building_virtual_B612
B612.VP2_VMM63,B612.VARME_BUILDING,1.0,building_virtual_B612
B612.VP2_VMM63,B641.VP2_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B612.VP2_VMM64,B612.VARME_BUILDING,1.0,building_virtual_B612
B612.VP2_VMM65,B612.VARME_BUILDING,1.0,building_virtual_B612
B613.VP1_VMM61,B613.VARME_BUILDING,1.0,building_virtual_B613
B613.VP1_VMM61,B613.VP2_VMM61,1.0,timeseries_residual_fit(improvement=71%)
B613.VP2_VMM61,B613.VARME_BUILDING,1.0,building_virtual_B613
B614.VARME_BUILDING,B615.VS1_VMM61,1.0,building_virtual_B614
B614.VARME_BUILDING,B642.VS1_VMM61,1.0,building_virtual_B614
B614.VS1_VMM61,B614.VARME_BUILDING,1.0,building_virtual_B614
B614.VS1_VMM61,B614.VÅ9_VMM41,1.0,naming_role_hierarchy
B614.VS1_VMM61,B615.VS1_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B614.VÅ9_VMM41,B614.VARME_BUILDING,1.0,building_virtual_B614
B615.VS1_VMM61,B615.VARME_BUILDING,1.0,building_virtual_B615
B615.VS1_VMM61,B642.VS1_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B616.VARME_BUILDING,B661.VP1_VMM61,1.0,building_virtual_B616
B616.VP1_VMM61,B616.VARME_BUILDING,1.0,building_virtual_B616
B616.VP1_VMM61,B616.VP1_VMM62,1.0,naming_index_chain
B616.VP1_VMM61,B616.VÅ9_VMM41,1.0,naming_role_hierarchy
B616.VP1_VMM62,B616.VARME_BUILDING,1.0,building_virtual_B616
B616.VP1_VMM62,B616.VS1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B616.VP1_VMM62,B616.VS2_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B616.VP1_VMM62,B661.VP1_VMM61,1.0,override_2026-04-19_luis
B616.VS2_VMM61,B616.VARME_BUILDING,1.0,building_virtual_B616
B616.VÅ9_VMM41,B616.VARME_BUILDING,1.0,building_virtual_B616
B621.VP1_VMM61,B621.VÅ9_VMM41,1.0,naming_role_hierarchy
B621.VP1_VMM61,B621T.VARME_BUILDING,1.0,building_virtual_B621T
B621.VP1_VMM61,B622.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B621.VP1_VMM61,B623.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B621.VP1_VMM61,B658.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B621T.VARME_BUILDING,B622.VP1_VMM61,1.0,building_virtual_B621T
B621T.VARME_BUILDING,B623.VP1_VMM61,1.0,building_virtual_B621T
B621T.VARME_BUILDING,B658.VP1_VMM61,1.0,building_virtual_B621T
B622.VP1_VMM61,B622.VARME_BUILDING,1.0,building_virtual_B622
B622.VP2_VMM61,B622.VARME_BUILDING,1.0,building_virtual_B622
B623.VP1_VMM61,B623.VARME_BUILDING,1.0,building_virtual_B623
B625.VS1_VMM61,B625.VARME_BUILDING,1.0,building_virtual_B625
B625.VS1_VMM61,B625.VÅ9_VMM41,1.0,naming_role_hierarchy
B625.VÅ9_VMM41,B625.VARME_BUILDING,1.0,building_virtual_B625
B631.VP1_VMM61,B611.VÅ9_VMM41,1.0,flow_schema_V600-56.8-001/arrow
B631.VP1_VMM61,B631.VP1_VMM62,1.0,naming_index_chain
B631.VP1_VMM62,B631.VARME_BUILDING,1.0,building_virtual_B631
B631.VP1_VMM63,B631.VARME_BUILDING,1.0,building_virtual_B631
B634.VP1_VMM61,B634.VARME_BUILDING,1.0,building_virtual_B634
B634.VP1_VMM61,B634.VÅ9_VMM41,1.0,naming_role_hierarchy
