building_id,name,campus_id,identifier
B611,Building 611,GTN,
B612,Building 612,GTN,
B613,Building 613,GTN,
B614,Building 614,GTN,
B615,Building 615,GTN,
B616,Building 616,GTN,
B621,Building 621,GTN,
B622,Building 622,GTN,
B623,Building 623,GTN,
B625,Building 625,GTN,
B631,Building 631,GTN,
B634,Building 634,GTN,
B637,Building 637,GTN,
B638,Building 638,GTN,
B641,Building 641,GTN,
B642,Building 642,GTN,
B643,Building 643,GTN,
B650,Building 650,GTN,
B652,Building 652,GTN,
B654,Building 654,GTN,
B655,Building 655,GTN,
B658,Building 658,GTN,
B661,Building 661,GTN,
B674,Building 674,GTN,
B821,Building 821,GTN,
B833,Building 833,GTN,
B834,Building 834,GTN,
B841,Building 841,GTN,
B921,Building 921,GTN,
