building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B611,11,S,+,add,B611.VP1_VMM61,B611.VP1_VMM61_E,,7,excel_Värme
B611,11,T,+,add,B611.VÅ9_VMM41,B611.VÅ9_VMM41_E,,7,excel_Värme
B611,11,U,+,add,B611.VP2_VMM61,B611.VP2_VMM61_E,,7,excel_Värme
B611,11,V,−,sub,B613.VP1_VMM61,B613.VP1_VMM61,,7,excel_Värme
B611,11,W,−,sub,B631.VP1_VMM62,B631.VP1_VMM62,,7,excel_Värme
B611,11,X,−,sub,B631.VP1_VMM63,B631.VP1_VMM63,,7,excel_Värme
B611,11,Y,−,sub,B622.VP2_VMM61,B622.VP2_VMM61,,7,excel_Värme
B612,12,S,+,add,B612.VP2_VMM62,B612.VP2_VMM62_E,,8,excel_Värme
B612,12,T,+,add,B612.VP2_VMM63,B612.VP2_VMM63_E,,8,excel_Värme
B612,12,U,+,add,B612.VP2_VMM64,B612.VP2_VMM64_E,,8,excel_Värme
B612,12,V,+,add,B612.VP2_VMM65,B612.VP2_VMM65,,8,excel_Värme
B612,12,W,−,sub,B641.VP2_VMM61,B641.VP2_VMM61_E,,8,excel_Värme
B612,12,X,−,sub,B637.VP2_VMM61,B637.VP2_VMM61_E,,8,excel_Värme
B612,12,Y,−,sub,B613.VP2_VMM61,B613.VP2_VMM61,,8,excel_Värme
B612,12,Z,−,sub,B654.VP2_VMM61,B654.VP2_VMM61_E,,8,excel_Värme
B613,13,S,+,add,B613.VP1_VMM61,B613.VP1_VMM61,,5,excel_Värme
B613,13,T,+,add,B613.VP2_VMM61,B613.VP2_VMM61,,5,excel_Värme
B614,14,S,+,add,B614.VS1_VMM61,B614.VS1_VMM61_E,,5,excel_Värme
B614,14,T,+,add,B614.VÅ9_VMM41,B614.VÅ9_VMM41_E,,5,excel_Värme
B614,14,U,−,sub,B642.VS1_VMM61,B642.VS1_VMM61_E,,5,excel_Värme
B614,14,V,−,sub,B615.VS1_VMM61,B615.VS1_VMM61,,5,excel_Värme
B615,15,S,+,add,B615.VS1_VMM61,B615.VS1_VMM61,,5,excel_Värme
B616,16,S,+,add,B616.VÅ9_VMM41,B616.VÅ9_VMM41_E,,5,excel_Värme
B616,16,T,+,add,B616.VS2_VMM61,B616.VS2_VMM61_E,,5,excel_Värme
B616,16,U,+,add,B616.VP1_VMM62,B616.VP1_VMM62_E,,5,excel_Värme
B616,16,V,+,add,B616.VP1_VMM61,B616.VP1_VMM61_E,,5,excel_Värme
B616,16,W,−,sub,B661.VP1_VMM61,B661.VP1_VMM61_E,,5,excel_Värme
B621,18,S,+,add,B621.VP1_VMM61,B621.VP1_VMM61_E,,4,excel_Värme
B621,18,T,−,sub,B658.VP1_VMM61,B658.VP1_VMM61_E,,4,excel_Värme
B621,18,U,−,sub,B622.VP1_VMM61,B622.VP1_VMM61,,4,excel_Värme
B621,18,V,−,sub,B623.VP1_VMM61,B623.VP1_VMM61,,4,excel_Värme
B622,20,S,+,add,B622.VP1_VMM61,B622.VP1_VMM61,,5,excel_Värme
B622,20,T,+,add,B622.VP2_VMM61,B622.VP2_VMM61,,5,excel_Värme
B623,21,S,+,add,B623.VP1_VMM61,B623.VP1_VMM61,,5,excel_Värme
B625,22,S,+,add,B625.VÅ9_VMM41,B625.VÅ9_VMM41_E,,5,excel_Värme
B625,22,T,+,add,B625.VS1_VMM61,B625.VS1_VMM61_E,,5,excel_Värme
B631,23,S,+,add,B631.VP1_VMM62,B631.VP1_VMM62,,5,excel_Värme
B631,23,T,+,add,B631.VP1_VMM63,B631.VP1_VMM63,,5,excel_Värme
B634,24,S,+,add,B634.VP1_VMM61,B634.VP1_VMM61_E,,5,excel_Värme
B637,25,S,+,add,B637.VP2_VMM61,B637.VP2_VMM61_E,,5,excel_Värme
B637,25,T,−,sub,B638.VP2_VMM61,B638.VP2_VMM61_E,,5,excel_Värme
B638,26,S,+,add,B638.VP2_VMM61,B638.VP2_VMM61_E,,5,excel_Värme
