meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B611.VP1_VMM61,611 VARME meter VP1_VMM61,B611,VARME,False,snowflake=B611.VP1_VMM61_E; strux=B611.VP1_VMM61_E,,
B611.VP2_VMM61,611 VARME meter VP2_VMM61,B611,VARME,False,snowflake=B611.VP2_VMM61_E; strux=B611.VP2_VMM61_E,,
B611.VÅ9_VMM41,611 VARME meter VÅ9_VMM41,B611,VARME,False,snowflake=B611.VÅ9_VMM41_E; strux=B611.VÅ9_VMM41_E,,
B611.VÅ9_VMM43,611 VARME meter VÅ9_VMM43,B611,VARME,False,snowflake=B611.VÅ9_VMM43_E,,
B612.VP2_VMM61,612 VARME meter VP2_VMM61,B612,VARME,False,snowflake=B612.VP2_VMM61_E,,2025-01-01
B612.VP2_VMM62,612 VARME meter VP2_VMM62,B612,VARME,False,snowflake=B612.VP2_VMM62_E; strux=B612.VP2_VMM62_E,,
B612.VP2_VMM63,612 VARME meter VP2_VMM63,B612,VARME,False,snowflake=B612.VP2_VMM63_E; strux=B612.VP2_VMM63_E,,
B612.VP2_VMM64,612 VARME meter VP2_VMM64,B612,VARME,False,snowflake=B612.VP2_VMM64_E; strux=B612.VP2_VMM64_E,,
B612.VP2_VMM65,612 VARME meter VP2_VMM65,B612,VARME,False,snowflake=B612.VP2_VMM65; strux=B612.VP2_VMM65,,
B613.VP1_VMM61,613 VARME meter VP1_VMM61,B613,VARME,False,snowflake=B613.VP1_VMM61; strux=B613.VP1_VMM61,,
B613.VP1_VMM62,613 VARME meter VP1_VMM62,B613,VARME,False,,,
B613.VP2_VMM61,613 VARME meter VP2_VMM61,B613,VARME,False,snowflake=B613.VP2_VMM61; strux=B613.VP2_VMM61,,
B614.VS1_VMM61,614 VARME meter VS1_VMM61,B614,VARME,False,snowflake=B614.VS1_VMM61_E; strux=B614.VS1_VMM61_E,,
B614.VÅ9_VMM41,614 VARME meter VÅ9_VMM41,B614,VARME,False,snowflake=B614.VÅ9_VMM41_E; strux=B614.VÅ9_VMM41_E,,
B615.VS1_VMM61,615 VARME meter VS1_VMM61,B615,VARME,False,snowflake=B615.VS1_VMM61; strux=B615.VS1_VMM61,,
B616.VP1_VMM61,616 VARME meter VP1_VMM61,B616,VARME,False,snowflake=B616.VP1_VMM61_E; strux=B616.VP1_VMM61_E,,
B616.VP1_VMM62,616 VARME meter VP1_VMM62,B616,VARME,False,snowflake=B616.VP1_VMM62_E; strux=B616.VP1_VMM62_E,,
B616.VS1_VMM61,616 VARME meter VS1_VMM61,B616,VARME,False,,,
B616.VS2_VMM61,616 VARME meter VS2_VMM61,B616,VARME,False,snowflake=B616.VS2_VMM61_E; strux=B616.VS2_VMM61_E,,
B616.VÅ9_VMM41,616 VARME meter VÅ9_VMM41,B616,VARME,False,snowflake=B616.VÅ9_VMM41_E; strux=B616.VÅ9_VMM41_E,,
B621.VP1_VMM61,621 VARME meter VP1_VMM61,B621,VARME,False,snowflake=B621.VP1_VMM61_E; strux=B621.VP1_VMM61_E,,
B621.VÅ9_VMM41,621 VARME meter VÅ9_VMM41,B621,VARME,False,,,
B622.VP1_VMM61,622 VARME meter VP1_VMM61,B622,VARME,False,snowflake=B622.VP1_VMM61; strux=B622.VP1_VMM61,,
B622.VP2_VMM61,622 VARME meter VP2_VMM61,B622,VARME,False,snowflake=B622.VP2_VMM61; strux=B622.VP2_VMM61,,
B623.VP1_VMM61,623 VARME meter VP1_VMM61,B623,VARME,False,snowflake=B623.VP1_VMM61; strux=B623.VP1_VMM61,,
B625.VS1_VMM61,625 VARME meter VS1_VMM61,B625,VARME,False,snowflake=B625.VS1_VMM61_E; strux=B625.VS1_VMM61_E,,
B625.VÅ9_VMM41,625 VARME meter VÅ9_VMM41,B625,VARME,False,snowflake=B625.VÅ9_VMM41_E; strux=B625.VÅ9_VMM41_E,,
B631.VP1_VMM61,631 VARME meter VP1_VMM61,B631,VARME,False,,,
B631.VP1_VMM62,631 VARME meter VP1_VMM62,B631,VARME,False,snowflake=B631.VP1_VMM62; strux=B631.VP1_VMM62,,
B631.VP1_VMM63,631 VARME meter VP1_VMM63,B631,VARME,False,snowflake=B631.VP1_VMM63; strux=B631.VP1_VMM63,,
B634.VP1_VMM61,634 VARME meter VP1_VMM61,B634,VARME,False,snowflake=B634.VP1_VMM61_E; strux=B634.VP1_VMM61_E,,
B634.VÅ9_VMM41,634 VARME meter VÅ9_VMM41,B634,VARME,False,snowflake=B634.VÅ9_VMM41_E,,
B637.VP2_VMM61,637 VARME meter VP2_VMM61,B637,VARME,False,snowflake=B637.VP2_VMM61_E; strux=B637.VP2_VMM61_E,,
B638.VP2_VMM61,638 VARME meter VP2_VMM61,B638,VARME,False,snowflake=B638.VP2_VMM61_E; strux=B638.VP2_VMM61_E,,
B641.VP2_VMM61,641 VARME meter VP2_VMM61,B641,VARME,False,snowflake=B641.VP2_VMM61_E; strux=B641.VP2_VMM61_E,,
B642.VS1_VMM61,642 VARME meter VS1_VMM61,B642,VARME,False,snowflake=B642.VS1_VMM61_E; strux=B642.VS1_VMM61_E,,
B643.VP1_VMM61,643 VARME meter VP1_VMM61,B643,VARME,False,snowflake=B643.VP1_VMM61_E; strux=B643.VP1_VMM61_E,,
