sensor_id,meter_id,point_type,unit,identifier
B611.VP1_VMM61.energy,B611.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B611.VP2_VMM61.energy,B611.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B611.VÅ9_VMM41.energy,B611.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B611.VÅ9_VMM43.energy,B611.VÅ9_VMM43,Energy_Sensor,Megawatt-Hour,
B612.VP2_VMM61.energy,B612.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B612.VP2_VMM62.energy,B612.VP2_VMM62,Energy_Sensor,Megawatt-Hour,
B612.VP2_VMM63.energy,B612.VP2_VMM63,Energy_Sensor,Megawatt-Hour,
B612.VP2_VMM64.energy,B612.VP2_VMM64,Energy_Sensor,Megawatt-Hour,
B612.VP2_VMM65.energy,B612.VP2_VMM65,Energy_Sensor,Megawatt-Hour,
B613.VP1_VMM61.energy,B613.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B613.VP1_VMM62.energy,B613.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B613.VP2_VMM61.energy,B613.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B614.VS1_VMM61.energy,B614.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B614.VÅ9_VMM41.energy,B614.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B615.VS1_VMM61.energy,B615.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B616.VP1_VMM61.energy,B616.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B616.VP1_VMM62.energy,B616.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B616.VS1_VMM61.energy,B616.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B616.VS2_VMM61.energy,B616.VS2_VMM61,Energy_Sensor,Megawatt-Hour,
B616.VÅ9_VMM41.energy,B616.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B621.VP1_VMM61.energy,B621.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B621.VÅ9_VMM41.energy,B621.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B622.VP1_VMM61.energy,B622.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B622.VP2_VMM61.energy,B622.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B623.VP1_VMM61.energy,B623.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B625.VS1_VMM61.energy,B625.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B625.VÅ9_VMM41.energy,B625.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B631.VP1_VMM61.energy,B631.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B631.VP1_VMM62.energy,B631.VP1_VMM62,Energy_Sensor,Megawatt-Hour,
B631.VP1_VMM63.energy,B631.VP1_VMM63,Energy_Sensor,Megawatt-Hour,
B634.VP1_VMM61.energy,B634.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B634.VÅ9_VMM41.energy,B634.VÅ9_VMM41,Energy_Sensor,Megawatt-Hour,
B637.VP2_VMM61.energy,B637.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B638.VP2_VMM61.energy,B638.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B641.VP2_VMM61.energy,B641.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B642.VS1_VMM61.energy,B642.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B643.VP1_VMM61.energy,B643.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B643.VP2_VMM61.energy,B643.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
B650.VP1_VMM61.energy,B650.VP1_VMM61,Energy_Sensor,Megawatt-Hour,
B650.VP3_VMM61.energy,B650.VP3_VMM61,Energy_Sensor,Megawatt-Hour,
B652.VS1_VMM61.energy,B652.VS1_VMM61,Energy_Sensor,Megawatt-Hour,
B654.VP2_VMM61.energy,B654.VP2_VMM61,Energy_Sensor,Megawatt-Hour,
