timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B611.VP1_VMM61:d.raw,B611.VP1_VMM61.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VP1_VMM61_E,,,
B611.VP1_VMM61:d.A,B611.VP1_VMM61.energy,daily,counter,derived,False,,2025-01-08,,,,,B611.VP1_VMM61:d.raw,slice
B611.VP1_VMM61:d.B,B611.VP1_VMM61.energy,daily,counter,derived,False,2025-01-08,,,,,,B611.VP1_VMM61:d.raw,slice
B611.VP1_VMM61:d,B611.VP1_VMM61.energy,daily,counter,derived,True,,,,,,,B611.VP1_VMM61:d.A|B611.VP1_VMM61:d.B,rolling_sum
B611.VP2_VMM61:d.raw,B611.VP2_VMM61.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VP2_VMM61_E,,,
B611.VP2_VMM61:d.A,B611.VP2_VMM61.energy,daily,counter,derived,False,,2025-01-08,,,,,B611.VP2_VMM61:d.raw,slice
B611.VP2_VMM61:d.B,B611.VP2_VMM61.energy,daily,counter,derived,False,2025-01-08,,,,,,B611.VP2_VMM61:d.raw,slice
B611.VP2_VMM61:d,B611.VP2_VMM61.energy,daily,counter,derived,True,,,,,,,B611.VP2_VMM61:d.A|B611.VP2_VMM61:d.B,rolling_sum
B611.VÅ9_VMM41:d.raw,B611.VÅ9_VMM41.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VÅ9_VMM41_E,,,
B611.VÅ9_VMM41:d.A,B611.VÅ9_VMM41.energy,daily,counter,derived,False,,2025-01-09,,,,,B611.VÅ9_VMM41:d.raw,slice
B611.VÅ9_VMM41:d.B,B611.VÅ9_VMM41.energy,daily,counter,derived,False,2025-01-09,,,,,,B611.VÅ9_VMM41:d.raw,slice
B611.VÅ9_VMM41:d,B611.VÅ9_VMM41.energy,daily,counter,derived,True,,,,,,,B611.VÅ9_VMM41:d.A|B611.VÅ9_VMM41:d.B,rolling_sum
B611.VÅ9_VMM43:d.raw,B611.VÅ9_VMM43.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.VÅ9_VMM43_E,,,
B611.VÅ9_VMM43:d.A,B611.VÅ9_VMM43.energy,daily,counter,derived,False,,2025-01-08,,,,,B611.VÅ9_VMM43:d.raw,slice
B611.VÅ9_VMM43:d.B,B611.VÅ9_VMM43.energy,daily,counter,derived,False,2025-01-08,,,,,,B611.VÅ9_VMM43:d.raw,slice
B611.VÅ9_VMM43:d,B611.VÅ9_VMM43.energy,daily,counter,derived,True,,,,,,,B611.VÅ9_VMM43:d.A|B611.VÅ9_VMM43:d.B,rolling_sum
B612.VP2_VMM61:d,B612.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM61_E,,,
B612.VP2_VMM62:d.raw,B612.VP2_VMM62.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM62_E,,,
B612.VP2_VMM62:d.A,B612.VP2_VMM62.energy,daily,counter,derived,False,,2025-01-08,,,,,B612.VP2_VMM62:d.raw,slice
B612.VP2_VMM62:d.B,B612.VP2_VMM62.energy,daily,counter,derived,False,2025-01-08,,,,,,B612.VP2_VMM62:d.raw,slice
B612.VP2_VMM62:d,B612.VP2_VMM62.energy,daily,counter,derived,True,,,,,,,B612.VP2_VMM62:d.A|B612.VP2_VMM62:d.B,rolling_sum
B612.VP2_VMM63:d.raw,B612.VP2_VMM63.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.VP2_VMM63_E,,,
B612.VP2_VMM63:d.A,B612.VP2_VMM63.energy,daily,counter,derived,False,,2025-01-08,,,,,B612.VP2_VMM63:d.raw,slice
