facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B200.Å1_VMM70,,,no,low,snowflake: no match; not used in Excel Ånga sheet (flow-schema-only meter)
B216.Å1_VMM71,B216.Å1_VM71,B216.Å1_VM71,yes,high,snowflake 'B216.Å1_VM71' (suffix toggle (tried B216.Å1_VM71)); STRUX 'B216.Å1_VM71'; excel Ånga row(s) for building(s) 216|307 roles=add|sub
B216.Å1_VMM72,B216.Å1_VMM72_E,B216.Å1_VMM72_E,yes,high,snowflake 'B216.Å1_VMM72_E' (suffix toggle (tried B216.Å1_VMM72_E)); STRUX 'B216.Å1_VMM72_E'; excel Ånga row(s) for building(s) 216 roles=add
B217.Å1_VMM71,B217.Å1_VM71,B217.Å1_VM71,yes,high,snowflake 'B217.Å1_VM71' (suffix toggle (tried B217.Å1_VM71)); STRUX 'B217.Å1_VM71'; excel Ånga row(s) for building(s) 216|217 roles=add|sub
B301.Å1_VMM71,B301.Å1_VMM71_E,B301.Å1_VMM71_E,yes,high,snowflake 'B301.Å1_VMM71_E' (suffix toggle (tried B301.Å1_VMM71_E)); STRUX 'B301.Å1_VMM71_E'; excel Ånga row(s) for building(s) 301|302 roles=add|sub
B302.Å1_VMM71,B302.Å1_VMM71_E,B302.Å1_VMM71_E,yes,high,snowflake 'B302.Å1_VMM71_E' (suffix toggle (tried B302.Å1_VMM71_E)); STRUX 'B302.Å1_VMM71_E'; excel Ånga row(s) for building(s) 302 roles=add
B302.Å1_VMM72,B302.Å1_VMM72_E,B302.Å1_VMM72_E,yes,high,snowflake 'B302.Å1_VMM72_E' (suffix toggle (tried B302.Å1_VMM72_E)); STRUX 'B302.Å1_VMM72_E'; excel Ånga row(s) for building(s) 302 roles=sub
B302.Å1_VMM73,B302.Å1_VMM73_E,B302.Å1_VMM73_E,yes,high,snowflake 'B302.Å1_VMM73_E' (suffix toggle (tried B302.Å1_VMM73_E)); STRUX 'B302.Å1_VMM73_E'; excel Ånga row(s) for building(s) 302|307 roles=add|sub
B303.Å1_VMM70,B303.Å1_VMM70_E,B303.Å1_VMM70_E,yes,high,snowflake 'B303.Å1_VMM70_E' (suffix toggle (tried B303.Å1_VMM70_E)); STRUX 'B303.Å1_VMM70_E'; excel Ånga row(s) for building(s) 303 roles=add
B304.Å1_VMM70,,,no,low,snowflake: no match; not used in Excel Ånga sheet (flow-schema-only meter)
B304.Å1_VMM71,B304.Å1_VMM71_E,B304.Å1_VMM71_E,yes,high,snowflake 'B304.Å1_VMM71_E' (suffix toggle (tried B304.Å1_VMM71_E)); STRUX 'B304.Å1_VMM71_E'; excel Ånga row(s) for building(s) 304|307 roles=add|sub
