building,excel_building_label,row,formula_column,sign,role,excel_meter_id,facit_meter_id,n_terms
B216,216,15,S,+,add,B216.Å1_VM71,B216.Å1_VMM71,5
B216,216,15,T,+,add,B216.Å1_VMM72_E,B216.Å1_VMM72,5
B216,216,15,U,−,sub,B217.Å1_VM71,B217.Å1_VMM71,5
B217,217,16,S,+,add,B217.Å1_VM71,B217.Å1_VMM71,5
B301,301,18,S,+,add,B301.Å1_VMM71_E,B301.Å1_VMM71,5
B302,302,19,S,+,add,B302.Å1_VMM71_E,B302.Å1_VMM71,5
B302,302,19,T,+,add,B302.Å1_VMM73_E,B302.Å1_VMM73,5
B302,302,19,U,−,sub,B302.Å1_VMM72_E,B302.Å1_VMM72,5
B302,302,19,V,−,sub,B301.Å1_VMM71_E,B301.Å1_VMM71,5
B303,303,20,S,+,add,B303.Å1_VMM70_E,B303.Å1_VMM70,5
B304,304,21,S,+,add,B304.Å1_VMM71_E,B304.Å1_VMM71,5
B305,305,22,S,+,add,B305.Å1_VMM71_E,B305.Å1_VMM71,5
B307,307,23,S,+,add,B307.Å1_VMM71_E,B307.Å1_VMM71,10
B307,307,23,T,+,add,B307.Å1_VMM72_E,B307.Å1_VMM72,10
B307,307,23,U,−,sub,B339.Å1_VMM70_E,B339.Å1_VMM70,10
B307,307,23,V,−,sub,B302.Å1_VMM73_E,B302.Å1_VMM73,10
B307,307,23,W,−,sub,B311.Å1_VMM71_E,B311.Å1_VMM71,10
B307,307,23,X,−,sub,B334.Å1_VMM71_E,B334.Å1_VMM71,10
B307,307,23,Y,−,sub,B304.Å1_VMM71_E,B304.Å1_VMM71,10
B307,307,23,Z,−,sub,B330.Å1_VMM71_E,B330.Å1_VMM71,10
B307,307,23,AA,−,sub,B337.Å1_VMM71_E,B337.Å1_VMM71,10
B307,307,23,AB,−,sub,B216.Å1_VM71,B216.Å1_VMM71,10
B308,308,24,S,+,add,B308.Å1_VMM71_E,B308.Å1_VMM71,5
B308,308,24,T,−,sub,B327.Å1_VMM71_E,B327.Å1_VMM71,5
B310,310,26,S,+,add,B310.Å1_VMM70_E,B310.Å1_VMM70,6
B310,310,26,T,−,sub,B311.Å1_VMM72_E,B311.Å1_VMM72,6
B310,310,26,U,−,sub,B317.Å1_VMM72_E,B317.Å1_VMM72,6
B310,310,26,V,−,sub,B313.Å1_VM71,B313.Å1_VMM71,6
B310,310,26,W,−,sub,B317.Å1_VMM71_E,B317.Å1_VMM71,6
B310,310,26,X,−,sub,B313.Å1_VMM72_E,B313.Å1_VMM72,6
B311,311,27,S,+,add,B311.Å1_VMM71_E,B311.Å1_VMM71,5
B311,311,27,T,+,add,B311.Å1_VMM72_E,B311.Å1_VMM72,5
B313,313,29,S,+,add,B313.Å1_VM71,B313.Å1_VMM71,5
B313,313,29,T,+,add,B313.Å1_VMM72_E,B313.Å1_VMM72,5
B315,315,31,S,+,add,B315.Å1_VMM71_E,B315.Å1_VMM71,5
B317,317,33,S,+,add,B317.Å1_VMM71_E,B317.Å1_VMM71,5
B317,317,33,T,+,add,B317.Å1_VMM72_E,B317.Å1_VMM72,5
B325,325,40,S,+,add,B325.Panna2_MWH,B325.Panna2_MWH,5
B325,325,40,T,+,add,B325.Panna3_MWH,B325.Panna3_MWH,5
B325,325,40,U,−,sub,B390.Å1_VMM70_E,B390.Å1_VMM70,5
B327,327,42,S,+,add,B327.Å1_VMM71_E,B327.Å1_VMM71,5
B330,330/331,44,S,+,add,B330.Å1_VMM71_E,B330.Å1_VMM71,5
B330,330/331,44,T,+,add,B330.Å1_VMM72_E,B330.Å1_VMM72,5
B330,330/331,44,U,+,add,B330.Å1_VMM73_E,B330.Å1_VMM73,5
B334,334,45,S,+,add,B334.Å1_VMM71_E,B334.Å1_VMM71,5
B337,337,46,S,+,add,B337.Å1_VMM71_E,B337.Å1_VMM71,5
B337,337,46,T,−,sub,B330.Å1_VMM71_E,B330.Å1_VMM71,5
B339,339 Kolfilter,48,S,+,add,B339.Å1_VMM70_E,B339.Å1_VMM70,5
B341,341,49,S,+,add,B341.Å1_VMM71,B341.Å1_VMM71,5
B385,385,68,S,+,add,B385.Å1_VMM71_E,B385.Å1_VMM71,5
B390,390,71,S,+,add,B390.Å1_VMM70_E,B390.Å1_VMM70,5
B392,392,72,S,+,add,B392.Å1_VMM71_E,B392.Å1_VMM71,5
