meter_id,building,meter_type
B216.Å1_VMM71,216,real
B216.Å1_VMM72,216,real
B217.Å1_VMM71,217,real
B301.Å1_VMM71,301,real
B302.Å1_VMM71,302,real
B302.Å1_VMM73,302,real
B302.Å1_VMM72,,real
B303.Å1_VMM70,303,real
B304.Å1_VMM71,304,real
B305.Å1_VMM71,305,real
B307.Å1_VMM71,307,real
B307.Å1_VMM72,307,real
B339.Å1_VMM70,339,real
B311.Å1_VMM71,311,real
B334.Å1_VMM71,334,real
B330.Å1_VMM71,330,real
B337.Å1_VMM71,337,real
B308.Å1_VMM71,308,real
B327.Å1_VMM71,327,real
B310.Å1_VMM70,310,real
B311.Å1_VMM72,311,real
B317.Å1_VMM72,317,real
B313.Å1_VMM71,313,real
B317.Å1_VMM71,317,real
B313.Å1_VMM72,313,real
B315.Å1_VMM71,315,real
B325.Panna2_MWH,325,real
B325.Panna3_MWH,325,real
B390.Å1_VMM70,390,real
B330.Å1_VMM72,330,real
B330.Å1_VMM73,330,real
B341.Å1_VMM71,341,real
B385.Å1_VMM71,385,real
B392.Å1_VMM71,392,real
BB216.ANGA_BUILDING,B216,virtual
BB217.ANGA_BUILDING,B217,virtual
BB301.ANGA_BUILDING,B301,virtual
BB302.ANGA_BUILDING,B302,virtual
BB303.ANGA_BUILDING,B303,virtual
BB304.ANGA_BUILDING,B304,virtual
BB305.ANGA_BUILDING,B305,virtual
BB307.ANGA_BUILDING,B307,virtual
BB308.ANGA_BUILDING,B308,virtual
BB310.ANGA_BUILDING,B310,virtual
BB311.ANGA_BUILDING,B311,virtual
BB313.ANGA_BUILDING,B313,virtual
BB315.ANGA_BUILDING,B315,virtual
BB317.ANGA_BUILDING,B317,virtual
BB325.ANGA_BUILDING,B325,virtual
BB327.ANGA_BUILDING,B327,virtual
BB330.ANGA_BUILDING,B330,virtual
BB334.ANGA_BUILDING,B334,virtual
BB337.ANGA_BUILDING,B337,virtual
BB339.ANGA_BUILDING,B339,virtual
BB341.ANGA_BUILDING,B341,virtual
BB385.ANGA_BUILDING,B385,virtual
BB390.ANGA_BUILDING,B390,virtual
BB392.ANGA_BUILDING,B392,virtual
