from_meter,to_meter,coefficient,derived_from
B216.Å1_VMM71,B217.Å1_VMM71,1.0,excel_formula_B216
B216.Å1_VMM71,BB216.ANGA_BUILDING,1.0,building_virtual_BB216
B216.Å1_VMM72,BB216.ANGA_BUILDING,1.0,building_virtual_BB216
B217.Å1_VMM71,BB217.ANGA_BUILDING,1.0,building_virtual_BB217
B301.Å1_VMM71,BB301.ANGA_BUILDING,1.0,building_virtual_BB301
B302.Å1_VMM71,B301.Å1_VMM71,1.0,excel_formula_B302
B302.Å1_VMM71,B302.Å1_VMM72,1.0,excel_formula_B302
B302.Å1_VMM71,BB302.ANGA_BUILDING,1.0,building_virtual_BB302
B302.Å1_VMM73,BB302.ANGA_BUILDING,1.0,building_virtual_BB302
B303.Å1_VMM70,BB303.ANGA_BUILDING,1.0,building_virtual_BB303
B304.Å1_VMM71,BB304.ANGA_BUILDING,1.0,building_virtual_BB304
B305.Å1_VMM71,BB305.ANGA_BUILDING,1.0,building_virtual_BB305
B307.Å1_VMM71,B216.Å1_VMM71,1.0,excel_formula_B307
B307.Å1_VMM71,B302.Å1_VMM73,1.0,excel_formula_B307
B307.Å1_VMM71,B304.Å1_VMM71,1.0,excel_formula_B307
B307.Å1_VMM71,B311.Å1_VMM71,1.0,excel_formula_B307
B307.Å1_VMM71,B334.Å1_VMM71,1.0,excel_formula_B307
B307.Å1_VMM71,B337.Å1_VMM71,1.0,excel_formula_B307
B307.Å1_VMM71,B339.Å1_VMM70,1.0,excel_formula_B307
B307.Å1_VMM71,BB307.ANGA_BUILDING,1.0,building_virtual_BB307
B307.Å1_VMM72,BB307.ANGA_BUILDING,1.0,building_virtual_BB307
B308.Å1_VMM71,B327.Å1_VMM71,1.0,excel_formula_B308
B308.Å1_VMM71,BB308.ANGA_BUILDING,1.0,building_virtual_BB308
B310.Å1_VMM70,B311.Å1_VMM72,1.0,excel_formula_B310
B310.Å1_VMM70,B313.Å1_VMM71,1.0,excel_formula_B310
B310.Å1_VMM70,B313.Å1_VMM72,1.0,excel_formula_B310
B310.Å1_VMM70,B317.Å1_VMM71,1.0,excel_formula_B310
B310.Å1_VMM70,B317.Å1_VMM72,1.0,excel_formula_B310
B310.Å1_VMM70,BB310.ANGA_BUILDING,1.0,building_virtual_BB310
B311.Å1_VMM71,BB311.ANGA_BUILDING,1.0,building_virtual_BB311
B311.Å1_VMM72,BB311.ANGA_BUILDING,1.0,building_virtual_BB311
B313.Å1_VMM71,BB313.ANGA_BUILDING,1.0,building_virtual_BB313
B313.Å1_VMM72,BB313.ANGA_BUILDING,1.0,building_virtual_BB313
B315.Å1_VMM71,BB315.ANGA_BUILDING,1.0,building_virtual_BB315
