building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B216,15,S,+,add,B216.Å1_VMM71,B216.Å1_VM71,,5,excel_ANGA
B216,15,T,+,add,B216.Å1_VMM72,B216.Å1_VMM72_E,,5,excel_ANGA
B216,15,U,−,sub,B217.Å1_VMM71,B217.Å1_VM71,,5,excel_ANGA
B217,16,S,+,add,B217.Å1_VMM71,B217.Å1_VM71,,5,excel_ANGA
B301,18,S,+,add,B301.Å1_VMM71,B301.Å1_VMM71_E,,5,excel_ANGA
B302,19,S,+,add,B302.Å1_VMM71,B302.Å1_VMM71_E,,5,excel_ANGA
B302,19,T,+,add,B302.Å1_VMM73,B302.Å1_VMM73_E,,5,excel_ANGA
B302,19,U,−,sub,B302.Å1_VMM72,B302.Å1_VMM72_E,,5,excel_ANGA
B302,19,V,−,sub,B301.Å1_VMM71,B301.Å1_VMM71_E,,5,excel_ANGA
B303,20,S,+,add,B303.Å1_VMM70,B303.Å1_VMM70_E,,5,excel_ANGA
B304,21,S,+,add,B304.Å1_VMM71,B304.Å1_VMM71_E,,5,excel_ANGA
B305,22,S,+,add,B305.Å1_VMM71,B305.Å1_VMM71_E,,5,excel_ANGA
B307,23,S,+,add,B307.Å1_VMM71,B307.Å1_VMM71_E,,10,excel_ANGA
B307,23,T,+,add,B307.Å1_VMM72,B307.Å1_VMM72_E,,10,excel_ANGA
B307,23,U,−,sub,B339.Å1_VMM70,B339.Å1_VMM70_E,,10,excel_ANGA
B307,23,V,−,sub,B302.Å1_VMM73,B302.Å1_VMM73_E,,10,excel_ANGA
B307,23,W,−,sub,B311.Å1_VMM71,B311.Å1_VMM71_E,,10,excel_ANGA
B307,23,X,−,sub,B334.Å1_VMM71,B334.Å1_VMM71_E,,10,excel_ANGA
B307,23,Y,−,sub,B304.Å1_VMM71,B304.Å1_VMM71_E,,10,excel_ANGA
B307,23,Z,−,sub,B330.Å1_VMM71,B330.Å1_VMM71_E,,10,excel_ANGA
B307,23,AA,−,sub,B337.Å1_VMM71,B337.Å1_VMM71_E,,10,excel_ANGA
B307,23,AB,−,sub,B216.Å1_VMM71,B216.Å1_VM71,,10,excel_ANGA
B308,24,S,+,add,B308.Å1_VMM71,B308.Å1_VMM71_E,,5,excel_ANGA
B308,24,T,−,sub,B327.Å1_VMM71,B327.Å1_VMM71_E,,5,excel_ANGA
B310,26,S,+,add,B310.Å1_VMM70,B310.Å1_VMM70_E,,6,excel_ANGA
B310,26,T,−,sub,B311.Å1_VMM72,B311.Å1_VMM72_E,,6,excel_ANGA
B310,26,U,−,sub,B317.Å1_VMM72,B317.Å1_VMM72_E,,6,excel_ANGA
B310,26,V,−,sub,B313.Å1_VMM71,B313.Å1_VM71,,6,excel_ANGA
B310,26,W,−,sub,B317.Å1_VMM71,B317.Å1_VMM71_E,,6,excel_ANGA
B310,26,X,−,sub,B313.Å1_VMM72,B313.Å1_VMM72_E,,6,excel_ANGA
B311,27,S,+,add,B311.Å1_VMM71,B311.Å1_VMM71_E,,5,excel_ANGA
B311,27,T,+,add,B311.Å1_VMM72,B311.Å1_VMM72_E,,5,excel_ANGA
B313,29,S,+,add,B313.Å1_VMM71,B313.Å1_VM71,,5,excel_ANGA
B313,29,T,+,add,B313.Å1_VMM72,B313.Å1_VMM72_E,,5,excel_ANGA
B315,31,S,+,add,B315.Å1_VMM71,B315.Å1_VMM71_E,,5,excel_ANGA
B317,33,S,+,add,B317.Å1_VMM71,B317.Å1_VMM71_E,,5,excel_ANGA
B317,33,T,+,add,B317.Å1_VMM72,B317.Å1_VMM72_E,,5,excel_ANGA
B325,40,S,+,add,B325.Panna2_MWH,B325.Panna2_MWH,,5,excel_ANGA
B325,40,T,+,add,B325.Panna3_MWH,B325.Panna3_MWH,,5,excel_ANGA
B325,40,U,−,sub,B390.Å1_VMM70,B390.Å1_VMM70_E,,5,excel_ANGA
B327,42,S,+,add,B327.Å1_VMM71,B327.Å1_VMM71_E,,5,excel_ANGA
B330,44,S,+,add,B330.Å1_VMM71,B330.Å1_VMM71_E,,5,excel_ANGA
B330,44,T,+,add,B330.Å1_VMM72,B330.Å1_VMM72_E,,5,excel_ANGA
B330,44,U,+,add,B330.Å1_VMM73,B330.Å1_VMM73_E,,5,excel_ANGA
B334,45,S,+,add,B334.Å1_VMM71,B334.Å1_VMM71_E,,5,excel_ANGA
B337,46,S,+,add,B337.Å1_VMM71,B337.Å1_VMM71_E,,5,excel_ANGA
B337,46,T,−,sub,B330.Å1_VMM71,B330.Å1_VMM71_E,,5,excel_ANGA
B339,48,S,+,add,B339.Å1_VMM70,B339.Å1_VMM70_E,,5,excel_ANGA
B341,49,S,+,add,B341.Å1_VMM71,B341.Å1_VMM71,,5,excel_ANGA
B385,68,S,+,add,B385.Å1_VMM71,B385.Å1_VMM71_E,,5,excel_ANGA
B390,71,S,+,add,B390.Å1_VMM70,B390.Å1_VMM70_E,,5,excel_ANGA
B392,72,S,+,add,B392.Å1_VMM71,B392.Å1_VMM71_E,,5,excel_ANGA
