parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B216.Å1_VMM71,B217.Å1_VMM71,hasSubMeter,,,,excel_formula_B216
B302.Å1_VMM71,B301.Å1_VMM71,hasSubMeter,,,,excel_formula_B302
B302.Å1_VMM71,B302.Å1_VMM72,hasSubMeter,,,,excel_formula_B302
B307.Å1_VMM71,B216.Å1_VMM71,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B302.Å1_VMM73,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B304.Å1_VMM71,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B311.Å1_VMM71,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B334.Å1_VMM71,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B337.Å1_VMM71,hasSubMeter,,,,excel_formula_B307
B307.Å1_VMM71,B339.Å1_VMM70,hasSubMeter,,,,excel_formula_B307
B308.Å1_VMM71,B327.Å1_VMM71,hasSubMeter,,,,excel_formula_B308
B310.Å1_VMM70,B311.Å1_VMM72,hasSubMeter,,,,excel_formula_B310
B310.Å1_VMM70,B313.Å1_VMM71,hasSubMeter,,,,excel_formula_B310
B310.Å1_VMM70,B313.Å1_VMM72,hasSubMeter,,,,excel_formula_B310
B310.Å1_VMM70,B317.Å1_VMM71,hasSubMeter,,,,excel_formula_B310
B310.Å1_VMM70,B317.Å1_VMM72,hasSubMeter,,,,excel_formula_B310
B325.Panna2_MWH,B390.Å1_VMM70,hasSubMeter,,,,excel_formula_B325
B337.Å1_VMM71,B330.Å1_VMM71,hasSubMeter,,,,excel_formula_B337
B325.Panna2_MWH,SNV.ANGA_INTAKE,feeds,1.0,,,B325_panncentral
B325.Panna3_MWH,SNV.ANGA_INTAKE,feeds,1.0,,,B325_panncentral
SNV.ANGA_INTAKE,B216.Å1_VMM72,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B302.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B303.Å1_VMM70,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B305.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B307.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B307.Å1_VMM72,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B308.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B310.Å1_VMM70,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B315.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B330.Å1_VMM72,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B330.Å1_VMM73,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B341.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B385.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
SNV.ANGA_INTAKE,B392.Å1_VMM71,hasSubMeter,,,,snv_anga_intake_fanout
