sensor_id,meter_id,point_type,unit,identifier
B216.Å1_VMM71.energy,B216.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B216.Å1_VMM72.energy,B216.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B217.Å1_VMM71.energy,B217.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B301.Å1_VMM71.energy,B301.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B302.Å1_VMM71.energy,B302.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B302.Å1_VMM73.energy,B302.Å1_VMM73,Energy_Sensor,Megawatt-Hour,
B302.Å1_VMM72.energy,B302.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B303.Å1_VMM70.energy,B303.Å1_VMM70,Energy_Sensor,Megawatt-Hour,
B304.Å1_VMM71.energy,B304.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B305.Å1_VMM71.energy,B305.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B307.Å1_VMM71.energy,B307.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B307.Å1_VMM72.energy,B307.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B339.Å1_VMM70.energy,B339.Å1_VMM70,Energy_Sensor,Megawatt-Hour,
B311.Å1_VMM71.energy,B311.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B334.Å1_VMM71.energy,B334.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B330.Å1_VMM71.energy,B330.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B337.Å1_VMM71.energy,B337.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B308.Å1_VMM71.energy,B308.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B327.Å1_VMM71.energy,B327.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B310.Å1_VMM70.energy,B310.Å1_VMM70,Energy_Sensor,Megawatt-Hour,
B311.Å1_VMM72.energy,B311.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B317.Å1_VMM72.energy,B317.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B313.Å1_VMM71.energy,B313.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B317.Å1_VMM71.energy,B317.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B313.Å1_VMM72.energy,B313.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B315.Å1_VMM71.energy,B315.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B325.Panna2_MWH.energy,B325.Panna2_MWH,Energy_Sensor,Megawatt-Hour,
B325.Panna3_MWH.energy,B325.Panna3_MWH,Energy_Sensor,Megawatt-Hour,
B390.Å1_VMM70.energy,B390.Å1_VMM70,Energy_Sensor,Megawatt-Hour,
B330.Å1_VMM72.energy,B330.Å1_VMM72,Energy_Sensor,Megawatt-Hour,
B330.Å1_VMM73.energy,B330.Å1_VMM73,Energy_Sensor,Megawatt-Hour,
B341.Å1_VMM71.energy,B341.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B385.Å1_VMM71.energy,B385.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
B392.Å1_VMM71.energy,B392.Å1_VMM71,Energy_Sensor,Megawatt-Hour,
