building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,coefficient,n_terms
201,8,S,+,add,B207.T94-2-4,B207.T94-2-4,1.0,3
202,9,S,+,add,B207.T94-2-1,B207.T94-2-1,1.0,3
202,9,T,+,add,B207.T95-3-6,B207.T95-3-6,1.0,3
203,10,S,+,add,B207.T94-2-2,B207.T94-2-2,1.0,3
203,10,T,+,add,B207.T95-3-2,B207.T95-3-2,1.0,3
204,11,S,+,add,B209.T32-4-2,B209.T32-4-2,0.75,5
205,12,S,+,add,B209.T32-4-2,B209.T32-4-2,0.25,5
207,13,S,+,add,B207.T94-2-3,B207.T94-2-3,1.0,5
209,14,S,+,add,B209.T21,B209.T21,1.0,6
209,14,T,+,add,B209.T32,B209.T32,1.0,6
209,14,U,−,sub,B209.T32-2-2,B209.T32-2-2,1.0,6
209,14,V,−,sub,B209.T32-2-4,B209.T32-2-4,1.0,6
209,14,W,−,sub,B209.T32-4-2,B209.T32-4-2,1.0,6
209,14,X,−,sub,B209.T21-4-6,B209.T21-4-6,1.0,6
216,15,S,+,add,B207.T94-4-4,B207.T94-4-4,1.0,5
216,15,T,+,add,B207.T94-4-7,B207.T94-4-7,1.0,5
216,15,U,+,add,B207.T95-3-1,B207.T95-3-1,1.0,5
216,15,V,+,add,B207.T95-3-3,B207.T95-3-3,1.0,5
216,15,W,+,add,B207.T95-3-4,B207.T95-3-4,1.0,5
217,16,S,+,add,B207.T94-4-3,B207.T94-4-3,1.0,6
217,16,T,+,add,B207.T94-4-5,B207.T94-4-5,1.0,6
217,16,U,+,add,B207.T94-4-6,B207.T94-4-6,1.0,6
217,16,V,+,add,B207.T95-5-5,B207.T95-5-5,1.0,6
217,16,W,+,add,B207.T95-5-6,B207.T95-5-6,1.0,6
217,16,X,+,add,B207.T95-5-7,B207.T95-5-7,1.0,6
301,18,S,+,add,B313.T26S-2-6,B313.T26S-2-6,1.0,3
301,18,T,+,add,B371.T23-4-4,B371.T23-4-4,1.0,3
302,19,S,+,add,B307.T10-7-6,B307.T10-7-6,1.0,3
302,19,T,+,add,B371.T31-4-4,B371.T31-4-4,1.0,3
302,19,U,+,add,B371.T31-5,B371.T31-5,1.0,3
303,20,S,+,add,B313.T26S-2-32,B313.T26S-2-32,1.0,3
303,20,T,+,add,B317.T49-4-3,B317.T49-4-3,1.0,3
304,21,S,+,add,B313.T26S-3-12,B313.T26S-3-12,1.0,3
304,21,T,+,add,B336.T40-3-1,B336.T40-3-1,1.0,3
308,24,S,+,add,B308.T57,B308.T57,1.0,6
308,24,T,+,add,B308.T58,B308.T58,1.0,6
308,24,U,+,add,B308.T59,B308.T59,1.0,6
308,24,V,−,sub,B308.T57-3-2,B308.T57-3-2,1.0,6
308,24,W,−,sub,B308.T57-4-7,B308.T57-4-7,1.0,6
308,24,X,−,sub,B308.T58-4-2,B308.T58-4-2,1.0,6
312,28,S,+,add,B312.T34,B312.T34,0.85,5
312,28,T,−,sub,B312.T34-2-3,B312.T34-2-3,0.85,5
312,28,U,−,sub,B312.T34-2-4,B312.T34-2-4,0.85,5
312,28,V,−,sub,B312.T34-2-5,B312.T34-2-5,0.85,5
313,29,S,+,add,B310.T27-12-2,B310.T27-12-2,1.0,7
313,29,T,+,add,B317.T49,B317.T49,0.1,7
313,29,U,−,sub,B317.T49-4-2,B317.T49-4-2,0.1,7
313,29,V,−,sub,B317.T49-4-3,B317.T49-4-3,0.1,7
313,29,W,−,sub,B317.T49-5-5,B317.T49-5-5,0.1,7
313,29,X,−,sub,B317.T49-5-6,B317.T49-5-6,0.1,7
313,29,Y,−,sub,B317.T49-5-9,B317.T49-5-9,0.1,7
314,30,S,+,add,B313.T26S-3-32,B313.T26S-3-32,1.0,3
314,30,T,+,add,B317.T49-4-2,B317.T49-4-2,1.0,3
314,30,U,+,add,B317.T49-5-5,B317.T49-5-5,1.0,3
315,31,S,+,add,B310.T28-23-2,B310.T28-23-2,1.0,3
318,34,S,+,add,B318.T21-6-2-A,B318.T21-6-2-A,1.0,5
318,34,T,+,add,B328.T19-3-4,B328.T19-3-4,1.0,5
318,34,U,+,add,B328.T19-4-2,B328.T19-4-2,1.0,5
318,34,V,+,add,B328.T20-3-1,B328.T20-3-1,1.0,5
318,34,W,+,add,B339.T78-4-2,B339.T78-4-2,1.0,5
319,35,S,+,add,B209.T32-2-2,B209.T32-2-2,1.0,3
325,40,S,+,add,B324.T14-4-1,B324.T14-4-1,1.0,4
325,40,T,+,add,B325.T12,B325.T12,1.0,4
325,40,U,+,add,B325.T13,B325.T13,1.0,4
326,41,S,+,add,B308.T58-7-8,B308.T58-7-8,1.0,3
326,41,T,+,add,B328.T19-5-1,B328.T19-5-1,1.0,3
326,41,U,+,add,B328.T20-4-1,B328.T20-4-1,1.0,3
327,42,S,+,add,B308.T58-4-2,B308.T58-4-2,1.0,3
327,42,T,+,add,B328.T19-3-1,B328.T19-3-1,1.0,3
327,42,U,+,add,B328.T20-2-1,B328.T20-2-1,1.0,3
328,43,S,+,add,B328.T19-3-3,B328.T19-3-3,1.0,3
330,44,S,+,add,B330.T30,B330.T30,1.0,8
330,44,T,+,add,B330.T36,B330.T36,1.0,8
330,44,U,+,add,B330.T37,B330.T37,1.0,8
330,44,V,+,add,B330.T64,B330.T64,1.0,8
330,44,W,+,add,B330.T65,B330.T65,1.0,8
330,44,X,+,add,B360.T99-4-1,B360.T99-4-1,1.0,8
