meter_id,building,meter_type
B207.T94-2-1,202,real
B207.T94-2-2,203,real
B207.T94-2-3,207,real
B207.T94-2-4,201,real
B207.T94-4-3,217,real
B207.T94-4-4,216,real
B207.T94-4-5,217,real
B207.T94-4-6,217,real
B207.T94-4-7,216,real
B207.T95-3-1,216,real
B207.T95-3-2,203,real
B207.T95-3-3,216,real
B207.T95-3-4,216,real
B207.T95-3-6,202,real
B207.T95-5-5,217,real
B207.T95-5-6,217,real
B207.T95-5-7,217,real
B209.T21,209,real
B209.T21-4-6,,real
B209.T32,209,real
B209.T32-2-2,319,real
B209.T32-2-4,,real
B209.T32-4-2,,real
B307.T10-1,307,real
B307.T10-5-2,387,real
B307.T10-5-3,,real
B307.T10-6-2,,real
B307.T10-6-5,,real
B307.T10-6-8,,real
B307.T10-6-9,,real
B307.T10-7-3,,real
B307.T10-7-4,,real
B307.T10-7-5,,real
B307.T10-7-6,302,real
B307.T10-7-7,,real
B307.T11-1,307,real
B307.T11-7-10,,real
B307.T11-7-7,,real
B307.T11-8-5,,real
B307.T77-4-5-B,385,real
B308.T57,308,real
B308.T57-3-2,403,real
B308.T57-4-7,,real
B308.T58,308,real
B308.T58-4-2,327,real
B308.T58-7-8,326,real
B308.T58-8-3,342,real
B308.T59,308,real
B310.T27,,real
B310.T27-12-2,,real
B310.T28,,real
B310.T28-23-2,315,real
B311.T29,,real
B311.T56,,real
B311.T56-4-7,381,real
B311.T79,,real
B311.T80,,real
B311.T80-2-3,,real
B312.T34,,real
B312.T34-2-3,,real
B312.T34-2-4,,real
B312.T34-2-5,385,real
B313.T26S,,real
B313.T26S-2-12,,real
B313.T26S-2-32,303,real
B313.T26S-2-6,301,real
B313.T26S-2-XX,,real
B313.T26S-3-12,304,real
B313.T26S-3-16,,real
B313.T26S-3-20,,real
B313.T26S-3-24,,real
B313.T26S-3-28,,real
B313.T26S-3-32,314,real
B317.T49,,real
B317.T49-3-9,,real
B317.T49-4-2,314,real
B317.T49-4-3,303,real
B317.T49-4-4,,real
B317.T49-4-6,,real
B317.T49-4-7,,real
B317.T49-4-9,,real
B317.T49-5-1,,real
B317.T49-5-2,,real
B317.T49-5-5,314,real
B317.T49-5-6,,real
B317.T49-5-7,,real
B317.T49-5-9,,real
B318.T21-6-2-A,,real
B324.T14-4-1,325,real
B325.T12,325,real
B325.T13,325,real
B328.T19-3-1,327,real
B328.T19-3-3,328,real
B328.T19-3-4,,real
B328.T19-4-2,,real
B328.T19-5-1,326,real
B328.T20-2-1,327,real
B328.T20-2-4,353,real
B328.T20-3-1,,real
B328.T20-4-1,326,real
B330.T30,330,real
B330.T36,330,real
B330.T37,330,real
B330.T64,330,real
B330.T65,330,real
B334.T87,334,real
B334.T87-5-2,,real
B334.T88,334,real
B334.T88-4-2,,real
B334.T89,334,real
B334.T91,334,real
B334.T92,334,real
B336.T40-3-1,304,real
B337.T43,337,real
B337.T44,337,real
B339.T71-1,339,real
B339.T72-1,339,real
B339.T73-1,339,real
B339.T74-1,339,real
B339.T74-2-2,339 Kolfilter,real
B339.T75-1,339,real
B339.T76-1,339,real
B339.T77-1,339,real
B339.T77-4-5,,real
B339.T77-5-1,,real
B339.T78-1,339,real
B339.T78-4-1,,real
B339.T78-4-2,,real
B341.T60,341,real
B341.T61,341,real
B341.T62,341,real
B341.T63,341,real
B342.T66,342,real
B342.T67,342,real
B360.T99-4-1,330,real
B360.T99-4-2,330,real
B360.T99-4-4,381,real
B360.T99-4-5,,real
B360.T99-4-6,337,real
B360.T99-7-1,330,real
B371.T23-4-4,301,real
B371.T31-4-4,302,real
B371.T31-5,302,real
B204.EL_VIRT,204,virtual
B205.EL_VIRT,205,virtual
B310.EL_VIRT,310,virtual
B311.EL_VIRT,311,virtual
B312.EL_VIRT,312,virtual
B313.EL_VIRT,313,virtual
B317.EL_VIRT,317,virtual
B312.T34_unalloc,,virtual
B392.EL_VIRT,392,virtual
B344.EL_VIRT,344,virtual
B318.EL_VIRT,318,virtual
B305.EL_VIRT,305,virtual
SNV.EL_UNALLOC,,virtual
