building_id,name,campus_id,identifier
B201,Building 201,SNV,
B202,Building 202,SNV,
B203,Building 203,SNV,
B204,Building 204,SNV,
B205,Building 205,SNV,
B207,Building 207,SNV,
B209,Building 209,SNV,
B216,Building 216,SNV,
B217,Building 217,SNV,
B301,Building 301,SNV,
B302,Building 302,SNV,
B303,Building 303,SNV,
B304,Building 304,SNV,
B305,Building 305,SNV,
B307,Building 307,SNV,
B308,Building 308,SNV,
B310,Building 310,SNV,
B311,Building 311,SNV,
B312,Building 312,SNV,
B313,Building 313,SNV,
B314,Building 314,SNV,
B315,Building 315,SNV,
B317,Building 317,SNV,
B318,Building 318,SNV,
B319,Building 319,SNV,
B325,Building 325,SNV,
B326,Building 326,SNV,
B327,Building 327,SNV,
B328,Building 328,SNV,
B330,Building 330,SNV,
B334,Building 334,SNV,
B337,Building 337,SNV,
B339,Building 339,SNV,
B339 Kolfilter,Building 339 Kolfilter,SNV,
B341,Building 341,SNV,
B342,Building 342,SNV,
B344,Building 344,SNV,
B353,Building 353,SNV,
B381,Building 381,SNV,
B385,Building 385,SNV,
B387,Building 387,SNV,
B392,Building 392,SNV,
B403,Building 403,SNV,
B324,Building 324,SNV,
B399,Building 399,SNV,
B340,Building 340,SNV,
B371,Building 371,SNV,
