meter_id,name,building_id,media_type_id,is_virtual_meter,identifier,valid_from,valid_to
B207.T94-2-1,202 EL meter T94-2-1,B202,EL,False,snowflake=B207.T94-2-1; strux=B207.T94-2-1,,
B207.T94-2-2,203 EL meter T94-2-2,B203,EL,False,snowflake=B207.T94-2-2; strux=B207.T94-2-2,,
B207.T94-2-3,207 EL meter T94-2-3,B207,EL,False,snowflake=B207.T94-2-3; strux=B207.T94-2-3,,
B207.T94-2-4,201 EL meter T94-2-4,B201,EL,False,snowflake=B207.T94-2-4; strux=B207.T94-2-4,,
B207.T94-4-3,217 EL meter T94-4-3,B217,EL,False,snowflake=B207.T94-4-3; strux=B207.T94-4-3,,
B207.T94-4-4,216 EL meter T94-4-4,B216,EL,False,snowflake=B207.T94-4-4; strux=B207.T94-4-4,,
B207.T94-4-5,217 EL meter T94-4-5,B217,EL,False,snowflake=B207.T94-4-5; strux=B207.T94-4-5,,
B207.T94-4-6,217 EL meter T94-4-6,B217,EL,False,snowflake=B207.T94-4-6; strux=B207.T94-4-6,,
B207.T94-4-7,216 EL meter T94-4-7,B216,EL,False,snowflake=B207.T94-4-7; strux=B207.T94-4-7,,
B207.T95-3-1,216 EL meter T95-3-1,B216,EL,False,snowflake=B207.T95-3-1; strux=B207.T95-3-1,,
B207.T95-3-2,203 EL meter T95-3-2,B203,EL,False,snowflake=B207.T95-3-2; strux=B207.T95-3-2,,
B207.T95-3-3,216 EL meter T95-3-3,B216,EL,False,snowflake=B207.T95-3-3; strux=B207.T95-3-3,,
B207.T95-3-4,216 EL meter T95-3-4,B216,EL,False,snowflake=B207.T95-3-4; strux=B207.T95-3-4,,
B207.T95-3-6,202 EL meter T95-3-6,B202,EL,False,snowflake=B207.T95-3-6; strux=B207.T95-3-6,,
B207.T95-5-5,217 EL meter T95-5-5,B217,EL,False,snowflake=B207.T95-5-5; strux=B207.T95-5-5,,
B207.T95-5-6,217 EL meter T95-5-6,B217,EL,False,snowflake=B207.T95-5-6; strux=B207.T95-5-6,,
B207.T95-5-7,217 EL meter T95-5-7,B217,EL,False,snowflake=B207.T95-5-7; strux=B207.T95-5-7,,
B209.T21,209 EL meter T21,B209,EL,False,snowflake=B209.T21-1; strux=B209.T21,,
B209.T21-4-6, EL meter T21-4-6,,EL,False,snowflake=B209.T21-4-6; strux=B209.T21-4-6,,
B209.T32,209 EL meter T32,B209,EL,False,snowflake=B209.T32-1; strux=B209.T32,,
B209.T32-2-2,319 EL meter T32-2-2,B319,EL,False,snowflake=B209.T32-2-2; strux=B209.T32-2-2,,
B209.T32-2-4, EL meter T32-2-4,,EL,False,snowflake=B209.T32-2-4; strux=B209.T32-2-4,,
B209.T32-4-2, EL meter T32-4-2,,EL,False,snowflake=B209.T32-4-2; strux=B209.T32-4-2,,
B307.T10-1,307 EL meter T10-1,B307,EL,False,snowflake=B307.T10-1; strux=B307.T10-1,,
B307.T10-5-2,387 EL meter T10-5-2,B387,EL,False,snowflake=B307.T10-5-2; strux=B307.T10-5-2,,
B307.T10-5-3, EL meter T10-5-3,,EL,False,snowflake=B307.T10-5-3; strux=B307.T10-5-3,,
B307.T10-6-2, EL meter T10-6-2,,EL,False,snowflake=B307.T10-6-2; strux=B307.T10-6-2,,
B307.T10-6-5, EL meter T10-6-5,,EL,False,snowflake=B307.T10-6-5; strux=B307.T10-6-5,,
B307.T10-6-8, EL meter T10-6-8,,EL,False,snowflake=B307.T10-6-8; strux=B307.T10-6-8,,
B307.T10-6-9, EL meter T10-6-9,,EL,False,snowflake=B307.T10-6-9; strux=B307.T10-6-9,,
B307.T10-7-3, EL meter T10-7-3,,EL,False,snowflake=B307.T10-7-3; strux=B307.T10-7-3,,
B307.T10-7-4, EL meter T10-7-4,,EL,False,snowflake=B307.T10-7-4; strux=B307.T10-7-4,,
B307.T10-7-5, EL meter T10-7-5,,EL,False,snowflake=B307.T10-7-5; strux=B307.T10-7-5,,
B307.T10-7-6,302 EL meter T10-7-6,B302,EL,False,snowflake=B307.T10-7-6; strux=B307.T10-7-6,,
B307.T10-7-7, EL meter T10-7-7,,EL,False,snowflake=B307.T10-7-7; strux=B307.T10-7-7,,
B307.T11-1,307 EL meter T11-1,B307,EL,False,snowflake=B307.T11-1; strux=B307.T11-1,,
B307.T11-7-10, EL meter T11-7-10,,EL,False,snowflake=B307.T11-7-10; strux=B307.T11-7-10,,
B307.T11-7-7, EL meter T11-7-7,,EL,False,strux=B307.T11-7-7,,
B307.T11-8-5, EL meter T11-8-5,,EL,False,snowflake=B307.T11-8-5; strux=B307.T11-8-5,,
B307.T77-4-5-B,385 EL meter T77-4-5-B,B385,EL,False,,,
B308.T57,308 EL meter T57,B308,EL,False,snowflake=B308.T57; strux=B308.T57,,
B308.T57-3-2,403 EL meter T57-3-2,B403,EL,False,snowflake=B308.T57-3-2; strux=B308.T57-3-2,,
B308.T57-4-7, EL meter T57-4-7,,EL,False,snowflake=B308.T57-4-7; strux=B308.T57-4-7,,
B308.T58,308 EL meter T58,B308,EL,False,snowflake=B308.T58; strux=B308.T58,,
B308.T58-4-2,327 EL meter T58-4-2,B327,EL,False,snowflake=B308.T58-4-2; strux=B308.T58-4-2,,
B308.T58-7-8,326 EL meter T58-7-8,B326,EL,False,snowflake=B308.T58-7-8; strux=B308.T58-7-8,,
B308.T58-8-3,342 EL meter T58-8-3,B342,EL,False,snowflake=B308.T58-8-3; strux=B308.T58-8-3,,
B308.T59,308 EL meter T59,B308,EL,False,snowflake=B308.T59; strux=B308.T59,,
B310.T27, EL meter T27,,EL,False,snowflake=B310.T27; strux=B310.T27,,
B310.T27-12-2, EL meter T27-12-2,,EL,False,snowflake=B310.T27-12-2; strux=B310.T27-12-2,,
B310.T28, EL meter T28,,EL,False,snowflake=B310.T28; strux=B310.T28,,
B310.T28-23-2,315 EL meter T28-23-2,B315,EL,False,snowflake=B310.T28-23-2; strux=B310.T28-23-2,,
B311.T29, EL meter T29,,EL,False,snowflake=B311.T29; strux=B311.T29,,
B311.T56, EL meter T56,,EL,False,snowflake=B311.T56; strux=B311.T56,,
B311.T56-4-7,381 EL meter T56-4-7,B381,EL,False,snowflake=B311.T56-4-7; strux=B311.T56-4-7,,
B311.T79, EL meter T79,,EL,False,snowflake=B311.T79; strux=B311.T79,,
B311.T80, EL meter T80,,EL,False,snowflake=B311.T80; strux=B311.T80,,
