sensor_id,meter_id,point_type,unit,identifier
B207.T94-2-1.energy,B207.T94-2-1,Energy_Sensor,KiloW-HR,
B207.T94-2-2.energy,B207.T94-2-2,Energy_Sensor,KiloW-HR,
B207.T94-2-3.energy,B207.T94-2-3,Energy_Sensor,KiloW-HR,
B207.T94-2-4.energy,B207.T94-2-4,Energy_Sensor,KiloW-HR,
B207.T94-4-3.energy,B207.T94-4-3,Energy_Sensor,KiloW-HR,
B207.T94-4-4.energy,B207.T94-4-4,Energy_Sensor,KiloW-HR,
B207.T94-4-5.energy,B207.T94-4-5,Energy_Sensor,KiloW-HR,
B207.T94-4-6.energy,B207.T94-4-6,Energy_Sensor,KiloW-HR,
B207.T94-4-7.energy,B207.T94-4-7,Energy_Sensor,KiloW-HR,
B207.T95-3-1.energy,B207.T95-3-1,Energy_Sensor,KiloW-HR,
B207.T95-3-2.energy,B207.T95-3-2,Energy_Sensor,KiloW-HR,
B207.T95-3-3.energy,B207.T95-3-3,Energy_Sensor,KiloW-HR,
B207.T95-3-4.energy,B207.T95-3-4,Energy_Sensor,KiloW-HR,
B207.T95-3-6.energy,B207.T95-3-6,Energy_Sensor,KiloW-HR,
B207.T95-5-5.energy,B207.T95-5-5,Energy_Sensor,KiloW-HR,
B207.T95-5-6.energy,B207.T95-5-6,Energy_Sensor,KiloW-HR,
B207.T95-5-7.energy,B207.T95-5-7,Energy_Sensor,KiloW-HR,
B209.T21.energy,B209.T21,Energy_Sensor,KiloW-HR,
B209.T21-4-6.energy,B209.T21-4-6,Energy_Sensor,KiloW-HR,
B209.T32.energy,B209.T32,Energy_Sensor,KiloW-HR,
B209.T32-2-2.energy,B209.T32-2-2,Energy_Sensor,KiloW-HR,
B209.T32-2-4.energy,B209.T32-2-4,Energy_Sensor,KiloW-HR,
B209.T32-4-2.energy,B209.T32-4-2,Energy_Sensor,KiloW-HR,
B307.T10-1.energy,B307.T10-1,Energy_Sensor,KiloW-HR,
B307.T10-5-2.energy,B307.T10-5-2,Energy_Sensor,KiloW-HR,
B307.T10-5-3.energy,B307.T10-5-3,Energy_Sensor,KiloW-HR,
B307.T10-6-2.energy,B307.T10-6-2,Energy_Sensor,KiloW-HR,
B307.T10-6-5.energy,B307.T10-6-5,Energy_Sensor,KiloW-HR,
B307.T10-6-8.energy,B307.T10-6-8,Energy_Sensor,KiloW-HR,
B307.T10-6-9.energy,B307.T10-6-9,Energy_Sensor,KiloW-HR,
B307.T10-7-3.energy,B307.T10-7-3,Energy_Sensor,KiloW-HR,
B307.T10-7-4.energy,B307.T10-7-4,Energy_Sensor,KiloW-HR,
B307.T10-7-5.energy,B307.T10-7-5,Energy_Sensor,KiloW-HR,
B307.T10-7-6.energy,B307.T10-7-6,Energy_Sensor,KiloW-HR,
B307.T10-7-7.energy,B307.T10-7-7,Energy_Sensor,KiloW-HR,
B307.T11-1.energy,B307.T11-1,Energy_Sensor,KiloW-HR,
B307.T11-7-10.energy,B307.T11-7-10,Energy_Sensor,KiloW-HR,
