timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B207.T94-2-1:d,B207.T94-2-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-2-1,,,
B207.T94-2-2:d,B207.T94-2-2.energy,daily,counter,raw,True,,2025-02-28,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-2-2,,,
B207.T94-2-3:d,B207.T94-2-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-2-3,,,
B207.T94-2-4:d,B207.T94-2-4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-2-4,,,
B207.T94-4-3:d,B207.T94-4-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-4-3,,,
B207.T94-4-4:d,B207.T94-4-4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-4-4,,,
B207.T94-4-5:d,B207.T94-4-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-4-5,,,
B207.T94-4-6:d,B207.T94-4-6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-4-6,,,
B207.T94-4-7:d,B207.T94-4-7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T94-4-7,,,
B207.T95-3-1:d,B207.T95-3-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-3-1,,,
B207.T95-3-2:d,B207.T95-3-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-3-2,,,
B207.T95-3-3:d,B207.T95-3-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-3-3,,,
B207.T95-3-4:d,B207.T95-3-4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-3-4,,,
B207.T95-3-6:d,B207.T95-3-6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-3-6,,,
B207.T95-5-5:d,B207.T95-5-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-5-5,,,
B207.T95-5-6:d,B207.T95-5-6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-5-6,,,
B207.T95-5-7:d,B207.T95-5-7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B207.T95-5-7,,,
B209.T21:d,B209.T21.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T21-1,,,
B209.T21-4-6:d,B209.T21-4-6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T21-4-6,,,
B209.T32:d,B209.T32.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T32-1,,,
B209.T32-2-2:d,B209.T32-2-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T32-2-2,,,
B209.T32-2-4:d,B209.T32-2-4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T32-2-4,,,
B209.T32-4-2:d,B209.T32-4-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B209.T32-4-2,,,
B307.T10-1:d,B307.T10-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-1,,,
B307.T10-5-2:d,B307.T10-5-2.energy,daily,counter,raw,True,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-5-2,,,
B307.T10-5-3:d,B307.T10-5-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-5-3,,,
B307.T10-6-2:d,B307.T10-6-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-6-2,,,
B307.T10-6-5:d,B307.T10-6-5.energy,daily,counter,raw,True,,2026-02-22,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-6-5,,,
B307.T10-6-8:d,B307.T10-6-8.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-6-8,,,
B307.T10-6-9:d,B307.T10-6-9.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-6-9,,,
B307.T10-7-3:d,B307.T10-7-3.energy,daily,counter,raw,True,,2026-02-22,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-7-3,,,
B307.T10-7-4:d,B307.T10-7-4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-7-4,,,
B307.T10-7-5:d,B307.T10-7-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-7-5,,,
B307.T10-7-6:d,B307.T10-7-6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-7-6,,,
B307.T10-7-7:d,B307.T10-7-7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T10-7-7,,,
B307.T11-1:d,B307.T11-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T11-1,,,
B307.T11-7-10:d,B307.T11-7-10.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T11-7-10,,,
B307.T11-8-5:d,B307.T11-8-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B307.T11-8-5,,,
B308.T57:d,B308.T57.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T57,,,
B308.T57-3-2:d,B308.T57-3-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T57-3-2,,,
B308.T57-4-7:d,B308.T57-4-7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T57-4-7,,,
B308.T58:d.raw,B308.T58.energy,daily,counter,raw,False,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T58,,,
B308.T58:d.A,B308.T58.energy,daily,counter,derived,False,,2025-12-03,,,,,B308.T58:d.raw,slice
B308.T58:d.B,B308.T58.energy,daily,counter,derived,False,2025-12-03,,,,,,B308.T58:d.raw,slice
B308.T58:d,B308.T58.energy,daily,counter,derived,True,,,,,,,B308.T58:d.A|B308.T58:d.B,rolling_sum
B308.T58-4-2:d,B308.T58-4-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T58-4-2,,,
B308.T58-7-8:d,B308.T58-7-8.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T58-7-8,,,
B308.T58-8-3:d,B308.T58-8-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B308.T58-8-3,,,
