facit_id,snowflake_id,strux_id,excel_used,confidence,evidence
B201.KV1_VMM21_V,B201.KV1_VM21_V,B201.KV1_VM21_V,yes,high,snowflake 'B201.KV1_VM21_V' (STRUX exact); STRUX 'B201.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=201|202
B202.KV1_VMM21_V,B202.KV1_VM21_V,B202.KV1_VM21_V,yes,high,snowflake 'B202.KV1_VM21_V' (STRUX exact); STRUX 'B202.KV1_VM21_V'; excel Kallvatten roles=add buildings=202
B202.KV1_VMM22_V,B202.KV1_VM22_V,B202.KV1_VM22_V,yes,high,snowflake 'B202.KV1_VM22_V' (STRUX exact); STRUX 'B202.KV1_VM22_V'; excel Kallvatten roles=sub buildings=202
B203.KV1_VMM21_V,B203.KV1_VM21_V,B203.KV1_VM21_V,yes,high,snowflake 'B203.KV1_VM21_V' (STRUX exact); STRUX 'B203.KV1_VM21_V'; excel Kallvatten roles=add buildings=203
B203.KV1_VMM22_V,B203.KV1_VM22_V,B203.KV1_VM22_V,yes,high,snowflake 'B203.KV1_VM22_V' (STRUX exact); STRUX 'B203.KV1_VM22_V'; excel Kallvatten roles=add buildings=202
B204.KV1_VMM22_V,B204.KV1_VM22_V,B204.KV1_VM22_V,yes,high,snowflake 'B204.KV1_VM22_V' (STRUX exact); STRUX 'B204.KV1_VM22_V'; excel Kallvatten roles=add buildings=204/205
B207.KV1_VMM21,B207.KV1_VM21,B207.KV1_VM21,yes,high,snowflake 'B207.KV1_VM21' (STRUX exact); STRUX 'B207.KV1_VM21'; excel Kallvatten roles=add|sub buildings=202|207
B207.KV1_VMM22,B207.KV1_VM22,B207.KV1_VM22,yes,high,snowflake 'B207.KV1_VM22' (STRUX exact); STRUX 'B207.KV1_VM22'; excel Kallvatten roles=add buildings=207
B209.KV1_VMM21_V,B209.KV1_VM21_V,B209.KV1_VM21_V,yes,high,snowflake 'B209.KV1_VM21_V' (STRUX exact); STRUX 'B209.KV1_VM21_V'; excel Kallvatten roles=add buildings=209
B216.KV1_VMM21,B216.KV1_VM21,B216.KV1_VM21,yes,high,snowflake 'B216.KV1_VM21' (STRUX exact); STRUX 'B216.KV1_VM21'; excel Kallvatten roles=add|sub buildings=207|216
B217.KV1_VMM001,B217.KV1_VM001,B217.KV1_VM001,no,high,snowflake 'B217.KV1_VM001' (STRUX exact); STRUX 'B217.KV1_VM001'; not used in Excel
B217.KV1_VMM002,B217.KV1_VM002,B217.KV1_VM002,no,high,snowflake 'B217.KV1_VM002' (STRUX exact); STRUX 'B217.KV1_VM002'; not used in Excel
B217.KV1_VMM23_V,B217.KV1_VM23_V,B217.KV1_VM23_V,no,high,snowflake 'B217.KV1_VM23_V' (STRUX exact); STRUX 'B217.KV1_VM23_V'; not used in Excel
B217.KV1_VMM24_V,B217.KV1_VM24_V,B217.KV1_VM24_V,yes,high,snowflake 'B217.KV1_VM24_V' (STRUX exact); STRUX 'B217.KV1_VM24_V'; excel Kallvatten roles=add|sub buildings=207|217
B301.KV1_VMM21_V,B301.KV1_VM21_V,B301.KV1_VM21_V,yes,high,snowflake 'B301.KV1_VM21_V' (STRUX exact); STRUX 'B301.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=301|302
B302.KV1_VMM21_V,B302.KV1_VM21_V,B302.KV1_VM21_V,yes,high,snowflake 'B302.KV1_VM21_V' (STRUX exact); STRUX 'B302.KV1_VM21_V'; excel Kallvatten roles=sub buildings=302
B302.KV1_VMM22_V,B302.KV1_VM22_V,B302.KV1_VM22_V,yes,high,snowflake 'B302.KV1_VM22_V' (STRUX exact); STRUX 'B302.KV1_VM22_V'; excel Kallvatten roles=add buildings=302
B302.KV1_VMM23_V,B302.KV1_VM23_V,B302.KV1_VM23_V,yes,high,snowflake 'B302.KV1_VM23_V' (STRUX exact); STRUX 'B302.KV1_VM23_V'; excel Kallvatten roles=add|sub buildings=302|305
B303.KV1_VMM21_V,B303.KV1_VM21_V,B303.KV1_VM21_V,yes,high,snowflake 'B303.KV1_VM21_V' (STRUX exact); STRUX 'B303.KV1_VM21_V'; excel Kallvatten roles=add buildings=303
B304.KV1_VMM21_V,B304.KV1_VM21_V,B304.KV1_VM21_V,yes,high,snowflake 'B304.KV1_VM21_V' (STRUX exact); STRUX 'B304.KV1_VM21_V'; excel Kallvatten roles=add buildings=304
B304.KV1_VMM22_V,B304.KV1_VM22_V,B304.KV1_VM22_V,yes,high,snowflake 'B304.KV1_VM22_V' (STRUX exact); STRUX 'B304.KV1_VM22_V'; excel Kallvatten roles=add buildings=304
B304.KV1_VMM23_V,B304.KV1_VM23_V,B304.KV1_VM23_V,yes,high,snowflake 'B304.KV1_VM23_V' (STRUX exact); STRUX 'B304.KV1_VM23_V'; excel Kallvatten roles=add buildings=304
B305.KV1_VMM21_V,B305.KV1_VM21_V,B305.KV1_VM21_V,yes,high,snowflake 'B305.KV1_VM21_V' (STRUX exact); STRUX 'B305.KV1_VM21_V'; excel Kallvatten roles=sub buildings=305
B305.KV1_VMM22_V,B305.KV1_VM22_V,B305.KV1_VM22_V,yes,high,snowflake 'B305.KV1_VM22_V' (STRUX exact); STRUX 'B305.KV1_VM22_V'; excel Kallvatten roles=add buildings=305
B305.KV1_VMM23_V,B305.KV1_VM23_V,B305.KV1_VM23_V,yes,high,snowflake 'B305.KV1_VM23_V' (STRUX exact); STRUX 'B305.KV1_VM23_V'; excel Kallvatten roles=add buildings=305
B307.KV1_VMM21_V,B307.KV1_VM21_V,B307.KV1_VM21_V,yes,high,snowflake 'B307.KV1_VM21_V' (STRUX exact); STRUX 'B307.KV1_VM21_V'; excel Kallvatten roles=add buildings=307
B308.KV1_VMM21_V,B308.KV1_VM21_V,B308.KV1_VM21_V,yes,high,snowflake 'B308.KV1_VM21_V' (STRUX exact); STRUX 'B308.KV1_VM21_V'; excel Kallvatten roles=add buildings=308
B308.KV1_VMM23_V,B308.KV1_VM23_V,B308.KV1_VM23_V,yes,high,snowflake 'B308.KV1_VM23_V' (STRUX exact); STRUX 'B308.KV1_VM23_V'; excel Kallvatten roles=add buildings=308
B310.KV1_VMM20_V,B310.KV1_VM20_V,B310.KV1_VM20_V,yes,high,snowflake 'B310.KV1_VM20_V' (STRUX exact); STRUX 'B310.KV1_VM20_V'; excel Kallvatten roles=add|sub buildings=310|311
B310.KV1_VMM21_V,B310.KV1_VM21_V,B310.KV1_VM21_V,yes,high,snowflake 'B310.KV1_VM21_V' (STRUX exact); STRUX 'B310.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=310|311
B310.KV1_VMM22_V,B310.KV1_VM22_V,B310.KV1_VM22_V,yes,high,snowflake 'B310.KV1_VM22_V' (STRUX exact); STRUX 'B310.KV1_VM22_V'; excel Kallvatten roles=add|sub buildings=310|311
B310.KV1_VMM23_V,B310.KV1_VM23_V,B310.KV1_VM23_V,yes,high,snowflake 'B310.KV1_VM23_V' (STRUX exact); STRUX 'B310.KV1_VM23_V'; excel Kallvatten roles=add|sub buildings=310|311
B310.KV1_VMM24_V,B310.KV1_VM24_V,B310.KV1_VM24_V,yes,high,snowflake 'B310.KV1_VM24_V' (STRUX exact); STRUX 'B310.KV1_VM24_V'; excel Kallvatten roles=sub buildings=311
B310.KV1_VMM27_V,B310.KV1_VM27_V,B310.KV1_VM27_V,yes,high,snowflake 'B310.KV1_VM27_V' (STRUX exact); STRUX 'B310.KV1_VM27_V'; excel Kallvatten roles=add|sub buildings=310|311
B311.KV1_VMM26_V,B311.KV1_VM26_V,B311.KV1_VM26_V,yes,high,snowflake 'B311.KV1_VM26_V' (STRUX exact); STRUX 'B311.KV1_VM26_V'; excel Kallvatten roles=add buildings=311
B311.KV1_VMM27_V,B311.KV1_VM27_V,B311.KV1_VM27_V,yes,high,snowflake 'B311.KV1_VM27_V' (STRUX exact); STRUX 'B311.KV1_VM27_V'; excel Kallvatten roles=sub buildings=311
B312.KV1_VMM21_V,B312.KV1_VM21_V,B312.KV1_VM21_V,yes,high,snowflake 'B312.KV1_VM21_V' (STRUX exact); STRUX 'B312.KV1_VM21_V'; excel Kallvatten roles=add buildings=312
B313.KV1_VMM21_V,B313.KV1_VM21_V,B313.KV1_VM21_V,yes,high,snowflake 'B313.KV1_VM21_V' (STRUX exact); STRUX 'B313.KV1_VM21_V'; excel Kallvatten roles=add|sub buildings=311|313
