meter_id,building,meter_type
B201.KV1_VMM21_V,201,real
B207.KV1_VMM21,202,real
B203.KV1_VMM22_V,202,real
B202.KV1_VMM21_V,202,real
B202.KV1_VMM22_V,,real
B203.KV1_VMM21_V,203,real
B204.KV1_VMM22_V,204,real
B207.KV1_VMM22,207,real
B216.KV1_VMM21,216,real
B217.KV1_VMM24_V,217,real
B209.KV1_VMM21_V,209,real
B301.KV1_VMM21_V,301,real
B302.KV1_VMM22_V,302,real
B302.KV1_VMM23_V,302,real
B302.KV1_VMM21_V,,real
B303.KV1_VMM21_V,303,real
B304.KV1_VMM21_V,304,real
B304.KV1_VMM22_V,304,real
B304.KV1_VMM23_V,304,real
B305.KV1_VMM22_V,305,real
B305.KV1_VMM23_V,305,real
B305.KV1_VMM21_V,,real
B307.KV1_VMM21_V,307,real
B344.KV1_VMM21_V,344,real
B342.KV1_VMM21_V,342,real
B308.KV1_VMM21_V,308,real
B308.KV1_VMM23_V,308,real
B310.KV1_VMM23_V,310,real
B310.KV1_VMM27_V,310,real
B310.KV1_VMM20_V,310,real
B310.KV1_VMM22_V,310,real
B310.KV1_VMM21_V,310,real
B315.KV1_VMM21_V,315,real
B313.KV1_VMM22_V,313,real
B314.KV1_VMM22_V,314,real
B311.KV1_VMM26_V,311,real
B317.KV1_VMM21_V,317,real
B317.KV1_VMM22_V,317,real
B317.KV1_VMM23_V,317,real
B317.KV1_VMM25_V,317,real
B311.KV1_VMM27_V,,real
B337.KV1_VMM21_V,337,real
B381.KV1_VMM21_V,381,real
B310.KV1_VMM24_V,,real
B313.KV1_VMM21_V,313,real
B312.KV1_VMM21_V,312,real
B314.KV1_VMM21_V,314,real
B318.KV1_VMM21_V,318,real
B353.KV1_VMM21_V,353,real
B319.KV1_VMM21,319,real
B325.KV1_VMM23_V,325,real
B326.KV1_VMM21,326,real
B327.KV1_VMM21_V,327,real
B330.KV1_VMM23_V,330,real
B334.KV1_VMM21,334,real
B337.KV1_VMM22_V,337,real
B339.KV1_VMM23_V,339,real
B341.KV1_VMM21_V,341,real
B385.KV1_VMM21_V,385,real
B389.BRV1_VMM21,389,real
B392.KV1_VMM21,392,real
B392.KV1_VMM22,392,real
B420.KV1_VMM21_V,420,real
