building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B201,9,S,+,add,B201.KV1_VMM21_V,B201.KV1_VM21_V,,5,excel_KALLVATTEN
B202,10,S,+,add,B207.KV1_VMM21,B207.KV1_VM21,,5,excel_KALLVATTEN
B202,10,T,+,add,B203.KV1_VMM22_V,B203.KV1_VM22_V,,5,excel_KALLVATTEN
B202,10,U,+,add,B202.KV1_VMM21_V,B202.KV1_VM21_V,,5,excel_KALLVATTEN
B202,10,V,−,sub,B202.KV1_VMM22_V,B202.KV1_VM22_V,,5,excel_KALLVATTEN
B202,10,W,−,sub,B201.KV1_VMM21_V,B201.KV1_VM21_V,,5,excel_KALLVATTEN
B203,11,S,+,add,B203.KV1_VMM21_V,B203.KV1_VM21_V,,5,excel_KALLVATTEN
B204,12,S,+,add,B204.KV1_VMM22_V,B204.KV1_VM22_V,,7,excel_KALLVATTEN
B207,13,S,+,add,B207.KV1_VMM22,B207.KV1_VM22,,5,excel_KALLVATTEN
B207,13,T,−,sub,B207.KV1_VMM21,B207.KV1_VM21,,5,excel_KALLVATTEN
B207,13,U,−,sub,B216.KV1_VMM21,B216.KV1_VM21,,5,excel_KALLVATTEN
B207,13,V,−,sub,B217.KV1_VMM24_V,B217.KV1_VM24_V,,5,excel_KALLVATTEN
B209,14,S,+,add,B209.KV1_VMM21_V,B209.KV1_VM21_V,,5,excel_KALLVATTEN
B216,15,S,+,add,B216.KV1_VMM21,B216.KV1_VM21,,7,excel_KALLVATTEN
B217,16,S,+,add,B217.KV1_VMM24_V,B217.KV1_VM24_V,,7,excel_KALLVATTEN
B301,18,S,+,add,B301.KV1_VMM21_V,B301.KV1_VM21_V,,7,excel_KALLVATTEN
B302,19,S,+,add,B302.KV1_VMM22_V,B302.KV1_VM22_V,,7,excel_KALLVATTEN
B302,19,T,+,add,B302.KV1_VMM23_V,B302.KV1_VM23_V,,7,excel_KALLVATTEN
B302,19,U,−,sub,B302.KV1_VMM21_V,B302.KV1_VM21_V,,7,excel_KALLVATTEN
B302,19,V,−,sub,B301.KV1_VMM21_V,B301.KV1_VM21_V,,7,excel_KALLVATTEN
B303,20,S,+,add,B303.KV1_VMM21_V,B303.KV1_VM21_V,,7,excel_KALLVATTEN
B304,21,S,+,add,B304.KV1_VMM21_V,B304.KV1_VM21_V,,7,excel_KALLVATTEN
B304,21,T,+,add,B304.KV1_VMM22_V,B304.KV1_VM22_V,,7,excel_KALLVATTEN
B304,21,U,+,add,B304.KV1_VMM23_V,B304.KV1_VM23_V,,7,excel_KALLVATTEN
B305,22,S,+,add,B305.KV1_VMM22_V,B305.KV1_VM22_V,,7,excel_KALLVATTEN
B305,22,T,+,add,B305.KV1_VMM23_V,B305.KV1_VM23_V,,7,excel_KALLVATTEN
B305,22,U,−,sub,B305.KV1_VMM21_V,B305.KV1_VM21_V,,7,excel_KALLVATTEN
B305,22,V,−,sub,B302.KV1_VMM23_V,B302.KV1_VM23_V,,7,excel_KALLVATTEN
B307,23,S,+,add,B307.KV1_VMM21_V,B307.KV1_VM21_V,,7,excel_KALLVATTEN
B307,23,T,−,sub,B344.KV1_VMM21_V,B344.KV1_VM21_V,,7,excel_KALLVATTEN
B307,23,U,−,sub,B342.KV1_VMM21_V,B342.KV1_VM21_V,,7,excel_KALLVATTEN
